Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0206769686	1.20373091	1.20373091	1.20373091	1.20373091	0	0	0	0	0	0	3
2	1	0	0.0413539373	1.20371234	1.20372162	1.20371234	1.20373091	9.28655027e-06	0	0	0	0	0	3
3	1	0	0.0620309059	1.20370807	1.20371711	1.20370807	1.20373091	1.38058415e-05	0	0	0	0	0	3
4	1	0	0.0827078746	1.20370906	1.20371509	1.20370807	1.20373091	1.58163155e-05	0	0	0	0	0	3
5	2	0	0.103384843	1.20370758	1.20371359	1.20370758	1.20373091	1.73185439e-05	0	0	0	0	0	3
6	2	0	0.124061812	1.20370833	1.20371271	1.20370758	1.20373091	1.81963363e-05	0	0	0	0	0	3
7	2	0	0.144738781	1.20370805	1.20371205	1.20370758	1.20373091	1.88627724e-05	0	0	0	0	0	3
8	2	0	0.165415749	1.20370781	1.20371152	1.20370758	1.20373091	1.93924911e-05	0	0	0	0	0	3
9	2	0	0.186092718	1.20370796	1.20371112	1.20370758	1.20373091	1.97876443e-05	0	0	0	0	0	3
10	2	0	0.206769686	1.20370747	1.20371076	1.20370747	1.20373091	2.01525332e-05	0	0	0	0	0	3
11	2	0	0.227446655	1.20370777	1.20371049	1.20370747	1.20373091	2.04242598e-05	0	0	0	0	0	3
12	3	0	0.248123624	1.20370722	1.20371021	1.20370722	1.20373091	2.06966863e-05	0	0	0	0	0	3
13	3	0	0.268800592	1.20370749	1.20371	1.20370722	1.20373091	2.09063033e-05	0	0	0	0	0	3
14	3	0	0.289477561	1.20370691	1.20370978	1.20370691	1.20373091	2.11272068e-05	0	0	0	0	0	3
15	3	0	0.31015453	1.20370698	1.2037096	1.20370691	1.20373091	2.13142414e-05	0	0	0	0	0	3
16	3	0	0.330831498	1.20370654	1.20370941	1.20370654	1.20373091	2.15054423e-05	0	0	0	0	0	3
17	3	0	0.351508467	1.20370636	1.20370923	1.20370636	1.20373091	2.16843114e-05	0	0	0	0	0	3
18	3	0	0.372185436	1.20370602	1.20370905	1.20370602	1.20373091	2.18622773e-05	0	0	0	0	0	3
19	4	0	0.392862404	1.20370582	1.20370888	1.20370582	1.20373091	2.20323147e-05	0	0	0	0	0	3
20	4	0	0.413539373	1.20370558	1.20370871	1.20370558	1.20373091	2.21972744e-05	0	0	0	0	0	3
21	4	0	0.434216342	1.2037052	1.20370855	1.2037052	1.20373091	2.23648392e-05	0	0	0	0	0	3
22	4	0	0.45489331	1.20370483	1.20370838	1.20370483	1.20373091	2.25337848e-05	0	0	0	0	0	3
23	4	0	0.475570279	1.20370444	1.20370821	1.20370444	1.20373091	2.27049271e-05	0	0	0	0	0	3
24	4	0	0.496247248	1.20370414	1.20370804	1.20370414	1.20373091	2.28743682e-05	0	0	0	0	0	3
25	4	0	0.516924216	1.20370388	1.20370787	1.20370388	1.20373091	2.30407601e-05	0	0	0	0	0	3
26	5	0	0.537601185	1.20370349	1.20370677	1.20370349	1.20371234	8.84314688e-06	0	0	0	0	0	3
27	5	0	0.558278153	1.20370319	1.20370641	1.20370319	1.20370906	5.87709806e-06	0	0	0	0	0	3
28	5	0	0.578955122	1.20370291	1.2037062	1.20370291	1.20370906	6.1548644e-06	0	0	0	0	0	3
29	5	0	0.599632091	1.20370276	1.20370595	1.20370276	1.20370833	5.5635809e-06	0	0	0	0	0	3
30	5	0	0.620309059	1.20370261	1.20370575	1.20370261	1.20370833	5.71811615e-06	0	0	0	0	0	3
31	5	0	0.640986028	1.20370248	1.20370552	1.20370248	1.20370805	5.5710386e-06	0	0	0	0	0	3
32	6	0	0.661662997	1.20370236	1.20370529	1.20370236	1.20370796	5.5979119e-06	0	0	0	0	0	3
33	6	0	0.682339965	1.20370232	1.20370507	1.20370232	1.20370796	5.64275569e-06	0	0	0	0	0	3
34	6	0	0.703016934	1.20370224	1.20370484	1.20370224	1.20370777	5.52916647e-06	0	0	0	0	0	3
35	6	0	0.723693903	1.20370224	1.20370463	1.20370224	1.20370777	5.52916647e-06	0	0	0	0	0	3
36	6	0	0.744370871	1.20370226	1.20370441	1.20370224	1.20370749	5.24898505e-06	0	0	0	0	0	3
37	6	0	0.76504784	1.20370229	1.20370421	1.20370224	1.20370749	5.24898505e-06	0	0	0	0	0	3
38	7	0	0.785724809	1.2037023	1.20370401	1.20370224	1.20370698	4.73796631e-06	0	0	0	0	0	3
39	7	0	0.806401777	1.20370234	1.20370382	1.20370224	1.20370698	4.73796631e-06	0	0	0	0	0	3
40	7	0	0.827078746	1.20370234	1.20370364	1.20370224	1.20370654	4.29723717e-06	0	0	0	0	0	3
41	7	0	0.847755715	1.20370239	1.20370347	1.20370224	1.20370636	4.12447515e-06	0	0	0	0	0	3
42	7	0	0.868432683	1.20370246	1.20370332	1.20370224	1.20370602	3.78299479e-06	0	0	0	0	0	3
43	7	0	0.889109652	1.2037025	1.20370317	1.20370224	1.20370582	3.57770464e-06	0	0	0	0	0	3
44	8	0	0.90978662	1.20370258	1.20370305	1.20370224	1.20370558	3.33918517e-06	0	0	0	0	0	3
45	8	0	0.930463589	1.20370259	1.20370293	1.20370224	1.2037052	2.95455552e-06	0	0	0	0	0	3
46	8	0	0.951140558	1.20370262	1.20370282	1.20370224	1.20370483	2.58905186e-06	0	0	0	0	0	3
47	8	0	0.971817526	1.20370263	1.20370273	1.20370224	1.20370444	2.20063355e-06	0	0	0	0	0	3
48	8	0	0.992494495	1.20370266	1.20370266	1.20370224	1.20370414	1.89917969e-06	0	0	0	0	0	3
49	8	0	1.01317146	1.20370269	1.20370261	1.20370224	1.20370388	1.63652803e-06	2.75101543e-07	0	16.8	0	0	3
50	8	0	1.03384843	1.20370268	1.20370256	1.20370224	1.20370349	1.25444517e-06	2.75101543e-07	0	21.9	0	0	3
51	9	0	1.0545254	1.20370268	1.20370253	1.20370224	1.20370319	9.45856868e-07	2.75101543e-07	0	29	0	0	3
52	9	0	1.07520237	1.20370267	1.2037025	1.20370224	1.20370291	6.68090528e-07	2.75101543e-07	0	41.1	0	0	3
53	9	0	1.09587934	1.20370266	1.20370249	1.20370224	1.20370276	5.21813486e-07	2.75101543e-07	0	52.7	0	0	3
54	9	0	1.11655631	1.20370266	1.20370249	1.20370224	1.20370269	4.50141592e-07	2.75101543e-07	0	61.1	0	0	3
55	9	0	1.13723328	1.20370266	1.20370249	1.20370224	1.20370269	4.50141592e-07	2.75101543e-07	0	61.1	0	0	3
56	10	0	1.15791024	1.20370267	1.2037025	1.20370224	1.20370269	4.50141592e-07	2.75101543e-07	0	61.1	0	0	3
57	10	0	1.17858721	1.20370266	1.20370251	1.20370224	1.20370269	4.50141592e-07	2.75101543e-07	0	61.1	0	0	3
58	10	0	1.19926418	1.20370269	1.20370253	1.20370224	1.20370269	4.50141592e-07	2.75101543e-07	0	61.1	0	0	3
59	10	0	1.21994115	1.20370268	1.20370254	1.20370224	1.20370269	4.48035283e-07	2.75101543e-07	0	61.4	0	0	3
60	10	0	1.24061812	1.2037027	1.20370256	1.20370226	1.2037027	4.41285028e-07	2.75101543e-07	0	62.3	0	0	3
61	10	0	1.26129509	1.20370269	1.20370258	1.20370229	1.2037027	4.08701299e-07	2.75101543e-07	0	67.3	0	0	3
62	11	0	1.28197206	1.20370271	1.2037026	1.2037023	1.20370271	4.03853002e-07	2.75101543e-07	0	68.1	0	0	3
63	11	0	1.30264902	1.20370268	1.20370261	1.20370234	1.20370271	3.71365399e-07	2.75101543e-07	0	74	0	0	3
64	11	0	1.32332599	1.20370267	1.20370262	1.20370234	1.20370271	3.65003427e-07	2.75101543e-07	0	75.3	0	0	3
65	11	0	1.34400296	1.20370267	1.20370264	1.20370239	1.20370271	3.12409606e-07	2.75101543e-07	0	88	0	0	3
66	11	0	1.36467993	1.20370269	1.20370265	1.20370246	1.20370271	2.49724357e-07	2.75101543e-07	0	100	0	0	3
67	12	0	1.3853569	1.20370268	1.20370266	1.2037025	1.20370271	2.0456622e-07	2.75101543e-07	0	100	0	0	3
68	12	0	1.40603387	1.20370267	1.20370267	1.20370258	1.20370271	1.25450728e-07	2.75101543e-07	0	100	0	0	3
69	12	0	1.42671084	1.20370267	1.20370267	1.20370259	1.20370271	1.16801897e-07	2.75101543e-07	0	100	0	0	3
70	12	0	1.44738781	1.20370267	1.20370267	1.20370262	1.20370271	9.13095499e-08	2.75101543e-07	0	100	0	0	3
71	12	0	1.46806477	1.20370266	1.20370267	1.20370263	1.20370271	7.26391816e-08	2.75101543e-07	0	100	0	0	3
72	12	0	1.48874174	1.20370268	1.20370268	1.20370266	1.20370271	5.09305014e-08	2.75101543e-07	0	100	0	0	3
73	13	0	1.50941871	1.20370268	1.20370268	1.20370266	1.20370271	5.09305014e-08	2.75101543e-07	0	100	0	0	3
74	13	0	1.53009568	1.20370268	1.20370268	1.20370266	1.20370271	5.09305014e-08	2.75101543e-07	0	100	0	0	3
75	13	0	1.55077265	1.20370269	1.20370268	1.20370266	1.20370271	5.09305014e-08	2.75101543e-07	0	100	0	0	3
76	13	0	1.57144962	1.20370268	1.20370268	1.20370266	1.20370271	5.09305014e-08	2.75101543e-07	0	100	0	0	3
77	13	0	1.59212659	1.20370268	1.20370268	1.20370266	1.20370271	5.09305014e-08	2.75101543e-07	0	100	0	0	3
78	13	0	1.61280355	1.20370268	1.20370268	1.20370266	1.20370271	5.09305014e-08	2.75101543e-07	0	100	0	0	3
79	14	0	1.63348052	1.20370269	1.20370268	1.20370266	1.20370271	5.09305014e-08	2.75101543e-07	0	100	0	0	3
80	14	0	1.65415749	1.20370268	1.20370268	1.20370266	1.20370271	5.09305014e-08	2.75101543e-07	0	100	0	0	3
81	14	0	1.67483446	1.20370269	1.20370268	1.20370266	1.20370271	5.09305014e-08	2.75101543e-07	0	100	0	0	3
82	14	0	1.69551143	1.20370271	1.20370268	1.20370266	1.20370271	4.54145219e-08	2.75101543e-07	0	100	0	0	3
83	14	0	1.7161884	1.2037027	1.20370268	1.20370266	1.20370271	4.54145219e-08	2.75101543e-07	0	100	0	0	3
84	14	0	1.73686537	1.20370269	1.20370268	1.20370266	1.20370271	4.54145219e-08	2.75101543e-07	0	100	0	0	3
85	14	0	1.75754234	1.20370269	1.20370268	1.20370266	1.20370271	4.54145219e-08	2.75101543e-07	0	100	0	0	3
86	15	0	1.7782193	1.20370269	1.20370268	1.20370266	1.20370271	4.54145219e-08	2.75101543e-07	0	100	0	0	3
87	15	0	1.79889627	1.20370267	1.20370268	1.20370266	1.20370271	4.54145219e-08	2.75101543e-07	0	100	0	0	3
88	15	0	1.81957324	1.20370269	1.20370268	1.20370266	1.20370271	4.54145219e-08	2.75101543e-07	0	100	0	0	3
89	15	0	1.84025021	1.20370267	1.20370268	1.20370266	1.20370271	4.54145219e-08	2.75101543e-07	0	100	0	0	3
90	15	0	1.86092718	1.20370266	1.20370268	1.20370266	1.20370271	3.47183964e-08	2.75101543e-07	0	100	0	0	3
91	15	0	1.88160415	1.20370265	1.20370268	1.20370265	1.20370271	2.58051149e-08	2.75101543e-07	0	100	0	0	3
92	16	0	1.90228112	1.20370264	1.20370268	1.20370264	1.20370271	1.89428928e-08	2.75101543e-07	0	100	0	0	3
93	16	0	1.92295808	1.20370264	1.20370268	1.20370264	1.20370271	1.52437667e-08	2.75101543e-07	0	100	0	0	3
