Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0206769686	1.26746053	1.26746053	1.26746053	1.26746053	0	0	0	0	0	0	3
2	1	0	0.0413539373	1.14059925	1.20402989	1.14059925	1.26746053	0.0634306385	0	0	0	0	0	3
3	1	0	0.0620309059	0.915308823	1.10778953	0.915308823	1.26746053	0.159670993	0	0	0	0	0	3
4	1	0	0.0827078746	0.911923263	1.05882297	0.911923263	1.26746053	0.208637561	0	0	0	0	0	3
5	2	0	0.103384843	0.892516388	1.02556165	0.892516388	1.26746053	0.241898876	0	0	0	0	0	3
6	2	0	0.124061812	0.905690627	1.00558315	0.892516388	1.26746053	0.26187738	0	0	0	0	0	3
7	2	0	0.144738781	0.902911086	0.990915709	0.892516388	1.26746053	0.276544817	0	0	0	0	0	3
8	2	0	0.165415749	0.900785325	0.979649411	0.892516388	1.26746053	0.287811115	0	0	0	0	0	3
9	2	0	0.186092718	0.898207385	0.970600297	0.892516388	1.26746053	0.296860229	0	0	0	0	0	3
10	2	0	0.206769686	0.895794106	0.963119678	0.892516388	1.26746053	0.304340848	0	0	0	0	0	3
11	2	0	0.227446655	0.878563677	0.955432769	0.878563677	1.26746053	0.312027757	0	0	0	0	0	3
12	3	0	0.248123624	0.875012204	0.948731055	0.875012204	1.26746053	0.318729471	0	0	0	0	0	3
13	3	0	0.268800592	0.871720655	0.942807178	0.871720655	1.26746053	0.324653348	0	0	0	0	0	3
14	3	0	0.289477561	0.868720003	0.937515237	0.868720003	1.26746053	0.329945289	0	0	0	0	0	3
15	3	0	0.31015453	0.865944044	0.932743824	0.865944044	1.26746053	0.334716702	0	0	0	0	0	3
16	3	0	0.330831498	0.844283161	0.927215033	0.844283161	1.26746053	0.340245494	0	0	0	0	0	3
17	3	0	0.351508467	0.841542817	0.922175491	0.841542817	1.26746053	0.345285036	0	0	0	0	0	3
18	3	0	0.372185436	0.839117991	0.917561185	0.839117991	1.26746053	0.349899341	0	0	0	0	0	3
19	4	0	0.392862404	0.836993968	0.913320805	0.836993968	1.26746053	0.354139721	0	0	0	0	0	3
20	4	0	0.413539373	0.835113883	0.909410459	0.835113883	1.26746053	0.358050067	0	0	0	0	0	3
21	4	0	0.434216342	0.814807589	0.90490556	0.814807589	1.26746053	0.362554966	0	0	0	0	0	3
22	4	0	0.45489331	0.812838132	0.900720677	0.812838132	1.26746053	0.366739849	0	0	0	0	0	3
23	4	0	0.475570279	0.811152697	0.896826417	0.811152697	1.26746053	0.370634109	0	0	0	0	0	3
