Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0206769686	0.00628896437	0.00628896437	0.00628896437	0.00628896437	0	0	0	0	0	0	3
2	1	0	0.0413539373	0.00782691333	0.00705793885	0.00628896437	0.00782691333	0.000768974477	0	0	0	0	0	3
3	1	0	0.0620309059	0.00764107328	0.00725231699	0.00628896437	0.00782691333	0.000963352622	0	0	0	0	0	3
4	1	0	0.0827078746	0.00863277329	0.00759743107	0.00628896437	0.00863277329	0.00130846669	0	0	0	0	0	3
5	2	0	0.103384843	0.00852865594	0.00778367604	0.00628896437	0.00863277329	0.00149471167	0	0	0	0	0	3
6	2	0	0.124061812	0.00947532697	0.00806561786	0.00628896437	0.00947532697	0.00177665349	0	0	0	0	0	3
7	2	0	0.144738781	0.00981826971	0.0083159967	0.00628896437	0.00981826971	0.00202703233	0	0	0	0	0	3
8	2	0	0.165415749	0.0105546861	0.00859583287	0.00628896437	0.0105546861	0.0023068685	0	0	0	0	0	3
9	2	0	0.186092718	0.0111774231	0.00888267624	0.00628896437	0.0111774231	0.00259371186	0	0	0	0	0	3
10	2	0	0.206769686	0.0117463611	0.00916904473	0.00628896437	0.0117463611	0.00288008035	0	0	0	0	0	3
11	2	0	0.227446655	0.0130932907	0.00952579436	0.00628896437	0.0130932907	0.00323682999	0	0	0	0	0	3
12	3	0	0.248123624	0.0140427624	0.00990220836	0.00628896437	0.0140427624	0.00361324399	0	0	0	0	0	3
13	3	0	0.268800592	0.0155704593	0.0103382277	0.00628896437	0.0155704593	0.00404926329	0	0	0	0	0	3
14	3	0	0.289477561	0.0166354691	0.0107880306	0.00628896437	0.0166354691	0.00449906625	0	0	0	0	0	3
15	3	0	0.31015453	0.0182203963	0.0112835217	0.00628896437	0.0182203963	0.0049945573	0	0	0	0	0	3
16	3	0	0.330831498	0.01988657	0.0118212122	0.00628896437	0.01988657	0.00553224782	0	0	0	0	0	3
17	3	0	0.351508467	0.0220167626	0.0124209505	0.00628896437	0.0220167626	0.00613198608	0	0	0	0	0	3
18	3	0	0.372185436	0.0237953891	0.0130528637	0.00628896437	0.0237953891	0.00676389934	0	0	0	0	0	3
19	4	0	0.392862404	0.0256795454	0.0137174259	0.00628896437	0.0256795454	0.00742846153	0	0	0	0	0	3
20	4	0	0.413539373	0.0275101623	0.0144070627	0.00628896437	0.0275101623	0.00811809835	0	0	0	0	0	3
21	4	0	0.434216342	0.0301053787	0.0151546016	0.00628896437	0.0301053787	0.00886563721	0	0	0	0	0	3
22	4	0	0.45489331	0.0326007236	0.0159476071	0.00628896437	0.0326007236	0.00965864275	0	0	0	0	0	3
23	4	0	0.475570279	0.0348885462	0.0167711262	0.00628896437	0.0348885462	0.0104821618	0	0	0	0	0	3
