Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0206769686	-22.5061226	-22.5061226	-22.5061226	-22.5061226	0	0	0	0	0	0	3
2	1	0	0.0413539373	-20.8003908	-21.6532567	-22.5061226	-20.8003908	0.852865909	0	0	0	0	0	3
3	1	0	0.0620309059	-9.71517646	-17.6738966	-22.5061226	-9.71517646	4.83222599	0	0	0	0	0	3
4	1	0	0.0827078746	5.80955277	-11.8030343	-22.5061226	5.80955277	10.7030883	0	0	0	0	0	3
5	2	0	0.103384843	13.320984	-6.77823063	-22.5061226	13.320984	15.727892	0	0	0	0	0	3
6	2	0	0.124061812	3.32690044	-5.09404212	-22.5061226	13.320984	17.4120805	0	0	0	0	0	3
7	2	0	0.144738781	4.19449879	-3.7671077	-22.5061226	13.320984	18.7390149	0	0	0	0	0	3
8	2	0	0.165415749	-0.124883881	-3.31182973	-22.5061226	13.320984	19.1942929	0	0	0	0	0	3
9	2	0	0.186092718	2.61428031	-2.65337306	-22.5061226	13.320984	19.8527496	0	0	0	0	0	3
10	2	0	0.206769686	-3.13042187	-2.70107794	-22.5061226	13.320984	19.8527496	0	0	0	0	0	3
11	2	0	0.227446655	1.47874983	-2.3210936	-22.5061226	13.320984	20.185029	0	0	0	0	0	3
12	3	0	0.248123624	-2.55062177	-2.34022094	-22.5061226	13.320984	20.185029	0	0	0	0	0	3
13	3	0	0.268800592	-0.242351747	-2.17884639	-22.5061226	13.320984	20.3272762	0	0	0	0	0	3
14	3	0	0.289477561	-2.41792926	-2.19592374	-22.5061226	13.320984	20.3272762	0	0	0	0	0	3
15	3	0	0.31015453	-0.999276931	-2.11614728	-22.5061226	13.320984	20.3899753	0	0	0	0	0	3
16	3	0	0.330831498	-2.7092854	-2.15321842	-22.5061226	13.320984	20.3899753	0	0	0	0	0	3
17	3	0	0.351508467	-1.5685104	-2.11882383	-22.5061226	13.320984	20.3899753	0	0	0	0	0	3
18	3	0	0.372185436	-2.77943573	-2.15552449	-22.5061226	13.320984	20.3899753	0	0	0	0	0	3
19	4	0	0.392862404	-1.94865042	-2.14463638	-22.5061226	13.320984	20.3899753	0	0	0	0	0	3
20	4	0	0.413539373	-2.64520159	-2.16966464	-22.5061226	13.320984	20.3899753	0	0	0	0	0	3
21	4	0	0.434216342	-1.51539698	-2.13850904	-22.5061226	13.320984	20.3899753	0	0	0	0	0	3
22	4	0	0.45489331	-2.17958692	-2.14037621	-22.5061226	13.320984	20.3899753	0	0	0	0	0	3
23	4	0	0.475570279	-1.10529031	-2.09537248	-22.5061226	13.320984	20.4107501	0	0	0	0	0	3
24	4	0	0.496247248	-1.84451856	-2.08492023	-22.5061226	13.320984	20.4212024	0	0	0	0	0	3
25	4	0	0.516924216	-0.433030862	-2.01884466	-22.5061226	13.320984	20.487278	0	0	0	0	0	3
26	5	0	0.537601185	-1.10970608	-1.162988	-20.8003908	13.320984	20.4902687	0	0	0	0	0	3
27	5	0	0.558278153	-0.280167002	-0.342179044	-9.71517646	13.320984	17.3317176	0	0	0	0	0	3
28	5	0	0.578955122	-0.712701923	0.0179199373	-3.13042187	13.320984	11.8209542	0	0	0	0	0	3
29	5	0	0.599632091	0.239982166	-0.204862887	-3.13042187	13.320984	6.79615057	0	0	0	0	0	3
30	5	0	0.620309059	-0.497252148	-0.757592331	-3.13042187	4.19449879	5.11196206	0	0	0	0	0	3
31	5	0	0.640986028	0.334863835	-0.877273795	-3.13042187	4.19449879	3.78502764	0	0	0	0	0	3
32	6	0	0.661662997	-0.130019914	-1.05025454	-3.13042187	2.61428031	3.32974966	0	0	0	0	0	3
33	6	0	0.682339965	0.129995049	-1.04005939	-3.13042187	2.61428031	2.71899788	0	0	0	0	0	3
34	6	0	0.703016934	-0.155653206	-1.15085673	-3.13042187	1.47874983	2.71899788	0	0	0	0	0	3
35	6	0	0.723693903	0.318291277	-1.0129082	-2.77943573	1.47874983	2.35814088	0	0	0	0	0	3
36	6	0	0.744370871	0.222664648	-1.06315161	-2.77943573	0.334863835	2.35814088	0	0	0	0	0	3
37	6	0	0.76504784	0.212747031	-0.952616856	-2.77943573	0.334863835	2.21384368	0	0	0	0	0	3
38	7	0	0.785724809	0.313007378	-0.930402491	-2.77943573	0.334863835	2.21384368	0	0	0	0	0	3
39	7	0	0.806401777	0.193973747	-0.82592637	-2.77943573	0.334863835	2.18758458	0	0	0	0	0	3
40	7	0	0.827078746	-0.00979164202	-0.786346959	-2.77943573	0.334863835	2.18758458	0	0	0	0	0	3
41	7	0	0.847755715	-0.00313570101	-0.678100971	-2.77943573	0.334863835	2.18758458	0	0	0	0	0	3
42	7	0	0.868432683	0.18605112	-0.60791851	-2.77943573	0.334863835	2.18758458	0	0	0	0	0	3
43	7	0	0.889109652	0.179511562	-0.489560618	-2.64520159	0.334863835	2.18758458	0	0	0	0	0	3
