Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0206769686	0.00579410485	0.00579410485	0.00579410485	0.00579410485	0	0	0	0	0	0	3
2	1	0	0.0413539373	-0.0141052511	-0.00415557312	-0.0141052511	0.00579410485	0.00994967796	0	0	0	0	0	3
3	1	0	0.0620309059	-0.0246142985	-0.0109751483	-0.0246142985	0.00579410485	0.0167692531	0	0	0	0	0	3
4	1	0	0.0827078746	-0.00646370938	-0.00984728854	-0.0246142985	0.00579410485	0.0167692531	0	0	0	0	0	3
5	2	0	0.103384843	0.00797414663	-0.00628300151	-0.0246142985	0.00797414663	0.0167692531	0	0	0	0	0	3
6	2	0	0.124061812	0.00295936717	-0.00474260673	-0.0246142985	0.00797414663	0.0167692531	0	0	0	0	0	3
7	2	0	0.144738781	0.00380993621	-0.00352081488	-0.0246142985	0.00797414663	0.0167692531	0	0	0	0	0	3
8	2	0	0.165415749	0.00251397214	-0.0027664665	-0.0246142985	0.00797414663	0.0167692531	0	0	0	0	0	3
9	2	0	0.186092718	0.00120689174	-0.00232498225	-0.0246142985	0.00797414663	0.0167692531	0	0	0	0	0	3
10	2	0	0.206769686	0.0035378727	-0.00173869676	-0.0246142985	0.00797414663	0.0167692531	0	0	0	0	0	3
11	2	0	0.227446655	0.00122563875	-0.00146921171	-0.0246142985	0.00797414663	0.0167692531	0	0	0	0	0	3
12	3	0	0.248123624	-0.000145058052	-0.00135886557	-0.0246142985	0.00797414663	0.0167692531	0	0	0	0	0	3
13	3	0	0.268800592	-0.00110137055	-0.00133905826	-0.0246142985	0.00797414663	0.0167692531	0	0	0	0	0	3
14	3	0	0.289477561	-0.00253366256	-0.00142438714	-0.0246142985	0.00797414663	0.0167692531	0	0	0	0	0	3
15	3	0	0.31015453	-0.00540430986	-0.00168971532	-0.0246142985	0.00797414663	0.0167692531	0	0	0	0	0	3
16	3	0	0.330831498	-0.002858772	-0.00176278137	-0.0246142985	0.00797414663	0.0167692531	0	0	0	0	0	3
17	3	0	0.351508467	-0.00449747916	-0.00192364594	-0.0246142985	0.00797414663	0.0167692531	0	0	0	0	0	3
18	3	0	0.372185436	-0.00367667484	-0.00202103644	-0.0246142985	0.00797414663	0.0167692531	0	0	0	0	0	3
19	4	0	0.392862404	-0.00579652084	-0.00221974614	-0.0246142985	0.00797414663	0.0167692531	0	0	0	0	0	3
20	4	0	0.413539373	-0.00468107162	-0.00234281242	-0.0246142985	0.00797414663	0.0167692531	0	0	0	0	0	3
21	4	0	0.434216342	-0.0114664474	-0.00277727122	-0.0246142985	0.00797414663	0.0167692531	0	0	0	0	0	3
22	4	0	0.45489331	-0.00988702889	-0.00310044203	-0.0246142985	0.00797414663	0.0167692531	0	0	0	0	0	3
