Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0206769686	0.254806992	0.254806992	0.254806992	0.254806992	0	0	0	0	0	0	3
2	1	0	0.0413539373	0.182139336	0.218473164	0.182139336	0.254806992	0.0363338281	0	0	0	0	0	3
3	1	0	0.0620309059	0.192761099	0.209902476	0.182139336	0.254806992	0.0449045162	0	0	0	0	0	3
4	1	0	0.0827078746	0.200385376	0.207523201	0.182139336	0.254806992	0.0472837911	0	0	0	0	0	3
5	2	0	0.103384843	0.201004379	0.206219436	0.182139336	0.254806992	0.0485875555	0	0	0	0	0	3
6	2	0	0.124061812	0.198093084	0.204865044	0.182139336	0.254806992	0.0499419475	0	0	0	0	0	3
7	2	0	0.144738781	0.205529542	0.204959973	0.182139336	0.254806992	0.0499419475	0	0	0	0	0	3
8	2	0	0.165415749	0.202458111	0.20464724	0.182139336	0.254806992	0.0501597519	0	0	0	0	0	3
9	2	0	0.186092718	0.20410082	0.204586527	0.182139336	0.254806992	0.0502204652	0	0	0	0	0	3
10	2	0	0.206769686	0.201583433	0.204286217	0.182139336	0.254806992	0.0505207746	0	0	0	0	0	3
11	2	0	0.227446655	0.21200933	0.204988318	0.182139336	0.254806992	0.0505207746	0	0	0	0	0	3
12	3	0	0.248123624	0.213482291	0.205696149	0.182139336	0.254806992	0.0505207746	0	0	0	0	0	3
13	3	0	0.268800592	0.22016993	0.206809517	0.182139336	0.254806992	0.0505207746	0	0	0	0	0	3
14	3	0	0.289477561	0.224180209	0.208050281	0.182139336	0.254806992	0.0505207746	0	0	0	0	0	3
15	3	0	0.31015453	0.231892836	0.209639785	0.182139336	0.254806992	0.0505207746	0	0	0	0	0	3
16	3	0	0.330831498	0.246510743	0.211944219	0.182139336	0.254806992	0.0505207746	0	0	0	0	0	3
17	3	0	0.351508467	0.255959538	0.214533356	0.182139336	0.255959538	0.0505207746	0	0	0	0	0	3
18	3	0	0.372185436	0.25775143	0.21693436	0.182139336	0.25775143	0.0505207746	0	0	0	0	0	3
19	4	0	0.392862404	0.262795011	0.219348078	0.182139336	0.262795011	0.0505207746	0	0	0	0	0	3
20	4	0	0.413539373	0.264515626	0.221606456	0.182139336	0.264515626	0.0505207746	0	0	0	0	0	3
21	4	0	0.434216342	0.26901167	0.223863847	0.182139336	0.26901167	0.0505207746	0	0	0	0	0	3
22	4	0	0.45489331	0.270434028	0.225980673	0.182139336	0.270434028	0.0505207746	0	0	0	0	0	3
23	4	0	0.475570279	0.27223589	0.22799177	0.182139336	0.27223589	0.0505207746	0	0	0	0	0	3
24	4	0	0.496247248	0.274984757	0.229949811	0.182139336	0.274984757	0.0505207746	0	0	0	0	0	3
25	4	0	0.516924216	0.274956455	0.231750077	0.182139336	0.274984757	0.0505207746	0	0	0	0	0	3
26	5	0	0.537601185	0.232060475	0.230840216	0.182139336	0.274984757	0.0274638594	0	0	0	0	0	3
27	5	0	0.558278153	0.232557784	0.232856954	0.192761099	0.274984757	0.0285707366	0	0	0	0	0	3
28	5	0	0.578955122	0.231506147	0.234406756	0.198093084	0.274984757	0.0301205386	0	0	0	0	0	3
29	5	0	0.599632091	0.231687559	0.235658843	0.198093084	0.274984757	0.0313726259	0	0	0	0	0	3
30	5	0	0.620309059	0.230110321	0.236823081	0.198093084	0.274984757	0.0325368636	0	0	0	0	0	3
31	5	0	0.640986028	0.184191387	0.236267013	0.184191387	0.274984757	0.0325368636	0	0	0	0	0	3
32	6	0	0.661662997	0.183342563	0.235379534	0.183342563	0.274984757	0.0325368636	0	0	0	0	0	3
33	6	0	0.682339965	0.183382068	0.234616492	0.183342563	0.274984757	0.0325368636	0	0	0	0	0	3
34	6	0	0.703016934	0.183347479	0.233786358	0.183342563	0.274984757	0.0325368636	0	0	0	0	0	3
35	6	0	0.723693903	0.184658484	0.23310936	0.183342563	0.274984757	0.0318347624	0	0	0	0	0	3
36	6	0	0.744370871	0.177821884	0.231741863	0.177821884	0.274984757	0.0311269314	0	0	0	0	0	3
37	6	0	0.76504784	0.182415668	0.230499198	0.177821884	0.274984757	0.0300135637	0	0	0	0	0	3
38	7	0	0.785724809	0.184701802	0.229080473	0.177821884	0.274984757	0.0287727999	0	0	0	0	0	3
39	7	0	0.806401777	0.186651687	0.227579332	0.177821884	0.274984757	0.0271832962	0	0	0	0	0	3
40	7	0	0.827078746	0.190550828	0.225925651	0.177821884	0.274984757	0.0248788614	0	0	0	0	0	3
41	7	0	0.847755715	0.120720026	0.220894023	0.120720026	0.274984757	0.022289725	0	0	0	0	0	3
42	7	0	0.868432683	0.123390127	0.215591246	0.120720026	0.274984757	0.0212318346	0	0	0	0	0	3
43	7	0	0.889109652	0.118753887	0.210031345	0.118753887	0.274984757	0.0267917363	0	0	0	0	0	3
44	8	0	0.90978662	0.126824796	0.204592536	0.118753887	0.274984757	0.0322305449	0	0	0	0	0	3
45	8	0	0.930463589	0.12119411	0.198859675	0.118753887	0.274984757	0.0379634055	0	0	0	0	0	3
46	8	0	0.951140558	0.121886527	0.19297467	0.118753887	0.274984757	0.0438484113	0	0	0	0	0	3
47	8	0	0.971817526	0.121516103	0.187017953	0.118753887	0.274984757	0.0498051282	0	0	0	0	0	3
48	8	0	0.992494495	0.119982998	0.180927837	0.118753887	0.274984757	0.0558952439	0	0	0	0	0	3
49	8	0	1.01317146	0.122277645	0.174819552	0.118753887	0.274956455	0.0620035284	0.00629922865	0	10.1	0	0	3
50	8	0	1.03384843	0.123705182	0.168769502	0.118753887	0.232557784	0.0680535793	0.00629922865	0	9.2	0	0	3
