Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0206769686	22.8797039	22.8797039	22.8797039	22.8797039	0	0	0	0	0	0	3
2	1	0	0.0413539373	20.5896536	21.7346787	20.5896536	22.8797039	1.14502519	0	0	0	0	0	3
3	1	0	0.0620309059	16.5227985	19.9973853	16.5227985	22.8797039	2.8823186	0	0	0	0	0	3
4	1	0	0.0827078746	16.4616837	19.1134599	16.4616837	22.8797039	3.76624401	0	0	0	0	0	3
5	2	0	0.103384843	16.1113583	18.5130396	16.1113583	22.8797039	4.36666433	0	0	0	0	0	3
6	2	0	0.124061812	16.3491746	18.1523954	16.1113583	22.8797039	4.72730851	0	0	0	0	0	3
7	2	0	0.144738781	16.2989994	17.8876246	16.1113583	22.8797039	4.99207937	0	0	0	0	0	3
8	2	0	0.165415749	16.260626	17.6842497	16.1113583	22.8797039	5.19545419	0	0	0	0	0	3
9	2	0	0.186092718	16.21409	17.5208987	16.1113583	22.8797039	5.35880528	0	0	0	0	0	3
10	2	0	0.206769686	16.1705264	17.3858614	16.1113583	22.8797039	5.4938425	0	0	0	0	0	3
11	2	0	0.227446655	15.8594894	17.2471003	15.8594894	22.8797039	5.63260359	0	0	0	0	0	3
12	3	0	0.248123624	15.7953796	17.1261236	15.7953796	22.8797039	5.75358032	0	0	0	0	0	3
13	3	0	0.268800592	15.7359619	17.0191881	15.7359619	22.8797039	5.86051584	0	0	0	0	0	3
14	3	0	0.289477561	15.6817953	16.92366	15.6817953	22.8797039	5.9560439	0	0	0	0	0	3
15	3	0	0.31015453	15.6316847	16.8375284	15.6316847	22.8797039	6.04217559	0	0	0	0	0	3
16	3	0	0.330831498	15.2406709	16.7377248	15.2406709	22.8797039	6.14197918	0	0	0	0	0	3
17	3	0	0.351508467	15.1912033	16.6467529	15.1912033	22.8797039	6.23295103	0	0	0	0	0	3
18	3	0	0.372185436	15.1474313	16.5634573	15.1474313	22.8797039	6.31624667	0	0	0	0	0	3
19	4	0	0.392862404	15.1090892	16.4869116	15.1090892	22.8797039	6.39279236	0	0	0	0	0	3
20	4	0	0.413539373	15.0751507	16.4163235	15.0751507	22.8797039	6.46338041	0	0	0	0	0	3
21	4	0	0.434216342	14.7085894	16.3350029	14.7085894	22.8797039	6.54470108	0	0	0	0	0	3
22	4	0	0.45489331	14.6730375	16.259459	14.6730375	22.8797039	6.62024496	0	0	0	0	0	3
23	4	0	0.475570279	14.6426127	16.1891613	14.6426127	22.8797039	6.69054263	0	0	0	0	0	3
24	4	0	0.496247248	14.6166104	16.1236384	14.6166104	22.8797039	6.75606558	0	0	0	0	0	3
25	4	0	0.516924216	14.596009	16.0625332	14.596009	22.8797039	6.81717076	0	0	0	0	0	3
26	5	0	0.537601185	13.7357836	15.6967764	13.7357836	20.5896536	6.03790238	0	0	0	0	0	3
27	5	0	0.558278153	13.717709	15.4218986	13.717709	16.5227985	2.80508946	0	0	0	0	0	3
28	5	0	0.578955122	13.7034952	15.3091265	13.7034952	16.4616837	2.7581885	0	0	0	0	0	3
29	5	0	0.599632091	13.6923587	15.1983535	13.6923587	16.3491746	2.65681592	0	0	0	0	0	3
30	5	0	0.620309059	13.6830678	15.1012218	13.6830678	16.3491746	2.66610677	0	0	0	0	0	3
31	5	0	0.640986028	12.8584892	14.9615944	12.8584892	16.2989994	2.92603015	0	0	0	0	0	3
32	6	0	0.661662997	12.8533122	14.8237669	12.8533122	16.260626	2.86048281	0	0	0	0	0	3
33	6	0	0.682339965	12.8488475	14.6872958	12.8488475	16.21409	2.83360287	0	0	0	0	0	3
34	6	0	0.703016934	12.8451916	14.5525399	12.8451916	16.1705264	2.83332158	0	0	0	0	0	3
35	6	0	0.723693903	12.8420876	14.4194023	12.8420876	15.8594894	2.82769805	0	0	0	0	0	3
36	6	0	0.744370871	12.2996101	14.2770071	12.2996101	15.7953796	2.84911649	0	0	0	0	0	3
37	6	0	0.76504784	12.3044041	14.1373681	12.2996101	15.7359619	2.88181999	0	0	0	0	0	3
38	7	0	0.785724809	12.3085752	14.0002726	12.2996101	15.6817953	2.9233874	0	0	0	0	0	3
39	7	0	0.806401777	12.3111628	13.8654473	12.2996101	15.6316847	2.97208101	0	0	0	0	0	3
40	7	0	0.827078746	12.3127766	13.732691	12.2996101	15.2406709	2.94106077	0	0	0	0	0	3
41	7	0	0.847755715	11.6743353	13.5900376	11.6743353	15.1912033	3.05671531	0	0	0	0	0	3
42	7	0	0.868432683	11.6808366	13.4496229	11.6743353	15.1474313	3.11383433	0	0	0	0	0	3
43	7	0	0.889109652	11.6837911	13.3110773	11.6743353	15.1090892	3.17583425	0	0	0	0	0	3
44	8	0	0.90978662	11.6858507	13.1741478	11.6743353	15.0751507	3.24217575	0	0	0	0	0	3
45	8	0	0.930463589	11.6869676	13.0386205	11.6743353	14.7085894	3.03425401	0	0	0	0	0	3
46	8	0	0.951140558	11.4675485	12.9089788	11.4675485	14.6730375	3.20548901	0	0	0	0	0	3
47	8	0	0.971817526	11.4683747	12.7807923	11.4675485	14.6426127	3.1750642	0	0	0	0	0	3
48	8	0	0.992494495	11.469927	12.6538849	11.4675485	14.6166104	3.14906195	0	0	0	0	0	3
49	8	0	1.01317146	11.4694202	12.5279973	11.4675485	14.596009	3.12846056	0.203827681	0	6.5	0	0	3
50	8	0	1.03384843	11.4089638	12.4005155	11.4089638	13.7357836	2.32681985	0.206189817	0	8.8	0	0	3
51	9	0	1.0545254	11.3937433	12.3068339	11.3937433	13.717709	2.32396571	0.206496661	0	8.8	0	0	3
52	9	0	1.07520237	11.368563	12.212868	11.368563	13.7034952	2.33493218	0.206115982	0	8.8	0	0	3
53	9	0	1.09587934	11.4195968	12.1215121	11.368563	13.6923587	2.32379565	0.204791551	0	8.8	0	0	3
54	9	0	1.11655631	11.4025363	12.0299192	11.368563	13.6830678	2.31450479	0.203996893	0	8.8	0	0	3
55	9	0	1.13723328	11.4260691	11.9396392	11.368563	12.8584892	1.4899262	0.203827681	0	13.6	0	0	3
56	10	0	1.15791024	11.4185601	11.8820421	11.368563	12.8533122	1.48474919	0.203827681	0	13.7	0	0	3
57	10	0	1.17858721	11.419867	11.8247043	11.368563	12.8488475	1.48028449	0.203827681	0	13.7	0	0	3
58	10	0	1.19926418	11.400226	11.7667594	11.368563	12.8451916	1.47662857	0.203827681	0	13.8	0	0	3
59	10	0	1.21994115	11.4274785	11.7100509	11.368563	12.8420876	1.47352457	0.203827681	0	13.8	0	0	3
60	10	0	1.24061812	11.4074275	11.6526645	11.368563	12.3127766	0.944213626	0.203827681	0	21.5	0	0	3
61	10	0	1.26129509	11.4103775	11.6170952	11.368563	12.3127766	0.944213626	0.203827681	0	21.5	0	0	3
62	11	0	1.28197206	11.4170123	11.5815995	11.368563	12.3127766	0.944213626	0.203827681	0	21.5	0	0	3
63	11	0	1.30264902	11.4110659	11.5456991	11.368563	12.3127766	0.944213626	0.203827681	0	21.5	0	0	3
64	11	0	1.32332599	11.4258382	11.5102862	11.368563	12.3127766	0.944213626	0.203827681	0	21.5	0	0	3
65	11	0	1.34400296	11.4136565	11.4743213	11.368563	11.6869676	0.318404639	0.203827681	0	64	0	0	3
66	11	0	1.36467993	11.4126806	11.4638552	11.368563	11.6869676	0.318404639	0.203827681	0	64	0	0	3
67	12	0	1.3853569	11.4121818	11.453109	11.368563	11.6869676	0.318404639	0.203827681	0	64	0	0	3
68	12	0	1.40603387	11.4118829	11.4422326	11.368563	11.6869676	0.318404639	0.203827681	0	64	0	0	3
69	12	0	1.42671084	11.4147274	11.4313877	11.368563	11.6869676	0.318404639	0.203827681	0	64	0	0	3
70	12	0	1.44738781	11.4270459	11.4209908	11.368563	11.469927	0.101364022	0.203827681	0	100	0	0	3
71	12	0	1.46806477	11.4204813	11.4191081	11.368563	11.469927	0.101364022	0.203827681	0	100	0	0	3
72	12	0	1.48874174	11.4535805	11.4185164	11.368563	11.469927	0.101364022	0.203827681	0	100	0	0	3
73	13	0	1.50941871	11.4462043	11.4175675	11.368563	11.4694202	0.100857153	0.203827681	0	100	0	0	3
74	13	0	1.53009568	11.4499579	11.416789	11.368563	11.4535805	0.0850175126	0.203827681	0	100	0	0	3
75	13	0	1.55077265	11.4341734	11.4177974	11.368563	11.4535805	0.0850175126	0.203827681	0	100	0	0	3
76	13	0	1.57144962	11.4507692	11.4200784	11.368563	11.4535805	0.0850175126	0.203827681	0	100	0	0	3
77	13	0	1.59212659	11.4512833	11.4233872	11.400226	11.4535805	0.0533544704	0.203827681	0	100	0	0	3
78	13	0	1.61280355	11.4537164	11.424752	11.400226	11.4537164	0.0534903218	0.203827681	0	100	0	0	3
79	14	0	1.63348052	11.4552835	11.4268619	11.400226	11.4552835	0.0550574195	0.203827681	0	100	0	0	3
80	14	0	1.65415749	11.454962	11.4280176	11.400226	11.4552835	0.0550574195	0.203827681	0	100	0	0	3
81	14	0	1.67483446	11.4314455	11.428533	11.400226	11.4552835	0.0550574195	0.203827681	0	100	0	0	3
82	14	0	1.69551143	11.428993	11.428898	11.400226	11.4552835	0.0550574195	0.203827681	0	100	0	0	3
83	14	0	1.7161884	11.3940674	11.4286517	11.3940674	11.4552835	0.0612160841	0.203827681	0	100	0	0	3
84	14	0	1.73686537	11.3873121	11.427045	11.3873121	11.4552835	0.067971389	0.203827681	0	100	0	0	3
85	14	0	1.75754234	11.391756	11.4264182	11.3873121	11.4552835	0.067971389	0.203827681	0	100	0	0	3
86	15	0	1.7782193	11.3975828	11.4259064	11.3873121	11.4552835	0.067971389	0.203827681	0	100	0	0	3
87	15	0	1.79889627	11.411487	11.4256854	11.3873121	11.4552835	0.067971389	0.203827681	0	100	0	0	3
88	15	0	1.81957324	11.4065005	11.4255028	11.3873121	11.4552835	0.067971389	0.203827681	0	100	0	0	3
89	15	0	1.84025021	11.402567	11.4245719	11.3873121	11.4552835	0.0575323698	0.203827681	0	100	0	0	3
90	15	0	1.86092718	11.4107428	11.4244554	11.3873121	11.4552835	0.0470661803	0.203827681	0	100	0	0	3
91	15	0	1.88160415	11.4063273	11.4242012	11.3873121	11.4552835	0.0363199875	0.203827681	0	100	0	0	3
92	16	0	1.90228112	11.4094428	11.4240917	11.3873121	11.4552835	0.0254436573	0.203827681	0	100	0	0	3
93	16	0	1.92295808	11.4016379	11.4236819	11.3873121	11.4552835	0.0145987251	0.203827681	0	100	0	0	3
94	16	0	1.94363505	11.4070297	11.423374	11.3873121	11.4552835	0.0121090755	0.203827681	0	100	0	0	3
95	16	0	1.96431202	11.3939137	11.4220487	11.3873121	11.4552835	0.0121090755	0.203827681	0	100	0	0	3
96	16	0	1.98498899	11.4088448	11.4215832	11.3873121	11.4552835	0.0121090755	0.203827681	0	100	0	0	3
97	16	0	2.00566596	11.407344	11.4197338	11.3873121	11.4552835	0.0121090755	0.203827681	0	100	0	0	3
98	17	0	2.02634293	11.4126123	11.4183901	11.3873121	11.4552835	0.0121090755	0.203827681	0	100	0	0	3
99	17	0	2.0470199	11.4144224	11.4169687	11.3873121	11.4552835	0.0119293836	0.203827681	0	100	0	0	3
100	17	0	2.06769686	11.4202061	11.41641	11.3873121	11.4552835	0.0124880742	0.203827681	0	100	0	0	3
101	17	0	2.08837383	11.4134318	11.4149165	11.3873121	11.4552835	0.0139815674	0.203827681	0	100	0	0	3
102	17	0	2.1090508	11.422033	11.4137465	11.3873121	11.4552835	0.0151515815	0.203827681	0	100	0	0	3
103	18	0	2.12972777	11.4205072	11.4124181	11.3873121	11.4552835	0.0164799483	0.203827681	0	100	0	0	3
104	18	0	2.15040474	11.4135819	11.41075	11.3873121	11.454962	0.0181480101	0.203827681	0	100	0	0	3
105	18	0	2.17108171	11.4117455	11.4090214	11.3873121	11.4314455	0.0198766696	0.203827681	0	100	0	0	3
106	18	0	2.19175868	11.4142812	11.4083348	11.3873121	11.428993	0.0205632417	0.203827681	0	100	0	0	3
107	18	0	2.21243565	11.4104222	11.407592	11.3873121	11.422033	0.0210597258	0.203827681	0	100	0	0	3
108	18	0	2.23311261	11.4094515	11.4082073	11.3873121	11.422033	0.0194530703	0.203827681	0	100	0	0	3
109	18	0	2.25378958	11.4093576	11.4090892	11.391756	11.422033	0.0188262118	0.203827681	0	100	0	0	3
110	19	0	2.27446655	11.401179	11.4094661	11.3939137	11.422033	0.0183144242	0.203827681	0	100	0	0	3
111	19	0	2.29514352	11.4129443	11.4100805	11.3939137	11.422033	0.0180934092	0.203827681	0	100	0	0	3
112	19	0	2.31582049	11.4174771	11.4103201	11.3939137	11.422033	0.0179107943	0.203827681	0	100	0	0	3
113	19	0	2.33649746	11.4136631	11.4106066	11.3939137	11.422033	0.0169799477	0.203827681	0	100	0	0	3
114	19	0	2.35717443	11.4196009	11.411288	11.3939137	11.422033	0.0168634011	0.203827681	0	100	0	0	3
115	19	0	2.37785139	11.4113833	11.4113136	11.3939137	11.422033	0.0166092687	0.203827681	0	100	0	0	3
116	20	0	2.39852836	11.3926742	11.4107675	11.3926742	11.422033	0.0164997093	0.203827681	0	100	0	0	3
117	20	0	2.41920533	11.3910135	11.4100303	11.3910135	11.422033	0.0160899096	0.203827681	0	100	0	0	3
118	20	0	2.4398823	11.4026707	11.4100716	11.3910135	11.422033	0.0157819995	0.203827681	0	100	0	0	3
119	20	0	2.46055927	11.4041995	11.4099584	11.3910135	11.422033	0.014456712	0.203827681	0	100	0	0	3
120	20	0	2.48123624	11.3942947	11.4099737	11.3910135	11.422033	0.0139912519	0.203827681	0	100	0	0	3
121	20	0	2.50191321	11.4106571	11.4100462	11.3910135	11.422033	0.0121417917	0.203827681	0	100	0	0	3
122	21	0	2.52259018	11.4145066	11.4103327	11.3910135	11.422033	0.0107981112	0.203827681	0	100	0	0	3
123	21	0	2.54326714	11.395316	11.4096408	11.3910135	11.422033	0.00937668885	0.203827681	0	100	0	0	3
124	21	0	2.56394411	11.4018128	11.4091364	11.3910135	11.422033	0.00881799822	0.203827681	0	100	0	0	3
125	21	0	2.58462108	11.3931964	11.408056	11.3910135	11.422033	0.00732450498	0.203827681	0	100	0	0	3
126	21	0	2.60529805	11.4043607	11.4076932	11.3910135	11.422033	0.00615449095	0.203827681	0	100	0	0	3
127	21	0	2.62597502	11.39952	11.4067927	11.3910135	11.4205072	0.00562541909	0.203827681	0	100	0	0	3
128	22	0	2.64665199	11.3816215	11.4052373	11.3816215	11.4196009	0.00607636994	0.203827681	0	100	0	0	3
129	22	0	2.66732896	11.3621539	11.4031801	11.3621539	11.4196009	0.0081334911	0.203827681	0	100	0	0	3
130	22	0	2.68800592	11.3943341	11.4024837	11.3621539	11.4196009	0.00882994829	0.203827681	0	100	0	0	3
131	22	0	2.70868289	11.389814	11.401505	11.3621539	11.4196009	0.00980863899	0.203827681	0	100	0	0	3
132	22	0	2.72935986	11.413682	11.4016354	11.3621539	11.4196009	0.00980863899	0.203827681	0	100	0	0	3
133	22	0	2.75003683	11.406759	11.4015277	11.3621539	11.4196009	0.00980863899	0.203827681	0	100	0	0	3
134	23	0	2.7707138	11.412554	11.4016555	11.3621539	11.4196009	0.00980863899	0.203827681	0	100	0	0	3
135	23	0	2.79139077	11.4076741	11.4019153	11.3621539	11.4196009	0.00980863899	0.203827681	0	100	0	0	3
136	23	0	2.81206774	11.4019955	11.4014774	11.3621539	11.4196009	0.00983624227	0.203827681	0	100	0	0	3
137	23	0	2.8327447	11.3737078	11.3997266	11.3621539	11.4196009	0.0115870144	0.203827681	0	100	0	0	3
138	23	0	2.85342167	11.3761011	11.3982241	11.3621539	11.4196009	0.0130894907	0.203827681	0	100	0	0	3
139	24	0	2.87409864	11.4081138	11.3977646	11.3621539	11.4145066	0.0135489733	0.203827681	0	100	0	0	3
140	24	0	2.89477561	11.4119938	11.3977891	11.3621539	11.4145066	0.0130028514	0.203827681	0	100	0	0	3
141	24	0	2.91545258	11.405459	11.3983005	11.3621539	11.4145066	0.0125680194	0.203827681	0	100	0	0	3
142	24	0	2.93612955	11.4176922	11.3993676	11.3621539	11.4176922	0.0125680194	0.203827681	0	100	0	0	3
143	24	0	2.95680652	11.4098	11.3996528	11.3621539	11.4176922	0.0125680194	0.203827681	0	100	0	0	3
144	24	0	2.97748349	11.3667353	11.3981542	11.3621539	11.4176922	0.0125680194	0.203827681	0	100	0	0	3
145	25	0	2.99816045	11.3787888	11.397534	11.3621539	11.4176922	0.0127986933	0.203827681	0	100	0	0	3
146	25	0	3.01883742	11.3617355	11.3955771	11.3617355	11.4176922	0.0147555558	0.203827681	0	100	0	0	3
147	25	0	3.03951439	11.3571971	11.3932847	11.3571971	11.4176922	0.0163560854	0.203827681	0	100	0	0	3
148	25	0	3.06019136	11.3937844	11.3932235	11.3571971	11.4176922	0.0159129667	0.203827681	0	100	0	0	3
149	25	0	3.08086833	11.4170048	11.3938311	11.3571971	11.4176922	0.0148325764	0.203827681	0	100	0	0	3
150	25	0	3.1015453	11.4458887	11.3959388	11.3571971	11.4458887	0.0144697323	0.203827681	0	100	0	0	3
151	26	0	3.12222227	11.3989569	11.3957227	11.3571971	11.4458887	0.0135692131	0.203827681	0	100	0	0	3
152	26	0	3.14289923	11.4092219	11.3961108	11.3571971	11.4458887	0.0120137837	0.203827681	0	100	0	0	3
153	26	0	3.1635762	11.412558	11.3973482	11.3571971	11.4458887	0.00995666257	0.203827681	0	100	0	0	3
154	26	0	3.18425317	11.3794695	11.3980408	11.3571971	11.4458887	0.00926020538	0.203827681	0	100	0	0	3
155	26	0	3.20493014	11.4127697	11.3987783	11.3571971	11.4458887	0.00869186501	0.203827681	0	100	0	0	3
156	26	0	3.22560711	11.4133418	11.3997194	11.3571971	11.4458887	0.00869186501	0.203827681	0	100	0	0	3
157	27	0	3.24628408	11.4182063	11.3999004	11.3571971	11.4458887	0.00869186501	0.203827681	0	100	0	0	3
158	27	0	3.26696105	11.4169456	11.4003078	11.3571971	11.4458887	0.00869186501	0.203827681	0	100	0	0	3
