Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0206769686	-22.5119167	-22.5119167	-22.5119167	-22.5119167	0	0	0	0	0	0	3
2	1	0	0.0413539373	-20.7862855	-21.6491011	-22.5119167	-20.7862855	0.862815587	0	0	0	0	0	3
3	1	0	0.0620309059	-9.69056217	-17.6629215	-22.5119167	-9.69056217	4.84899524	0	0	0	0	0	3
4	1	0	0.0827078746	5.81601648	-11.793187	-22.5119167	5.81601648	10.7187297	0	0	0	0	0	3
5	2	0	0.103384843	13.3130098	-6.77194763	-22.5119167	13.3130098	15.7399691	0	0	0	0	0	3
6	2	0	0.124061812	3.32394107	-5.08929951	-22.5119167	13.3130098	17.4226172	0	0	0	0	0	3
7	2	0	0.144738781	4.19068885	-3.76358689	-22.5119167	13.3130098	18.7483298	0	0	0	0	0	3
8	2	0	0.165415749	-0.127397853	-3.30906326	-22.5119167	13.3130098	19.2028535	0	0	0	0	0	3
9	2	0	0.186092718	2.61307342	-2.65104807	-22.5119167	13.3130098	19.8608686	0	0	0	0	0	3
10	2	0	0.206769686	-3.13395975	-2.69933924	-22.5119167	13.3130098	19.8608686	0	0	0	0	0	3
11	2	0	0.227446655	1.47752419	-2.31962438	-22.5119167	13.3130098	20.1922923	0	0	0	0	0	3
12	3	0	0.248123624	-2.55047671	-2.33886208	-22.5119167	13.3130098	20.1922923	0	0	0	0	0	3
13	3	0	0.268800592	-0.241250377	-2.17750733	-22.5119167	13.3130098	20.3344094	0	0	0	0	0	3
14	3	0	0.289477561	-2.4153956	-2.19449935	-22.5119167	13.3130098	20.3344094	0	0	0	0	0	3
15	3	0	0.31015453	-0.993872621	-2.11445757	-22.5119167	13.3130098	20.3974592	0	0	0	0	0	3
16	3	0	0.330831498	-2.70642663	-2.15145564	-22.5119167	13.3130098	20.3974592	0	0	0	0	0	3
17	3	0	0.351508467	-1.56401292	-2.11690018	-22.5119167	13.3130098	20.3974592	0	0	0	0	0	3
18	3	0	0.372185436	-2.77575905	-2.15350345	-22.5119167	13.3130098	20.3974592	0	0	0	0	0	3
19	4	0	0.392862404	-1.9428539	-2.14241663	-22.5119167	13.3130098	20.3974592	0	0	0	0	0	3
20	4	0	0.413539373	-2.64052052	-2.16732183	-22.5119167	13.3130098	20.3974592	0	0	0	0	0	3
21	4	0	0.434216342	-1.50393053	-2.13573177	-22.5119167	13.3130098	20.3974592	0	0	0	0	0	3
22	4	0	0.45489331	-2.16969989	-2.13727577	-22.5119167	13.3130098	20.3974592	0	0	0	0	0	3
23	4	0	0.475570279	-1.08980948	-2.09173376	-22.5119167	13.3130098	20.420183	0	0	0	0	0	3
24	4	0	0.496247248	-1.82966174	-2.08081409	-22.5119167	13.3130098	20.4311026	0	0	0	0	0	3
25	4	0	0.516924216	-0.41346532	-2.01412014	-22.5119167	13.3130098	20.4977966	0	0	0	0	0	3
26	5	0	0.537601185	-1.12821607	-1.15877211	-20.7862855	13.3130098	20.490329	0	0	0	0	0	3
27	5	0	0.558278153	-0.292361122	-0.339015138	-9.69056217	13.3130098	17.3239063	0	0	0	0	0	3
28	5	0	0.578955122	-0.726072271	0.0195644581	-3.13395975	13.3130098	11.8127514	0	0	0	0	0	3
29	5	0	0.599632091	0.233029227	-0.203755032	-3.13395975	13.3130098	6.79151209	0	0	0	0	0	3
30	5	0	0.620309059	-0.505019841	-0.756476218	-3.13395975	4.19068885	5.10886397	0	0	0	0	0	3
31	5	0	0.640986028	0.359041954	-0.875072182	-3.13395975	4.19068885	3.78315135	0	0	0	0	0	3
32	6	0	0.661662997	-0.106454063	-1.0469579	-3.13395975	2.61307342	3.32862772	0	0	0	0	0	3
33	6	0	0.682339965	0.153565133	-1.03571938	-3.13395975	2.61307342	2.7189037	0	0	0	0	0	3
34	6	0	0.703016934	-0.131758548	-1.14551266	-3.13395975	1.47752419	2.7189037	0	0	0	0	0	3
35	6	0	0.723693903	0.34158888	-1.00649071	-2.77575905	1.47752419	2.35842654	0	0	0	0	0	3
36	6	0	0.744370871	0.238257351	-1.05606139	-2.77575905	0.359041954	2.35842654	0	0	0	0	0	3
37	6	0	0.76504784	0.226052611	-0.945000214	-2.77575905	0.359041954	2.21406381	0	0	0	0	0	3
38	7	0	0.785724809	0.32608148	-0.922306939	-2.77575905	0.359041954	2.21406381	0	0	0	0	0	3
39	7	0	0.806401777	0.201767394	-0.81762042	-2.77575905	0.359041954	2.18688629	0	0	0	0	0	3
40	7	0	0.827078746	-0.00259216854	-0.777969202	-2.77575905	0.359041954	2.18688629	0	0	0	0	0	3
41	7	0	0.847755715	0.00137955217	-0.669656954	-2.77575905	0.359041954	2.18688629	0	0	0	0	0	3
42	7	0	0.868432683	0.197504226	-0.599196268	-2.77575905	0.359041954	2.18688629	0	0	0	0	0	3
43	7	0	0.889109652	0.187985437	-0.480646489	-2.64052052	0.359041954	2.18688629	0	0	0	0	0	3
44	8	0	0.90978662	0.515181972	-0.382325054	-2.64052052	0.515181972	2.18688629	0	0	0	0	0	3
45	8	0	0.930463589	0.317490605	-0.264004609	-2.16969989	0.515181972	2.15684023	0	0	0	0	0	3
46	8	0	0.951140558	0.323875811	-0.190892355	-2.16969989	0.515181972	2.15684023	0	0	0	0	0	3
47	8	0	0.971817526	0.317575809	-0.091401327	-1.82966174	0.515181972	2.11129822	0	0	0	0	0	3
48	8	0	0.992494495	0.440548461	-0.0301870094	-1.82966174	0.515181972	2.10037855	0	0	0	0	0	3
49	8	0	1.01317146	0.572422584	0.0658963636	-1.12821607	0.572422584	1.70063865	0.927504022	0	54.5	0	0	3
50	8	0	1.03384843	0.189123523	0.0899999174	-1.12821607	0.572422584	1.24877203	0.927504022	0	74.2	0	0	3
51	9	0	1.0545254	0.503956025	0.155286801	-0.726072271	0.572422584	1.29849486	0.927504022	0	71.4	0	0	3
52	9	0	1.07520237	0.466939583	0.185658829	-0.726072271	0.572422584	1.29849486	0.927504022	0	71.4	0	0	3
53	9	0	1.09587934	0.608021394	0.239022576	-0.505019841	0.608021394	1.11304123	0.927504022	0	83.3	0	0	3
54	9	0	1.11655631	0.698774571	0.25765239	-0.505019841	0.698774571	1.20379441	0.927504022	0	77	0	0	3
55	9	0	1.13723328	0.0617722984	0.280324075	-0.131758548	0.698774571	0.830533119	0.927504022	0	100	0	0	3
56	10	0	1.15791024	0.228840537	0.275116018	-0.131758548	0.698774571	0.830533119	0.927504022	0	100	0	0	3
57	10	0	1.17858721	-0.308223367	0.267045246	-0.308223367	0.698774571	1.00699794	0.927504022	0	92.1	0	0	3
58	10	0	1.19926418	0.351547565	0.274964544	-0.308223367	0.698774571	1.00699794	0.927504022	0	92.1	0	0	3
59	10	0	1.21994115	-0.0319738303	0.278955932	-0.308223367	0.698774571	1.00699794	0.927504022	0	92.1	0	0	3
60	10	0	1.24061812	-0.0478971773	0.26337649	-0.308223367	0.698774571	1.00699794	0.927504022	0	92.1	0	0	3
61	10	0	1.26129509	-0.347472223	0.239947307	-0.347472223	0.698774571	1.04624679	0.927504022	0	88.6	0	0	3
62	11	0	1.28197206	-0.262894377	0.220389428	-0.347472223	0.698774571	1.04624679	0.927504022	0	88.6	0	0	3
63	11	0	1.30264902	-0.425165543	0.190339547	-0.425165543	0.698774571	1.09794449	0.927504022	0	84.4	0	0	3
64	11	0	1.32332599	-0.310633696	0.169843503	-0.425165543	0.698774571	1.05829328	0.927504022	0	87.6	0	0	3
65	11	0	1.34400296	-0.513820495	0.14939437	-0.513820495	0.698774571	0.94998103	0.927504022	0	97.6	0	0	3
66	11	0	1.36467993	-0.494574849	0.129556194	-0.513820495	0.698774571	0.879520344	0.927504022	0	100	0	0	3
67	12	0	1.3853569	-0.524669869	0.10066923	-0.524669869	0.698774571	0.760970564	0.927504022	0	100	0	0	3
68	12	0	1.40603387	-0.394154955	0.0773836144	-0.524669869	0.698774571	0.662649129	0.927504022	0	100	0	0	3
69	12	0	1.42671084	-0.353867515	0.0426216349	-0.524669869	0.698774571	0.544328684	0.927504022	0	100	0	0	3
70	12	0	1.44738781	-0.234456296	0.0205437588	-0.524669869	0.698774571	0.47121643	0.927504022	0	100	0	0	3
71	12	0	1.46806477	-0.0834437041	0.00425097819	-0.524669869	0.698774571	0.371725402	0.927504022	0	100	0	0	3
72	12	0	1.48874174	0.0624263111	-0.00595500173	-0.524669869	0.698774571	0.310511085	0.927504022	0	100	0	0	3
73	13	0	1.50941871	-0.0144832198	-0.024156269	-0.524669869	0.698774571	0.304480344	0.927504022	0	100	0	0	3
74	13	0	1.53009568	0.00801875947	-0.046732422	-0.524669869	0.698774571	0.327056497	0.927504022	0	100	0	0	3
75	13	0	1.55077265	0.00136931681	-0.0542425902	-0.524669869	0.698774571	0.334566665	0.927504022	0	100	0	0	3
76	13	0	1.57144962	0.0875078622	-0.0709005167	-0.524669869	0.698774571	0.351224592	0.927504022	0	100	0	0	3
77	13	0	1.59212659	0.0573641859	-0.0872835326	-0.524669869	0.698774571	0.367607608	0.927504022	0	100	0	0	3
78	13	0	1.61280355	0.15723654	-0.105314927	-0.524669869	0.698774571	0.385639002	0.927504022	0	100	0	0	3
79	14	0	1.63348052	0.359308302	-0.118893578	-0.524669869	0.359308302	0.399217653	0.927504022	0	100	0	0	3
80	14	0	1.65415749	0.432496251	-0.104064619	-0.524669869	0.432496251	0.39784951	0.927504022	0	100	0	0	3
81	14	0	1.67483446	0.580888885	-0.0899826855	-0.524669869	0.580888885	0.39784951	0.927504022	0	100	0	0	3
82	14	0	1.69551143	0.383936621	-0.062296286	-0.524669869	0.580888885	0.39784951	0.927504022	0	100	0	0	3
83	14	0	1.7161884	0.330128156	-0.0631530624	-0.524669869	0.580888885	0.39784951	0.927504022	0	100	0	0	3
84	14	0	1.73686537	0.438299483	-0.0443421298	-0.524669869	0.580888885	0.382270068	0.927504022	0	100	0	0	3
85	14	0	1.75754234	0.415770898	-0.0257954068	-0.524669869	0.580888885	0.358840885	0.927504022	0	100	0	0	3
86	15	0	1.7782193	0.234063554	-0.00253397577	-0.524669869	0.580888885	0.339283005	0.927504022	0	100	0	0	3
87	15	0	1.79889627	0.242623554	0.0176867415	-0.524669869	0.580888885	0.309233124	0.927504022	0	100	0	0	3
88	15	0	1.81957324	0.2086275	0.0430384632	-0.524669869	0.580888885	0.288737081	0.927504022	0	100	0	0	3
89	15	0	1.84025021	0.25944839	0.0658417466	-0.524669869	0.580888885	0.268287947	0.927504022	0	100	0	0	3
90	15	0	1.86092718	0.1308651	0.0916291704	-0.524669869	0.580888885	0.248449771	0.927504022	0	100	0	0	3
91	15	0	1.88160415	0.284496817	0.122792037	-0.524669869	0.580888885	0.241685615	0.927504022	0	100	0	0	3
92	16	0	1.90228112	0.226120325	0.152823645	-0.394154955	0.580888885	0.271717222	0.927504022	0	100	0	0	3
93	16	0	1.92295808	0.434199019	0.185957804	-0.353867515	0.580888885	0.304851381	0.927504022	0	100	0	0	3
94	16	0	1.94363505	0.350071593	0.214115368	-0.234456296	0.580888885	0.333008946	0.927504022	0	100	0	0	3
95	16	0	1.96431202	0.374597184	0.238477507	-0.0834437041	0.580888885	0.357371085	0.927504022	0	100	0	0	3
96	16	0	1.98498899	0.232530532	0.251116477	-0.0144832198	0.580888885	0.370010054	0.927504022	0	100	0	0	3
97	16	0	2.00566596	0.301615478	0.260684043	-0.0144832198	0.580888885	0.379577621	0.927504022	0	100	0	0	3
98	17	0	2.02634293	0.112780456	0.26577459	0.00136931681	0.580888885	0.384668168	0.927504022	0	100	0	0	3
99	17	0	2.0470199	0.0542450961	0.267623644	0.00136931681	0.580888885	0.386517221	0.927504022	0	100	0	0	3
100	17	0	2.06769686	-0.110350533	0.26315485	-0.110350533	0.580888885	0.386517221	0.927504022	0	100	0	0	3
101	17	0	2.08837383	-0.0915071357	0.25599425	-0.110350533	0.580888885	0.386517221	0.927504022	0	100	0	0	3
102	17	0	2.1090508	-0.0964438773	0.249841928	-0.110350533	0.580888885	0.386517221	0.927504022	0	100	0	0	3
103	18	0	2.12972777	0.034214668	0.244921053	-0.110350533	0.580888885	0.386517221	0.927504022	0	100	0	0	3
104	18	0	2.15040474	0.0332754532	0.231879739	-0.110350533	0.580888885	0.371688263	0.927504022	0	100	0	0	3
105	18	0	2.17108171	0.208512775	0.2229204	-0.110350533	0.580888885	0.357606329	0.927504022	0	100	0	0	3
106	18	0	2.19175868	0.232272397	0.20897574	-0.110350533	0.438299483	0.330776706	0.927504022	0	100	0	0	3
107	18	0	2.21243565	0.281373874	0.20487323	-0.110350533	0.438299483	0.330776706	0.927504022	0	100	0	0	3
108	18	0	2.23311261	0.220854172	0.200502271	-0.110350533	0.438299483	0.311965774	0.927504022	0	100	0	0	3
109	18	0	2.25378958	0.340345465	0.19658411	-0.110350533	0.434199019	0.293419051	0.927504022	0	100	0	0	3
110	19	0	2.27446655	0.014007235	0.180513564	-0.110350533	0.434199019	0.27015762	0.927504022	0	100	0	0	3
