Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0206769686	3400.44733	3400.44733	3400.44733	3400.44733	0	0	0	0	0	0	3
2	1	0	0.0413539373	586.087715	1993.26753	586.087715	3400.44733	1407.17981	0	0	0	0	0	3
3	1	0	0.0620309059	152.504168	1379.67974	152.504168	3400.44733	2020.7676	0	0	0	0	0	3
4	1	0	0.0827078746	44.5283057	1045.89188	44.5283057	3400.44733	2354.55545	0	0	0	0	0	3
5	2	0	0.103384843	81.659424	853.045389	44.5283057	3400.44733	2547.40195	0	0	0	0	0	3
6	2	0	0.124061812	42.3683577	717.932551	42.3683577	3400.44733	2682.51478	0	0	0	0	0	3
7	2	0	0.144738781	58.2551841	623.692927	42.3683577	3400.44733	2776.75441	0	0	0	0	0	3
8	2	0	0.165415749	38.3983419	550.531104	38.3983419	3400.44733	2849.91623	0	0	0	0	0	3
9	2	0	0.186092718	45.1658993	494.379414	38.3983419	3400.44733	2906.06792	0	0	0	0	0	3
10	2	0	0.206769686	33.4217751	448.283651	33.4217751	3400.44733	2952.16368	0	0	0	0	0	3
11	2	0	0.227446655	34.2950479	410.648323	33.4217751	3400.44733	2989.79901	0	0	0	0	0	3
12	3	0	0.248123624	28.0347581	378.763859	28.0347581	3400.44733	3021.68348	0	0	0	0	0	3
13	3	0	0.268800592	28.1886669	351.796537	28.0347581	3400.44733	3048.6508	0	0	0	0	0	3
14	3	0	0.289477561	23.9048648	328.375703	23.9048648	3400.44733	3072.07163	0	0	0	0	0	3
15	3	0	0.31015453	23.4921524	308.050133	23.4921524	3400.44733	3092.3972	0	0	0	0	0	3
16	3	0	0.330831498	20.8204725	290.098279	20.8204725	3400.44733	3110.34906	0	0	0	0	0	3
17	3	0	0.351508467	20.1379731	274.218261	20.1379731	3400.44733	3126.22907	0	0	0	0	0	3
18	3	0	0.372185436	18.6472883	260.019874	18.6472883	3400.44733	3140.42746	0	0	0	0	0	3
19	4	0	0.392862404	17.9846306	247.281177	17.9846306	3400.44733	3153.16616	0	0	0	0	0	3
20	4	0	0.413539373	17.752671	235.804752	17.752671	3400.44733	3164.64258	0	0	0	0	0	3
21	4	0	0.434216342	17.216639	225.395794	17.216639	3400.44733	3175.05154	0	0	0	0	0	3
22	4	0	0.45489331	17.0883494	215.927274	17.0883494	3400.44733	3184.52006	0	0	0	0	0	3
23	4	0	0.475570279	16.8217175	207.27051	16.8217175	3400.44733	3193.17682	0	0	0	0	0	3
24	4	0	0.496247248	16.9201314	199.339245	16.8217175	3400.44733	3201.10809	0	0	0	0	0	3
25	4	0	0.516924216	16.7500793	192.035678	16.7500793	3400.44733	3208.41166	0	0	0	0	0	3
26	5	0	0.537601185	16.3036644	56.6699311	16.3036644	586.087715	569.784051	0	0	0	0	0	3
27	5	0	0.558278153	16.0303176	33.8676352	16.0303176	152.504168	136.47385	0	0	0	0	0	3
28	5	0	0.578955122	15.8685707	28.4022113	15.8685707	81.659424	65.7908533	0	0	0	0	0	3
29	5	0	0.599632091	16.0738721	27.264034	15.8685707	81.659424	65.7908533	0	0	0	0	0	3
30	5	0	0.620309059	16.0570282	24.6399381	15.8685707	58.2551841	42.3866135	0	0	0	0	0	3
31	5	0	0.640986028	16.4017153	23.6012724	15.8685707	58.2551841	42.3866135	0	0	0	0	0	3
32	6	0	0.661662997	16.1790997	21.918229	15.8685707	45.1658993	29.2973286	0	0	0	0	0	3
