Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	15	0	0.0057370669	6.25966299e-06	6.25966299e-06	6.25966299e-06	6.25966299e-06	0	0	0	0	0	0	3
2	19	0	0.0114741338	1.49719006e-05	1.06157818e-05	6.25966299e-06	1.49719006e-05	4.35611879e-06	0	0	0	0	0	3
3	22	0	0.0172112007	1.12279574e-05	1.08198403e-05	6.25966299e-06	1.49719006e-05	4.56017733e-06	0	0	0	0	0	3
4	24	0	0.0229482676	1.24016684e-05	1.12152973e-05	6.25966299e-06	1.49719006e-05	4.95563434e-06	0	0	0	0	0	3
5	27	0	0.0286853345	1.10953549e-05	1.11913088e-05	6.25966299e-06	1.49719006e-05	4.95563434e-06	0	0	0	0	0	3
6	29	0	0.0344224014	1.24355941e-05	1.13986897e-05	6.25966299e-06	1.49719006e-05	5.13902673e-06	0	0	0	0	0	3
7	31	0	0.0401594683	1.28742217e-05	1.160948e-05	6.25966299e-06	1.49719006e-05	5.34981701e-06	0	0	0	0	0	3
8	33	0	0.0458965352	1.48428977e-05	1.20136572e-05	6.25966299e-06	1.49719006e-05	5.75399423e-06	0	0	0	0	0	3
9	35	0	0.0516336021	1.68329946e-05	1.25491392e-05	6.25966299e-06	1.68329946e-05	6.28947616e-06	0	0	0	0	0	3
10	37	0	0.057370669	1.97692676e-05	1.3271152e-05	6.25966299e-06	1.97692676e-05	7.011489e-06	0	0	0	0	0	3
11	40	0	0.0631077359	2.48072712e-05	1.43198901e-05	6.25966299e-06	2.48072712e-05	8.06022711e-06	0	0	0	0	0	3
12	42	0	0.0688448028	3.01901539e-05	1.56424121e-05	6.25966299e-06	3.01901539e-05	9.38274909e-06	0	0	0	0	0	3
13	44	0	0.0745818697	3.5579e-05	1.71759958e-05	6.25966299e-06	3.5579e-05	1.09163328e-05	0	0	0	0	0	3
14	46	0	0.0803189366	4.17210555e-05	1.89292143e-05	6.25966299e-06	4.17210555e-05	1.26695513e-05	0	0	0	0	0	3
