Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	15	0	0.0057370669	20.4320995	20.4320995	20.4320995	20.4320995	0	0	0	0	0	0	3
2	19	0	0.0114741338	16.4218307	18.4269651	16.4218307	20.4320995	2.00513441	0	0	0	0	0	3
3	22	0	0.0172112007	16.7509956	17.8683086	16.4218307	20.4320995	2.5637909	0	0	0	0	0	3
4	24	0	0.0229482676	16.2982703	17.475799	16.2982703	20.4320995	2.95630048	0	0	0	0	0	3
5	27	0	0.0286853345	16.2611222	17.2328637	16.2611222	20.4320995	3.19923584	0	0	0	0	0	3
6	29	0	0.0344224014	16.2989658	17.077214	16.2611222	20.4320995	3.3548855	0	0	0	0	0	3
7	31	0	0.0401594683	16.2833217	16.9638008	16.2611222	20.4320995	3.46829869	0	0	0	0	0	3
8	33	0	0.0458965352	16.2702156	16.8771027	16.2611222	20.4320995	3.55499685	0	0	0	0	0	3
9	35	0	0.0516336021	16.2536071	16.8078254	16.2536071	20.4320995	3.62427413	0	0	0	0	0	3
10	37	0	0.057370669	16.2396993	16.7510128	16.2396993	20.4320995	3.68108674	0	0	0	0	0	3
11	40	0	0.0631077359	16.1481866	16.6962104	16.1481866	20.4320995	3.73588912	0	0	0	0	0	3
12	42	0	0.0688448028	16.1237946	16.6485091	16.1237946	20.4320995	3.78359044	0	0	0	0	0	3
13	44	0	0.0745818697	16.0980083	16.6061629	16.0980083	20.4320995	3.82593665	0	0	0	0	0	3
14	46	0	0.0803189366	16.0736651	16.5681273	16.0736651	20.4320995	3.8639722	0	0	0	0	0	3
15	48	0	0.0860560035	16.0490768	16.5335239	16.0490768	20.4320995	3.89857557	0	0	0	0	0	3
16	50	0	0.0917930704	15.9641753	16.4979397	15.9641753	20.4320995	3.93415986	0	0	0	0	0	3
17	53	0	0.0975301373	15.9327614	16.4646939	15.9327614	20.4320995	3.96740564	0	0	0	0	0	3
18	55	0	0.103267204	15.902188	16.4334436	15.902188	20.4320995	3.99865597	0	0	0	0	0	3
19	57	0	0.109004271	15.8719972	16.4038937	15.8719972	20.4320995	4.02820578	0	0	0	0	0	3
20	59	0	0.114741338	15.8433945	16.3758688	15.8433945	20.4320995	4.05623074	0	0	0	0	0	3
21	61	0	0.120478405	15.6697942	16.3422462	15.6697942	20.4320995	4.08985334	0	0	0	0	0	3
22	64	0	0.126215472	15.631173	16.3099247	15.631173	20.4320995	4.12217485	0	0	0	0	0	3
23	66	0	0.131952539	15.5931282	16.2787596	15.5931282	20.4320995	4.15333992	0	0	0	0	0	3
24	68	0	0.137689606	15.5578373	16.2487212	15.5578373	20.4320995	4.18337835	0	0	0	0	0	3
25	70	0	0.143426672	15.5238052	16.2197245	15.5238052	20.4320995	4.21237499	0	0	0	0	0	3
26	73	0	0.149163739	15.1522672	16.1786685	15.1522672	20.4320995	4.25343104	0	0	0	0	0	3
27	75	0	0.154900806	15.1130533	16.1392013	15.1130533	20.4320995	4.29289827	0	0	0	0	0	3
28	77	0	0.160637873	15.0785372	16.1013204	15.0785372	20.4320995	4.33077913	0	0	0	0	0	3
29	79	0	0.16637494	15.047931	16.0649966	15.047931	20.4320995	4.3671029	0	0	0	0	0	3
30	82	0	0.172112007	15.0210092	16.030197	15.0210092	20.4320995	4.40190248	0	0	0	0	0	3
31	84	0	0.177849074	13.8962951	15.9613615	13.8962951	20.4320995	4.47073803	0	0	0	0	0	3
32	86	0	0.183586141	13.869696	15.8959969	13.869696	20.4320995	4.53610257	0	0	0	0	0	3
33	89	0	0.189323208	13.8477957	15.8339302	13.8477957	20.4320995	4.59816928	0	0	0	0	0	3
34	91	0	0.195060275	13.8302057	15.7749972	13.8302057	20.4320995	4.65710235	0	0	0	0	0	3
35	93	0	0.200797341	13.8159693	15.7190249	13.8159693	20.4320995	4.71307458	0	0	0	0	0	3
36	96	0	0.206534408	12.9641348	15.6425002	12.9641348	20.4320995	4.78959931	0	0	0	0	0	3
37	98	0	0.212271475	12.9602502	15.570007	12.9602502	20.4320995	4.86209255	0	0	0	0	0	3
38	100	0	0.218008542	12.9587994	15.501291	12.9587994	20.4320995	4.93080854	0	0	0	0	0	3
39	103	0	0.223745609	12.9583775	15.4360881	12.9583775	20.4320995	4.99601145	0	0	0	0	0	3
40	105	0	0.229482676	12.9582489	15.3741421	12.9582489	20.4320995	5.05795743	0	0	0	0	0	3
41	108	0	0.235219743	12.1872872	15.2964139	12.1872872	20.4320995	5.13568559	0	0	0	0	0	3
42	110	0	0.24095681	12.1997905	15.2226848	12.1872872	20.4320995	5.20941472	0	0	0	0	0	3
43	112	0	0.246693877	12.2110142	15.1526459	12.1872872	20.4320995	5.27945357	0	0	0	0	0	3
44	115	0	0.252430944	12.2204154	15.0860043	12.1872872	20.4320995	5.34609518	0	0	0	0	0	3
45	118	0	0.25816801	12.2286193	15.0225069	12.1872872	20.4320995	5.40959262	0	0	0	0	0	3
46	120	0	0.263905077	11.6246922	14.9486414	11.6246922	20.4320995	5.48345816	0	0	0	0	0	3
47	123	0	0.269642144	11.637546	14.8781925	11.6246922	20.4320995	5.553907	0	0	0	0	0	3
48	126	0	0.275379211	11.6483499	14.8109041	11.6246922	20.4320995	5.62119538	0	0	0	0	0	3
49	128	0	0.281116278	11.6568054	14.7465348	11.6246922	20.4320995	5.68556475	0	0	0	0	0	3
50	130	0	0.286853345	11.6637367	14.6848788	11.6246922	20.4320995	5.74722071	0	0	0	0	0	3
51	133	0	0.292590412	11.2286218	14.6171091	11.2286218	20.4320995	5.81499045	0	0	0	0	0	3
52	135	0	0.298327479	11.2372478	14.5521117	11.2286218	20.4320995	5.87998779	0	0	0	0	0	3
53	137	0	0.304064546	11.2433098	14.4896815	11.2286218	20.4320995	5.94241801	0	0	0	0	0	3
54	139	0	0.309801613	11.2484084	14.4296579	11.2286218	20.4320995	6.00244159	0	0	0	0	0	3
55	142	0	0.315538679	11.2520611	14.3718834	11.2286218	20.4320995	6.06021608	0	0	0	0	0	3
56	144	0	0.321275746	11.0517056	14.3125946	11.0517056	20.4320995	6.11950497	0	0	0	0	0	3
57	146	0	0.327012813	11.0569478	14.2554779	11.0517056	20.4320995	6.17662158	0	0	0	0	0	3
58	149	0	0.33274988	11.0612584	14.2004052	11.0517056	20.4320995	6.23169433	0	0	0	0	0	3
59	151	0	0.338486947	11.0642039	14.1472492	11.0517056	20.4320995	6.28485028	0	0	0	0	0	3
60	153	0	0.344224014	11.0666715	14.0959063	11.0517056	20.4320995	6.33619324	0	0	0	0	0	3
61	155	0	0.349961081	10.9657548	14.0445923	10.9657548	20.4320995	6.3875072	0	0	0	0	0	3
62	158	0	0.355698148	10.9682265	13.9949735	10.9657548	20.4320995	6.43712601	0	0	0	0	0	3
63	160	0	0.361435215	10.9702386	13.9469619	10.9657548	20.4320995	6.48513767	0	0	0	0	0	3
64	162	0	0.367172282	10.9718886	13.9004763	10.9657548	20.4320995	6.53162319	0	0	0	0	0	3
