Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	15	0	0.0057370669	4641.5118	4641.5118	4641.5118	4641.5118	0	0	0	0	0	0	3
2	19	0	0.0114741338	207.435366	2424.47358	207.435366	4641.5118	2217.03822	0	0	0	0	0	3
3	22	0	0.0172112007	34.7572791	1627.90148	34.7572791	4641.5118	3013.61032	0	0	0	0	0	3
4	24	0	0.0229482676	15.6785842	1224.84576	15.6785842	4641.5118	3416.66604	0	0	0	0	0	3
5	27	0	0.0286853345	21.913774	984.25936	15.6785842	4641.5118	3657.25244	0	0	0	0	0	3
6	29	0	0.0344224014	15.9716126	822.878069	15.6785842	4641.5118	3818.63373	0	0	0	0	0	3
7	31	0	0.0401594683	18.9358953	708.029187	15.6785842	4641.5118	3933.48261	0	0	0	0	0	3
8	33	0	0.0458965352	14.8319448	621.379532	14.8319448	4641.5118	4020.13227	0	0	0	0	0	3
9	35	0	0.0516336021	16.1201844	554.128493	14.8319448	4641.5118	4087.3833	0	0	0	0	0	3
10	37	0	0.057370669	13.1838318	500.034027	13.1838318	4641.5118	4141.47777	0	0	0	0	0	3
11	40	0	0.0631077359	13.5710146	455.810117	13.1838318	4641.5118	4185.70168	0	0	0	0	0	3
12	42	0	0.0688448028	12.0134405	418.82706	12.0134405	4641.5118	4222.68474	0	0	0	0	0	3
13	44	0	0.0745818697	12.3070218	387.556288	12.0134405	4641.5118	4253.95551	0	0	0	0	0	3
14	46	0	0.0803189366	11.4658504	360.692686	11.4658504	4641.5118	4280.81911	0	0	0	0	0	3
15	48	0	0.0860560035	11.4565235	337.410275	11.4565235	4641.5118	4304.10152	0	0	0	0	0	3
16	50	0	0.0917930704	10.9897337	317.008991	10.9897337	4641.5118	4324.50281	0	0	0	0	0	3
17	53	0	0.0975301373	10.5668017	298.98298	10.5668017	4641.5118	4342.52882	0	0	0	0	0	3
18	55	0	0.103267204	10.1485273	282.936621	10.1485273	4641.5118	4358.57518	0	0	0	0	0	3
19	57	0	0.109004271	10.0072033	268.571915	10.0072033	4641.5118	4372.93988	0	0	0	0	0	3
20	59	0	0.114741338	9.64366327	255.625502	9.64366327	4641.5118	4385.88629	0	0	0	0	0	3
21	61	0	0.120478405	9.73306665	243.916339	9.64366327	4641.5118	4397.59546	0	0	0	0	0	3
22	64	0	0.126215472	9.41334078	233.257112	9.41334078	4641.5118	4408.25469	0	0	0	0	0	3
