Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	15	0	0.0057370669	293.200023	293.200023	293.200023	293.200023	0	0	0	0	0	0	3
2	19	0	0.0114741338	293.20003	293.200027	293.200023	293.20003	3.37450734e-06	0	0	0	0	0	3
3	22	0	0.0172112007	293.200029	293.200028	293.200023	293.20003	4.25117855e-06	0	0	0	0	0	3
4	24	0	0.0229482676	293.200027	293.200028	293.200023	293.20003	4.25117855e-06	0	0	0	0	0	3
5	27	0	0.0286853345	293.200025	293.200027	293.200023	293.20003	4.25117855e-06	0	0	0	0	0	3
6	29	0	0.0344224014	293.200022	293.200026	293.200022	293.20003	4.25117855e-06	0	0	0	0	0	3
7	31	0	0.0401594683	293.200017	293.200025	293.200017	293.20003	4.25117855e-06	0	0	0	0	0	3
8	33	0	0.0458965352	293.200012	293.200023	293.200012	293.20003	4.44425666e-06	0	0	0	0	0	3
9	35	0	0.0516336021	293.200006	293.200021	293.200006	293.20003	6.34812824e-06	0	0	0	0	0	3
10	37	0	0.057370669	293.200001	293.200019	293.200001	293.20003	8.41798709e-06	0	0	0	0	0	3
11	40	0	0.0631077359	293.199993	293.200017	293.199993	293.20003	1.08101075e-05	0	0	0	0	0	3
12	42	0	0.0688448028	293.199986	293.200014	293.199986	293.20003	1.34266115e-05	0	0	0	0	0	3
13	44	0	0.0745818697	293.199978	293.200012	293.199978	293.20003	1.6195406e-05	0	0	0	0	0	3
14	46	0	0.0803189366	293.199971	293.200009	293.199971	293.20003	1.90650932e-05	0	0	0	0	0	3
15	48	0	0.0860560035	293.199965	293.200006	293.199965	293.20003	2.1997008e-05	0	0	0	0	0	3
16	50	0	0.0917930704	293.199955	293.200003	293.199955	293.20003	2.51608936e-05	0	0	0	0	0	3
17	53	0	0.0975301373	293.199946	293.199999	293.199946	293.20003	2.84843426e-05	0	0	0	0	0	3
18	55	0	0.103267204	293.199938	293.199996	293.199938	293.20003	3.19133161e-05	0	0	0	0	0	3
19	57	0	0.109004271	293.199929	293.199992	293.199929	293.20003	3.54064483e-05	0	0	0	0	0	3
20	59	0	0.114741338	293.199922	293.199989	293.199922	293.20003	3.89341733e-05	0	0	0	0	0	3
