Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	15	0	0.00584160591	1.27950868	1.27950868	1.27950868	1.27950868	0	0	0	0	0	0	3
2	18	0	0.0116832118	1.03905611	1.1592824	1.03905611	1.27950868	0.120226288	0	0	0	0	0	3
3	21	0	0.0175248177	1.07800398	1.13218959	1.03905611	1.27950868	0.147319092	0	0	0	0	0	3
4	24	0	0.0233664236	1.03071032	1.10681977	1.03071032	1.27950868	0.17268891	0	0	0	0	0	3
5	26	0	0.0292080296	1.02750323	1.09095647	1.02750323	1.27950868	0.188552218	0	0	0	0	0	3
6	28	0	0.0350496355	1.03192255	1.08111748	1.02750323	1.27950868	0.198391204	0	0	0	0	0	3
7	30	0	0.0408912414	1.03077423	1.07392559	1.02750323	1.27950868	0.205583098	0	0	0	0	0	3
8	33	0	0.0467328473	1.03021645	1.06846194	1.02750323	1.27950868	0.21104674	0	0	0	0	0	3
9	35	0	0.0525744532	1.02905811	1.06408374	1.02750323	1.27950868	0.215424944	0	0	0	0	0	3
10	37	0	0.0584160591	1.02832323	1.06050769	1.02750323	1.27950868	0.219000994	0	0	0	0	0	3
11	39	0	0.064257665	1.01873845	1.05671049	1.01873845	1.27950868	0.222798198	0	0	0	0	0	3
12	41	0	0.0700992709	1.01718848	1.05341698	1.01718848	1.27950868	0.226091699	0	0	0	0	0	3
13	44	0	0.0759408768	1.01539407	1.05049215	1.01539407	1.27950868	0.229016538	0	0	0	0	0	3
14	46	0	0.0817824828	1.01383683	1.04787391	1.01383683	1.27950868	0.231634775	0	0	0	0	0	3
15	48	0	0.0876240887	1.01213754	1.04549148	1.01213754	1.27950868	0.2340172	0	0	0	0	0	3
16	50	0	0.0934656946	1.00112834	1.04271879	1.00112834	1.27950868	0.236789896	0	0	0	0	0	3
17	52	0	0.0993073005	0.999039625	1.04014943	0.999039625	1.27950868	0.239359259	0	0	0	0	0	3
18	54	0	0.105148906	0.997092554	1.03775738	0.997092554	1.27950868	0.241751307	0	0	0	0	0	3
19	57	0	0.110990512	0.995062115	1.03551026	0.995062115	1.27950868	0.243998426	0	0	0	0	0	3
20	59	0	0.116832118	0.993250322	1.03339726	0.993250322	1.27950868	0.246111423	0	0	0	0	0	3
21	61	0	0.122673724	0.979851398	1.03084746	0.979851398	1.27950868	0.248661226	0	0	0	0	0	3
22	63	0	0.12851533	0.977341207	1.02841536	0.977341207	1.27950868	0.251093328	0	0	0	0	0	3
23	66	0	0.134356936	0.97465546	1.02607797	0.97465546	1.27950868	0.253430715	0	0	0	0	0	3
24	68	0	0.140198542	0.972276729	1.02383625	0.972276729	1.27950868	0.255672433	0	0	0	0	0	3
25	70	0	0.146040148	0.969864925	1.0216774	0.969864925	1.27950868	0.257831286	0	0	0	0	0	3
26	72	0	0.151881754	0.947416984	1.01882123	0.947416984	1.27950868	0.260687456	0	0	0	0	0	3
27	75	0	0.15772336	0.944813105	1.01608019	0.944813105	1.27950868	0.263428498	0	0	0	0	0	3
28	77	0	0.163564966	0.942467572	1.01345116	0.942467572	1.27950868	0.26605752	0	0	0	0	0	3
29	79	0	0.169406571	0.940478956	1.01093488	0.940478956	1.27950868	0.268573803	0	0	0	0	0	3
30	82	0	0.175248177	0.938727627	1.00852797	0.938727627	1.27950868	0.270980711	0	0	0	0	0	3
31	84	0	0.181089783	0.889496394	1.00468824	0.889496394	1.27950868	0.27482044	0	0	0	0	0	3
32	86	0	0.186931389	0.887632985	1.00103027	0.887632985	1.27950868	0.278478416	0	0	0	0	0	3
33	89	0	0.192772995	0.886110934	0.997547864	0.886110934	1.27950868	0.281960821	0	0	0	0	0	3
34	91	0	0.198614601	0.884837419	0.99423285	0.884837419	1.27950868	0.285275834	0	0	0	0	0	3
35	94	0	0.204456207	0.883775737	0.991076933	0.883775737	1.27950868	0.288431751	0	0	0	0	0	3
36	96	0	0.210297813	0.846297247	0.987055275	0.846297247	1.27950868	0.292453409	0	0	0	0	0	3
37	99	0	0.216139419	0.845982101	0.983242486	0.845982101	1.27950868	0.296266198	0	0	0	0	0	3
38	101	0	0.221981025	0.845842467	0.979626696	0.845842467	1.27950868	0.299881988	0	0	0	0	0	3
39	104	0	0.227822631	0.845930893	0.976198599	0.845842467	1.27950868	0.303310085	0	0	0	0	0	3
40	106	0	0.233664236	0.846037592	0.972944574	0.845842467	1.27950868	0.30656411	0	0	0	0	0	3
41	109	0	0.239505842	0.801173021	0.968755024	0.801173021	1.27950868	0.31075366	0	0	0	0	0	3
42	111	0	0.245347448	0.80200921	0.964784885	0.801173021	1.27950868	0.314723799	0	0	0	0	0	3
43	113	0	0.251189054	0.802753931	0.961016724	0.801173021	1.27950868	0.31849196	0	0	0	0	0	3
44	116	0	0.25703066	0.803498649	0.957436767	0.801173021	1.27950868	0.322071917	0	0	0	0	0	3
45	118	0	0.262872266	0.804039243	0.954027933	0.801173021	1.27950868	0.325480751	0	0	0	0	0	3
46	121	0	0.268713872	0.769745132	0.950021786	0.769745132	1.27950868	0.329486898	0	0	0	0	0	3
47	123	0	0.274555478	0.770444019	0.946200982	0.769745132	1.27950868	0.333307702	0	0	0	0	0	3
48	126	0	0.280397084	0.771042167	0.94255184	0.769745132	1.27950868	0.336956844	0	0	0	0	0	3
49	128	0	0.28623869	0.771538208	0.939061766	0.769745132	1.27950868	0.340446918	0	0	0	0	0	3
50	130	0	0.292080296	0.771817998	0.935716891	0.769745132	1.27950868	0.343791793	0	0	0	0	0	3
51	133	0	0.297921901	0.742143562	0.931921335	0.742143562	1.27950868	0.347587349	0	0	0	0	0	3
52	135	0	0.303763507	0.742617976	0.928280886	0.742143562	1.27950868	0.351227798	0	0	0	0	0	3
53	138	0	0.309605113	0.74294901	0.924784058	0.742143562	1.27950868	0.354724626	0	0	0	0	0	3
54	140	0	0.315446719	0.743217426	0.921421713	0.742143562	1.27950868	0.358086971	0	0	0	0	0	3
