Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	15	0	0.00584160591	0.631249779	0.631249779	0.631249779	0.631249779	0	0	0	0	0	0	3
2	18	0	0.0116832118	3.39835973	2.01480475	0.631249779	3.39835973	1.38355497	0	0	0	0	0	3
3	21	0	0.0175248177	-0.401013161	1.20953211	-0.401013161	3.39835973	1.38355497	0	0	0	0	0	3
4	24	0	0.0233664236	3.78818533	1.85419542	-0.401013161	3.78818533	1.38355497	0	0	0	0	0	3
5	26	0	0.0292080296	0.6090748	1.6051713	-0.401013161	3.78818533	1.38355497	0	0	0	0	0	3
6	28	0	0.0350496355	1.31304316	1.55648327	-0.401013161	3.78818533	1.38355497	0	0	0	0	0	3
7	30	0	0.0408912414	-0.368831559	1.2814383	-0.401013161	3.78818533	1.38355497	0	0	0	0	0	3
8	33	0	0.0467328473	0.382688523	1.16909457	-0.401013161	3.78818533	1.38355497	0	0	0	0	0	3
9	35	0	0.0525744532	-0.510342193	0.98249049	-0.510342193	3.78818533	1.38355497	0	0	0	0	0	3
10	37	0	0.0584160591	0.431845846	0.927426025	-0.510342193	3.78818533	1.38355497	0	0	0	0	0	3
11	39	0	0.064257665	-0.223854657	0.822764145	-0.510342193	3.78818533	1.38355497	0	0	0	0	0	3
12	41	0	0.0700992709	0.720172235	0.814214819	-0.510342193	3.78818533	1.38355497	0	0	0	0	0	3
13	44	0	0.0759408768	-0.0295204736	0.749312104	-0.510342193	3.78818533	1.38355497	0	0	0	0	0	3
14	46	0	0.0817824828	0.934655125	0.762550892	-0.510342193	3.78818533	1.38355497	0	0	0	0	0	3
15	48	0	0.0876240887	0.0315711398	0.713818908	-0.510342193	3.78818533	1.38355497	0	0	0	0	0	3
16	50	0	0.0934656946	0.734871352	0.715134686	-0.510342193	3.78818533	1.38355497	0	0	0	0	0	3
17	52	0	0.0993073005	0.300384661	0.690737626	-0.510342193	3.78818533	1.38355497	0	0	0	0	0	3
18	54	0	0.105148906	0.511556508	0.680783119	-0.510342193	3.78818533	1.38355497	0	0	0	0	0	3
19	57	0	0.110990512	0.00152778183	0.645032838	-0.510342193	3.78818533	1.38355497	0	0	0	0	0	3
20	59	0	0.116832118	0.520263694	0.638794381	-0.510342193	3.78818533	1.38355497	0	0	0	0	0	3
21	61	0	0.122673724	0.024636629	0.609548774	-0.510342193	3.78818533	1.40525598	0	0	0	0	0	3
22	63	0	0.12851533	0.535978183	0.606204656	-0.510342193	3.78818533	1.4086001	0	0	0	0	0	3
23	66	0	0.134356936	0.168204519	0.587161172	-0.510342193	3.78818533	1.42764358	0	0	0	0	0	3
24	68	0	0.140198542	0.516944422	0.584235474	-0.510342193	3.78818533	1.43056928	0	0	0	0	0	3
25	70	0	0.146040148	0.397650354	0.576772069	-0.510342193	3.78818533	1.43803268	0	0	0	0	0	3
26	72	0	0.151881754	0.439812504	0.571504393	-0.510342193	3.78818533	1.44330036	0	0	0	0	0	3
27	75	0	0.15772336	0.114978938	0.554596043	-0.510342193	3.78818533	1.46020871	0	0	0	0	0	3
28	77	0	0.163564966	0.253493868	0.543842394	-0.510342193	3.78818533	1.47096236	0	0	0	0	0	3
29	79	0	0.169406571	0.436596506	0.54014426	-0.510342193	3.78818533	1.47466049	0	0	0	0	0	3
30	82	0	0.175248177	0.281080525	0.531508802	-0.510342193	3.78818533	1.48329595	0	0	0	0	0	3
31	84	0	0.181089783	0.405785905	0.527453225	-0.510342193	3.78818533	1.48735153	0	0	0	0	0	3
32	86	0	0.186931389	0.219180724	0.517819709	-0.510342193	3.78818533	1.49698504	0	0	0	0	0	3
33	89	0	0.192772995	0.334600075	0.512267599	-0.510342193	3.78818533	1.50253715	0	0	0	0	0	3
34	91	0	0.198614601	0.137589872	0.501247666	-0.510342193	3.78818533	1.51355709	0	0	0	0	0	3
35	94	0	0.204456207	0.433903805	0.499323556	-0.510342193	3.78818533	1.5154812	0	0	0	0	0	3
36	96	0	0.210297813	0.193226135	0.49082085	-0.510342193	3.78818533	1.5239839	0	0	0	0	0	3
37	99	0	0.216139419	0.453156316	0.489802889	-0.510342193	3.78818533	1.52500186	0	0	0	0	0	3
38	101	0	0.221981025	0.172292449	0.481447351	-0.510342193	3.78818533	1.5333574	0	0	0	0	0	3
39	104	0	0.227822631	0.416088233	0.479771476	-0.510342193	3.78818533	1.53503328	0	0	0	0	0	3
40	106	0	0.233664236	0.123712875	0.470870011	-0.510342193	3.78818533	1.54393474	0	0	0	0	0	3
41	109	0	0.239505842	0.353931888	0.468017862	-0.510342193	3.78818533	1.54678689	0	0	0	0	0	3
42	111	0	0.245347448	0.48759364	0.468483952	-0.510342193	3.78818533	1.54678689	0	0	0	0	0	3
43	113	0	0.251189054	0.743746011	0.474885395	-0.510342193	3.78818533	1.54678689	0	0	0	0	0	3
44	116	0	0.25703066	0.785983086	0.481955797	-0.510342193	3.78818533	1.54678689	0	0	0	0	0	3
45	118	0	0.262872266	0.911836028	0.491508691	-0.510342193	3.78818533	1.54678689	0	0	0	0	0	3
46	121	0	0.268713872	0.822484405	0.498703816	-0.510342193	3.78818533	1.54678689	0	0	0	0	0	3
47	123	0	0.274555478	0.808979098	0.505305417	-0.510342193	3.78818533	1.54678689	0	0	0	0	0	3
48	126	0	0.280397084	0.796664341	0.511375395	-0.510342193	3.78818533	1.54678689	0	0	0	0	0	3
