Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	15	0	0.00584160591	19.7039614	19.7039614	19.7039614	19.7039614	0	0	0	0	0	0	3
2	18	0	0.0116832118	15.9039141	17.8039377	15.9039141	19.7039614	1.90002366	0	0	0	0	0	3
3	21	0	0.0175248177	16.6000129	17.4026294	15.9039141	19.7039614	2.30133193	0	0	0	0	0	3
4	24	0	0.0233664236	15.8654811	17.0183424	15.8654811	19.7039614	2.68561902	0	0	0	0	0	3
5	26	0	0.0292080296	15.8207119	16.7788163	15.8207119	19.7039614	2.9251451	0	0	0	0	0	3
6	28	0	0.0350496355	15.8843483	16.6297383	15.8207119	19.7039614	3.07422309	0	0	0	0	0	3
7	30	0	0.0408912414	15.8674145	16.5208349	15.8207119	19.7039614	3.18312649	0	0	0	0	0	3
8	33	0	0.0467328473	15.8573757	16.4379025	15.8207119	19.7039614	3.26605888	0	0	0	0	0	3
9	35	0	0.0525744532	15.8401808	16.371489	15.8207119	19.7039614	3.3324724	0	0	0	0	0	3
10	37	0	0.0584160591	15.8278955	16.3171296	15.8207119	19.7039614	3.38683175	0	0	0	0	0	3
11	39	0	0.064257665	15.6873732	16.259879	15.6873732	19.7039614	3.44408233	0	0	0	0	0	3
12	41	0	0.0700992709	15.6625607	16.2101025	15.6625607	19.7039614	3.49385886	0	0	0	0	0	3
13	44	0	0.0759408768	15.6351594	16.1658761	15.6351594	19.7039614	3.53808526	0	0	0	0	0	3
14	46	0	0.0817824828	15.6103501	16.1261957	15.6103501	19.7039614	3.57776569	0	0	0	0	0	3
15	48	0	0.0876240887	15.5842316	16.0900648	15.5842316	19.7039614	3.61389662	0	0	0	0	0	3
16	50	0	0.0934656946	15.4195885	16.04816	15.4195885	19.7039614	3.65580139	0	0	0	0	0	3
17	52	0	0.0993073005	15.3873743	16.0092902	15.3873743	19.7039614	3.69467113	0	0	0	0	0	3
18	54	0	0.105148906	15.3564835	15.9730232	15.3564835	19.7039614	3.73093817	0	0	0	0	0	3
19	57	0	0.110990512	15.3249673	15.938915	15.3249673	19.7039614	3.76504638	0	0	0	0	0	3
20	59	0	0.116832118	15.2961341	15.906776	15.2961341	19.7039614	3.79718542	0	0	0	0	0	3
21	61	0	0.122673724	15.1022567	15.8684655	15.1022567	19.7039614	3.83549586	0	0	0	0	0	3
22	63	0	0.12851533	15.062324	15.8318227	15.062324	19.7039614	3.87213866	0	0	0	0	0	3
23	66	0	0.134356936	15.0205995	15.7965521	15.0205995	19.7039614	3.90740923	0	0	0	0	0	3
24	68	0	0.140198542	14.98308	15.7626575	14.98308	19.7039614	3.9413039	0	0	0	0	0	3
25	70	0	0.146040148	14.9453326	15.7299645	14.9453326	19.7039614	3.9739969	0	0	0	0	0	3
26	72	0	0.151881754	14.6124033	15.6869814	14.6124033	19.7039614	4.01698002	0	0	0	0	0	3
27	75	0	0.15772336	14.5712754	15.6456589	14.5712754	19.7039614	4.05830247	0	0	0	0	0	3
28	77	0	0.163564966	14.5349154	15.6059895	14.5349154	19.7039614	4.09797188	0	0	0	0	0	3
29	79	0	0.169406571	14.5036052	15.5679762	14.5036052	19.7039614	4.13598513	0	0	0	0	0	3
30	82	0	0.175248177	14.476341	15.5315884	14.476341	19.7039614	4.17237297	0	0	0	0	0	3
31	84	0	0.181089783	13.7318944	15.4735338	13.7318944	19.7039614	4.23042762	0	0	0	0	0	3
32	86	0	0.186931389	13.7030744	15.4182069	13.7030744	19.7039614	4.28575447	0	0	0	0	0	3
33	89	0	0.192772995	13.6789886	15.3655033	13.6789886	19.7039614	4.33845806	0	0	0	0	0	3
34	91	0	0.198614601	13.6594339	15.3153248	13.6594339	19.7039614	4.38863657	0	0	0	0	0	3
35	94	0	0.204456207	13.6425787	15.2675321	13.6425787	19.7039614	4.43642932	0	0	0	0	0	3
36	96	0	0.210297813	13.0698318	15.2064848	13.0698318	19.7039614	4.49747654	0	0	0	0	0	3
37	99	0	0.216139419	13.063977	15.1485792	13.063977	19.7039614	4.55538216	0	0	0	0	0	3
38	101	0	0.221981025	13.0623369	15.0936781	13.0623369	19.7039614	4.61028327	0	0	0	0	0	3
39	104	0	0.227822631	13.062919	15.0416074	13.0623369	19.7039614	4.66235402	0	0	0	0	0	3
40	106	0	0.233664236	13.0650408	14.9921932	13.0623369	19.7039614	4.71176818	0	0	0	0	0	3
41	109	0	0.239505842	12.371271	14.9282683	12.371271	19.7039614	4.77569311	0	0	0	0	0	3
42	111	0	0.245347448	12.3841665	14.8676944	12.371271	19.7039614	4.83626697	0	0	0	0	0	3
43	113	0	0.251189054	12.3958424	14.8102095	12.371271	19.7039614	4.8937519	0	0	0	0	0	3
