Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	15	0	0.00584160591	431.95241	431.95241	431.95241	431.95241	0	0	0	0	0	0	3
2	18	0	0.0116832118	43.784344	237.868377	43.784344	431.95241	194.084033	0	0	0	0	0	3
3	21	0	0.0175248177	26.361579	167.366111	26.361579	431.95241	264.586299	0	0	0	0	0	3
4	24	0	0.0233664236	31.1390328	133.309341	26.361579	431.95241	298.643068	0	0	0	0	0	3
5	26	0	0.0292080296	25.4476294	111.736999	25.4476294	431.95241	320.215411	0	0	0	0	0	3
6	28	0	0.0350496355	28.4425005	97.8545825	25.4476294	431.95241	334.097827	0	0	0	0	0	3
7	30	0	0.0408912414	25.6877687	87.5450377	25.4476294	431.95241	344.407372	0	0	0	0	0	3
8	33	0	0.0467328473	30.9532178	80.4710602	25.4476294	431.95241	351.481349	0	0	0	0	0	3
9	35	0	0.0525744532	26.2168047	74.4428096	25.4476294	431.95241	357.5096	0	0	0	0	0	3
10	37	0	0.0584160591	29.0912951	69.9076582	25.4476294	431.95241	362.044751	0	0	0	0	0	3
11	39	0	0.064257665	24.9453907	65.8201793	24.9453907	431.95241	366.13223	0	0	0	0	0	3
12	41	0	0.0700992709	25.2881633	62.4425113	24.9453907	431.95241	369.509898	0	0	0	0	0	3
13	44	0	0.0759408768	24.9204186	59.5561965	24.9204186	431.95241	372.396213	0	0	0	0	0	3
14	46	0	0.0817824828	24.2226685	57.0323731	24.2226685	431.95241	374.920036	0	0	0	0	0	3
15	48	0	0.0876240887	24.4248186	54.8585361	24.2226685	431.95241	377.093873	0	0	0	0	0	3
16	50	0	0.0934656946	23.2382943	52.882271	23.2382943	431.95241	379.070139	0	0	0	0	0	3
17	52	0	0.0993073005	24.0121652	51.1840295	23.2382943	431.95241	380.76838	0	0	0	0	0	3
18	54	0	0.105148906	23.9125139	49.6689453	23.2382943	431.95241	382.283464	0	0	0	0	0	3
19	57	0	0.110990512	22.7954302	48.2545497	22.7954302	431.95241	383.69786	0	0	0	0	0	3
20	59	0	0.116832118	24.538401	47.0687423	22.7954302	431.95241	384.883667	0	0	0	0	0	3
21	61	0	0.122673724	22.6699107	45.9068932	22.6699107	431.95241	386.045516	0	0	0	0	0	3
22	63	0	0.12851533	24.9183526	44.9528686	22.6699107	431.95241	386.999541	0	0	0	0	0	3
23	66	0	0.134356936	22.9130988	43.9946177	22.6699107	431.95241	387.957792	0	0	0	0	0	3
24	68	0	0.140198542	24.7131434	43.191223	22.6699107	431.95241	388.761187	0	0	0	0	0	3
25	70	0	0.146040148	23.225387	42.3925895	22.6699107	431.95241	389.55982	0	0	0	0	0	3
26	72	0	0.151881754	23.9222676	41.6821925	22.6699107	431.95241	390.270217	0	0	0	0	0	3
27	75	0	0.15772336	23.327039	41.002372	22.6699107	431.95241	390.950037	0	0	0	0	0	3
28	77	0	0.163564966	23.8955491	40.3914141	22.6699107	431.95241	391.560995	0	0	0	0	0	3
29	79	0	0.169406571	23.5625211	39.8111074	22.6699107	431.95241	392.141302	0	0	0	0	0	3
30	82	0	0.175248177	22.5507198	39.2357612	22.5507198	431.95241	392.716648	0	0	0	0	0	3
31	84	0	0.181089783	22.6927665	38.7021162	22.5507198	431.95241	393.250293	0	0	0	0	0	3
32	86	0	0.186931389	22.0751933	38.1825248	22.0751933	431.95241	393.769885	0	0	0	0	0	3
33	89	0	0.192772995	22.0639495	37.6940832	22.0639495	431.95241	394.258326	0	0	0	0	0	3
34	91	0	0.198614601	21.9255025	37.2303014	21.9255025	431.95241	394.722108	0	0	0	0	0	3
35	94	0	0.204456207	21.9162793	36.7927579	21.9162793	431.95241	395.159652	0	0	0	0	0	3
36	96	0	0.210297813	22.1997717	36.3873972	21.9162793	431.95241	395.565012	0	0	0	0	0	3
37	99	0	0.216139419	20.8534579	35.967561	20.8534579	431.95241	395.984849	0	0	0	0	0	3
38	101	0	0.221981025	21.4334264	35.5850837	20.8534579	431.95241	396.367326	0	0	0	0	0	3
39	104	0	0.227822631	20.8991775	35.2085221	20.8534579	431.95241	396.743887	0	0	0	0	0	3
40	106	0	0.233664236	21.6837164	34.8704019	20.8534579	431.95241	397.082008	0	0	0	0	0	3
41	109	0	0.239505842	21.4052665	34.541984	20.8534579	431.95241	397.410426	0	0	0	0	0	3
42	111	0	0.245347448	21.1567359	34.2232876	20.8534579	431.95241	397.729122	0	0	0	0	0	3
43	113	0	0.251189054	20.812281	33.9114037	20.812281	431.95241	398.041006	0	0	0	0	0	3
44	116	0	0.25703066	20.9876015	33.6176809	20.812281	431.95241	398.334729	0	0	0	0	0	3
45	118	0	0.262872266	21.1250577	33.3400671	20.812281	431.95241	398.612342	0	0	0	0	0	3
46	121	0	0.268713872	21.3092323	33.0785272	20.812281	431.95241	398.873882	0	0	0	0	0	3
47	123	0	0.274555478	21.2315374	32.8264636	20.812281	431.95241	399.125946	0	0	0	0	0	3
48	126	0	0.280397084	21.0307581	32.5807197	20.812281	431.95241	399.37169	0	0	0	0	0	3
49	128	0	0.28623869	21.119766	32.3468227	20.812281	431.95241	399.605587	0	0	0	0	0	3
50	130	0	0.292080296	21.2675773	32.1252378	20.812281	431.95241	399.827172	0	0	0	0	0	3
51	133	0	0.297921901	21.0226756	31.9075405	20.812281	431.95241	400.044869	0	0	0	0	0	3
52	135	0	0.303763507	20.568062	31.6894736	20.568062	431.95241	400.262936	0	0	0	0	0	3
