Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	14	0	0.00588477191	8.74458983e-05	8.74458983e-05	8.74458983e-05	8.74458983e-05	0	0	0	0	0	0	3
2	18	0	0.0117695438	0.000542982004	0.000315213951	8.74458983e-05	0.000542982004	0.000227768053	0	0	0	0	0	3
3	20	0	0.0176543157	9.49384211e-05	0.000241788774	8.74458983e-05	0.000542982004	0.000227768053	0	0	0	0	0	3
4	23	0	0.0235390876	0.00268903935	0.000853601419	8.74458983e-05	0.00268903935	0.000766155521	0	0	0	0	0	3
5	26	0	0.0294238596	0.00319072058	0.00132102525	8.74458983e-05	0.00319072058	0.00123357935	0	0	0	0	0	3
6	28	0	0.0353086315	0.00327778101	0.00164715121	8.74458983e-05	0.00327778101	0.00155970531	0	0	0	0	0	3
7	30	0	0.0411934034	0.00391123047	0.0019705911	8.74458983e-05	0.00391123047	0.00188314521	0	0	0	0	0	3
8	33	0	0.0470781753	0.00372317193	0.00218966371	8.74458983e-05	0.00391123047	0.00210221781	0	0	0	0	0	3
9	35	0	0.0529629472	0.00425915086	0.00241960672	8.74458983e-05	0.00425915086	0.00233216083	0	0	0	0	0	3
10	37	0	0.0588477191	0.00404647359	0.00258229341	8.74458983e-05	0.00425915086	0.00249484751	0	0	0	0	0	3
11	39	0	0.064732491	0.00413404281	0.00272336154	8.74458983e-05	0.00425915086	0.00263591564	0	0	0	0	0	3
12	41	0	0.0706172629	0.00391926944	0.00282302053	8.74458983e-05	0.00425915086	0.00273557463	0	0	0	0	0	3
13	44	0	0.0765020349	0.00438616628	0.00294326251	8.74458983e-05	0.00438616628	0.00285581661	0	0	0	0	0	3
14	46	0	0.0823868068	0.00425442625	0.00303691706	8.74458983e-05	0.00438616628	0.00294947117	0	0	0	0	0	3
15	48	0	0.0882715787	0.00459192642	0.00314058435	8.74458983e-05	0.00459192642	0.00305313846	0	0	0	0	0	3
16	50	0	0.0941563506	0.00474434168	0.00324081919	8.74458983e-05	0.00474434168	0.00315337329	0	0	0	0	0	3
17	52	0	0.100041123	0.00510066425	0.00335022184	8.74458983e-05	0.00510066425	0.00326277594	0	0	0	0	0	3
18	55	0	0.105925894	0.00504646494	0.00344445757	8.74458983e-05	0.00510066425	0.00335701167	0	0	0	0	0	3
19	57	0	0.111810666	0.00543339702	0.00354913859	8.74458983e-05	0.00543339702	0.00346169269	0	0	0	0	0	3
20	59	0	0.117695438	0.00527034506	0.00363519891	8.74458983e-05	0.00543339702	0.00354775301	0	0	0	0	0	3
21	62	0	0.12358021	0.00687496962	0.00378947371	8.74458983e-05	0.00687496962	0.00370202781	0	0	0	0	0	3
22	64	0	0.129464982	0.00644000661	0.00390995248	8.74458983e-05	0.00687496962	0.00382250658	0	0	0	0	0	3
23	66	0	0.135349754	0.0071509082	0.0040508636	8.74458983e-05	0.0071509082	0.0039634177	0	0	0	0	0	3
24	69	0	0.141234526	0.00672129295	0.00416213148	8.74458983e-05	0.0071509082	0.00407468559	0	0	0	0	0	3
25	71	0	0.147119298	0.00726296065	0.00428616465	8.74458983e-05	0.00726296065	0.00419871875	0	0	0	0	0	3
26	73	0	0.15300407	0.00779926213	0.00442128379	8.74458983e-05	0.00779926213	0.00433383789	0	0	0	0	0	3
27	76	0	0.158888842	0.00820046689	0.00456125353	8.74458983e-05	0.00820046689	0.00447380763	0	0	0	0	0	3
28	78	0	0.164773614	0.0081597862	0.00468977255	8.74458983e-05	0.00820046689	0.00460232666	0	0	0	0	0	3
29	80	0	0.170658385	0.00836733252	0.00481658497	8.74458983e-05	0.00836733252	0.00472913907	0	0	0	0	0	3
30	82	0	0.176543157	0.00846147245	0.00493808122	8.74458983e-05	0.00846147245	0.00485063532	0	0	0	0	0	3
31	85	0	0.182427929	0.0112086426	0.00514035739	8.74458983e-05	0.0112086426	0.00505291149	0	0	0	0	0	3
32	87	0	0.188312701	0.0111953322	0.00532957535	8.74458983e-05	0.0112086426	0.00524212946	0	0	0	0	0	3
33	89	0	0.194197473	0.0113378593	0.00551164456	8.74458983e-05	0.0113378593	0.00542419866	0	0	0	0	0	3
34	92	0	0.200082245	0.0114322067	0.00568577874	8.74458983e-05	0.0114322067	0.00559833285	0	0	0	0	0	3
35	94	0	0.205967017	0.0114783716	0.0058512814	8.74458983e-05	0.0114783716	0.0057638355	0	0	0	0	0	3
36	96	0	0.211851789	0.0128237964	0.00604496237	8.74458983e-05	0.0128237964	0.00595751647	0	0	0	0	0	3
37	99	0	0.217736561	0.0129067158	0.00623041516	8.74458983e-05	0.0129067158	0.00614296927	0	0	0	0	0	3
38	101	0	0.223621333	0.0129169523	0.00640637667	8.74458983e-05	0.0129169523	0.00631893077	0	0	0	0	0	3
39	104	0	0.229506105	0.0130446382	0.0065765885	8.74458983e-05	0.0130446382	0.0064891426	0	0	0	0	0	3
40	106	0	0.235390876	0.0129930579	0.00673700023	8.74458983e-05	0.0130446382	0.00664955434	0	0	0	0	0	3
41	109	0	0.241275648	0.0140294189	0.0069148641	8.74458983e-05	0.0140294189	0.0068274182	0	0	0	0	0	3
42	111	0	0.24716042	0.0140662009	0.00708513403	8.74458983e-05	0.0140662009	0.00699768813	0	0	0	0	0	3
43	114	0	0.253045192	0.0141267489	0.00724889251	8.74458983e-05	0.0141267489	0.00716144662	0	0	0	0	0	3
44	116	0	0.258929964	0.0141543036	0.00740583368	8.74458983e-05	0.0141543036	0.00731838778	0	0	0	0	0	3
45	119	0	0.264814736	0.0141939644	0.00755668103	8.74458983e-05	0.0141939644	0.00746923513	0	0	0	0	0	3
46	121	0	0.270699508	0.0144848774	0.00770729399	8.74458983e-05	0.0144848774	0.00761984809	0	0	0	0	0	3
47	124	0	0.27658428	0.0145612834	0.00785312355	8.74458983e-05	0.0145612834	0.00776567765	0	0	0	0	0	3
48	127	0	0.282469052	0.0146323844	0.00799435815	8.74458983e-05	0.0146323844	0.00790691225	0	0	0	0	0	3
49	129	0	0.288353824	0.0147428807	0.0081320831	8.74458983e-05	0.0147428807	0.0080446372	0	0	0	0	0	3
50	132	0	0.294238596	0.0148094988	0.00826563142	8.74458983e-05	0.0148094988	0.00817818552	0	0	0	0	0	3
51	134	0	0.300123368	0.0149083394	0.00839588059	8.74458983e-05	0.0149083394	0.00830843469	0	0	0	0	0	3
52	136	0	0.306008139	0.0148432377	0.00851986823	8.74458983e-05	0.0149083394	0.00843242233	0	0	0	0	0	3
53	139	0	0.311892911	0.0149196147	0.00864061816	8.74458983e-05	0.0149196147	0.00855317226	0	0	0	0	0	3
54	141	0	0.317777683	0.0149908303	0.00875821468	8.74458983e-05	0.0149908303	0.00867076878	0	0	0	0	0	3
55	144	0	0.323662455	0.0149177854	0.00887020688	8.74458983e-05	0.0149908303	0.00878276098	0	0	0	0	0	3
56	146	0	0.329547227	0.015008555	0.00897982024	8.74458983e-05	0.015008555	0.00889237434	0	0	0	0	0	3
57	148	0	0.335431999	0.0149544374	0.00908463808	8.74458983e-05	0.015008555	0.00899719218	0	0	0	0	0	3
58	151	0	0.341316771	0.0149451017	0.00918568056	8.74458983e-05	0.015008555	0.00909823466	0	0	0	0	0	3
59	153	0	0.347201543	0.0149106302	0.0092827136	8.74458983e-05	0.015008555	0.0091952677	0	0	0	0	0	3
60	156	0	0.353086315	0.0148738366	0.00937589899	8.74458983e-05	0.015008555	0.00928845309	0	0	0	0	0	3
61	159	0	0.358971087	0.0149148501	0.00946670146	8.74458983e-05	0.015008555	0.00937925556	0	0	0	0	0	3
62	161	0	0.364855859	0.0149791358	0.00955561169	8.74458983e-05	0.015008555	0.0094681658	0	0	0	0	0	3
63	164	0	0.37074063	0.0150039603	0.00964209342	8.74458983e-05	0.015008555	0.00955464752	0	0	0	0	0	3
64	166	0	0.376625402	0.0150864112	0.00972716088	8.74458983e-05	0.0150864112	0.00963971498	0	0	0	0	0	3
