Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	14	0	0.00588477191	1.25656549	1.25656549	1.25656549	1.25656549	0	0	0	0	0	0	3
2	18	0	0.0117695438	1.03658666	1.14657607	1.03658666	1.25656549	0.109989413	0	0	0	0	0	3
3	20	0	0.0176543157	1.06322887	1.11879367	1.03658666	1.25656549	0.137771813	0	0	0	0	0	3
4	23	0	0.0235390876	1.01940226	1.09394582	1.01940226	1.25656549	0.162619666	0	0	0	0	0	3
5	26	0	0.0294238596	1.0124241	1.07764148	1.0124241	1.25656549	0.178924011	0	0	0	0	0	3
6	28	0	0.0353086315	1.01566224	1.0673116	1.0124241	1.25656549	0.189253884	0	0	0	0	0	3
7	30	0	0.0411934034	1.01441432	1.05975485	1.0124241	1.25656549	0.196810638	0	0	0	0	0	3
8	33	0	0.0470781753	1.01358958	1.05398419	1.0124241	1.25656549	0.202581296	0	0	0	0	0	3
9	35	0	0.0529629472	1.0123914	1.04936277	1.0123914	1.25656549	0.207202717	0	0	0	0	0	3
10	37	0	0.0588477191	1.0115981	1.0455863	1.0115981	1.25656549	0.210979184	0	0	0	0	0	3
11	39	0	0.064732491	1.00352892	1.0417629	1.00352892	1.25656549	0.214802582	0	0	0	0	0	3
12	41	0	0.0706172629	1.00215336	1.03846211	1.00215336	1.25656549	0.218103378	0	0	0	0	0	3
13	44	0	0.0765020349	1.0006449	1.03555309	1.0006449	1.25656549	0.221012394	0	0	0	0	0	3
14	46	0	0.0823868068	0.999329324	1.03296568	0.999329324	1.25656549	0.223599806	0	0	0	0	0	3
15	48	0	0.0882715787	0.997879751	1.03062662	0.997879751	1.25656549	0.225938868	0	0	0	0	0	3
16	50	0	0.0941563506	0.9852421	1.02779009	0.9852421	1.25656549	0.228775401	0	0	0	0	0	3
17	52	0	0.100041123	0.983288613	1.02517235	0.983288613	1.25656549	0.231393134	0	0	0	0	0	3
18	55	0	0.105925894	0.981444074	1.022743	0.981444074	1.25656549	0.233822483	0	0	0	0	0	3
19	57	0	0.111810666	0.979459667	1.02046493	0.979459667	1.25656549	0.236100554	0	0	0	0	0	3
20	59	0	0.117695438	0.977676038	1.01832549	0.977676038	1.25656549	0.238239998	0	0	0	0	0	3
21	62	0	0.12358021	0.956497623	1.0153813	0.956497623	1.25656549	0.241184182	0	0	0	0	0	3
22	64	0	0.129464982	0.95416371	1.01259869	0.95416371	1.25656549	0.2439668	0	0	0	0	0	3
23	66	0	0.135349754	0.951585994	1.00994596	0.951585994	1.25656549	0.246619526	0	0	0	0	0	3
24	69	0	0.141234526	0.949451371	1.00742535	0.949451371	1.25656549	0.249140134	0	0	0	0	0	3
25	71	0	0.147119298	0.947209011	1.0050167	0.947209011	1.25656549	0.251548788	0	0	0	0	0	3
26	73	0	0.15300407	0.91687404	1.0016266	0.91687404	1.25656549	0.25493889	0	0	0	0	0	3
27	76	0	0.158888842	0.914327771	0.998393307	0.914327771	1.25656549	0.25817218	0	0	0	0	0	3
28	78	0	0.164773614	0.912153906	0.995313328	0.912153906	1.25656549	0.261252158	0	0	0	0	0	3
29	80	0	0.170658385	0.910250174	0.992380116	0.910250174	1.25656549	0.264185371	0	0	0	0	0	3
30	82	0	0.176543157	0.908621158	0.989588151	0.908621158	1.25656549	0.266977336	0	0	0	0	0	3
31	85	0	0.182427929	0.860474146	0.985423183	0.860474146	1.25656549	0.271142304	0	0	0	0	0	3
32	87	0	0.188312701	0.858951279	0.981470936	0.858951279	1.25656549	0.275094551	0	0	0	0	0	3
33	89	0	0.194197473	0.857708525	0.97772056	0.857708525	1.25656549	0.278844927	0	0	0	0	0	3
34	92	0	0.200082245	0.856761776	0.974162949	0.856761776	1.25656549	0.282402538	0	0	0	0	0	3
35	94	0	0.205967017	0.855961373	0.970785761	0.855961373	1.25656549	0.285779726	0	0	0	0	0	3
36	96	0	0.211851789	0.814113344	0.966433749	0.814113344	1.25656549	0.290131738	0	0	0	0	0	3
37	99	0	0.217736561	0.81365579	0.962304615	0.81365579	1.25656549	0.294260872	0	0	0	0	0	3
38	101	0	0.223621333	0.813357668	0.958384959	0.813357668	1.25656549	0.298180528	0	0	0	0	0	3
39	104	0	0.229506105	0.81314336	0.954660815	0.81314336	1.25656549	0.301904672	0	0	0	0	0	3
40	106	0	0.235390876	0.812998871	0.951119267	0.812998871	1.25656549	0.30544622	0	0	0	0	0	3
41	109	0	0.241275648	0.780376826	0.946954817	0.780376826	1.25656549	0.30961067	0	0	0	0	0	3
42	111	0	0.24716042	0.780702576	0.94299643	0.780376826	1.25656549	0.313569057	0	0	0	0	0	3
43	114	0	0.253045192	0.781009207	0.939229285	0.780376826	1.25656549	0.317336202	0	0	0	0	0	3
44	116	0	0.258929964	0.781245443	0.935638743	0.780376826	1.25656549	0.320926743	0	0	0	0	0	3
45	119	0	0.264814736	0.781455527	0.93221245	0.780376826	1.25656549	0.324353037	0	0	0	0	0	3
46	121	0	0.270699508	0.759748175	0.928463226	0.759748175	1.25656549	0.328102261	0	0	0	0	0	3
47	124	0	0.27658428	0.7600327	0.924879598	0.759748175	1.25656549	0.331685889	0	0	0	0	0	3
48	127	0	0.282469052	0.760262326	0.921450072	0.759748175	1.25656549	0.335115415	0	0	0	0	0	3
49	129	0	0.288353824	0.760403342	0.918163404	0.759748175	1.25656549	0.338402083	0	0	0	0	0	3
50	132	0	0.294238596	0.760499582	0.915010127	0.759748175	1.25656549	0.34155536	0	0	0	0	0	3
51	134	0	0.300123368	0.749745334	0.911769641	0.749745334	1.25656549	0.344795846	0	0	0	0	0	3
52	136	0	0.306008139	0.749891834	0.908656606	0.749745334	1.25656549	0.34790888	0	0	0	0	0	3
53	139	0	0.311892911	0.75004478	0.90566393	0.749745334	1.25656549	0.350901556	0	0	0	0	0	3
54	141	0	0.317777683	0.750188222	0.902784751	0.749745334	1.25656549	0.353780736	0	0	0	0	0	3
55	144	0	0.323662455	0.750307093	0.90001243	0.749745334	1.25656549	0.356553057	0	0	0	0	0	3
56	146	0	0.329547227	0.743100746	0.897210435	0.743100746	1.25656549	0.359355052	0	0	0	0	0	3
57	148	0	0.335431999	0.743382348	0.894511697	0.743100746	1.25656549	0.36205379	0	0	0	0	0	3
58	151	0	0.341316771	0.743635328	0.89191038	0.743100746	1.25656549	0.364655107	0	0	0	0	0	3
59	153	0	0.347201543	0.7438692	0.889401208	0.743100746	1.25656549	0.367164279	0	0	0	0	0	3
60	156	0	0.353086315	0.744079342	0.886979177	0.743100746	1.25656549	0.36958631	0	0	0	0	0	3
61	159	0	0.358971087	0.736945187	0.884519603	0.736945187	1.25656549	0.372045884	0	0	0	0	0	3
62	161	0	0.364855859	0.737064254	0.882141291	0.736945187	1.25656549	0.374424196	0	0	0	0	0	3
63	164	0	0.37074063	0.737100609	0.879839058	0.736945187	1.25656549	0.376726429	0	0	0	0	0	3
64	166	0	0.376625402	0.73706968	0.877608286	0.736945187	1.25656549	0.378957201	0	0	0	0	0	3
65	169	0	0.382510174	0.736993482	0.875444982	0.736945187	1.25656549	0.381120505	0	0	0	0	0	3
66	172	0	0.388394946	0.73355778	0.873295176	0.73355778	1.25656549	0.383270311	0	0	0	0	0	3
67	174	0	0.394279718	0.733481084	0.871208398	0.733481084	1.25656549	0.385357089	0	0	0	0	0	3
68	177	0	0.40016449	0.733380758	0.869181521	0.733380758	1.25656549	0.387383966	0	0	0	0	0	3
69	179	0	0.406049262	0.733306812	0.867212322	0.733306812	1.25656549	0.389353165	0	0	0	0	0	3
