Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	14	0	0.00588477191	22.2188057	22.2188057	22.2188057	22.2188057	0	0	0	0	0	0	3
2	18	0	0.0117695438	22.218613	22.2187094	22.218613	22.2188057	9.63613567e-05	0	0	0	0	0	3
3	20	0	0.0176543157	22.2186257	22.2186815	22.218613	22.2188057	0.000124245868	0	0	0	0	0	3
4	23	0	0.0235390876	22.2186879	22.2186831	22.218613	22.2188057	0.000124245868	0	0	0	0	0	3
5	26	0	0.0294238596	22.2187541	22.2186973	22.218613	22.2188057	0.000124245868	0	0	0	0	0	3
6	28	0	0.0353086315	22.2188714	22.2187263	22.218613	22.2188714	0.000124245868	0	0	0	0	0	3
7	30	0	0.0411934034	22.2190213	22.2187684	22.218613	22.2190213	0.000124245868	0	0	0	0	0	3
8	33	0	0.0470781753	22.2191899	22.2188211	22.218613	22.2191899	0.000139645798	0	0	0	0	0	3
9	35	0	0.0529629472	22.2193617	22.2188812	22.218613	22.2193617	0.000199714963	0	0	0	0	0	3
10	37	0	0.0588477191	22.2195363	22.2189467	22.218613	22.2195363	0.000265224587	0	0	0	0	0	3
11	39	0	0.064732491	22.2197773	22.2190222	22.218613	22.2197773	0.000340737137	0	0	0	0	0	3
12	41	0	0.0706172629	22.2200126	22.2191048	22.218613	22.2200126	0.000423272858	0	0	0	0	0	3
13	44	0	0.0765020349	22.2202383	22.2191919	22.218613	22.2202383	0.000510469582	0	0	0	0	0	3
14	46	0	0.0823868068	22.2204567	22.2192823	22.218613	22.2204567	0.000600811113	0	0	0	0	0	3
15	48	0	0.0882715787	22.220665	22.2193745	22.218613	22.220665	0.000692988705	0	0	0	0	0	3
16	50	0	0.0941563506	22.2209631	22.2194738	22.218613	22.2209631	0.000792280499	0	0	0	0	0	3
17	52	0	0.100041123	22.2212423	22.2195778	22.218613	22.2212423	0.000896314463	0	0	0	0	0	3
18	55	0	0.105925894	22.2215074	22.219685	22.218613	22.2215074	0.00100351527	0	0	0	0	0	3
19	57	0	0.111810666	22.2217559	22.219794	22.218613	22.2217559	0.00111250998	0	0	0	0	0	3
20	59	0	0.117695438	22.221993	22.2199039	22.218613	22.221993	0.00122246008	0	0	0	0	0	3
21	62	0	0.12358021	22.2223239	22.2200192	22.218613	22.2223239	0.00133769644	0	0	0	0	0	3
22	64	0	0.129464982	22.2226345	22.2201381	22.218613	22.2226345	0.0014565728	0	0	0	0	0	3
23	66	0	0.135349754	22.2229228	22.2202591	22.218613	22.2229228	0.00157764883	0	0	0	0	0	3
24	69	0	0.141234526	22.2231952	22.2203815	22.218613	22.2231952	0.00169998606	0	0	0	0	0	3
25	71	0	0.147119298	22.223452	22.2205043	22.218613	22.223452	0.0018228075	0	0	0	0	0	3
26	73	0	0.15300407	22.2238157	22.2206316	22.218613	22.2238157	0.00195016804	0	0	0	0	0	3
27	76	0	0.158888842	22.2241587	22.2207623	22.218613	22.2241587	0.00208079825	0	0	0	0	0	3
28	78	0	0.164773614	22.2244839	22.2208952	22.218613	22.2244839	0.00221371301	0	0	0	0	0	3
29	80	0	0.170658385	22.2247965	22.2210297	22.218613	22.2247965	0.00234824121	0	0	0	0	0	3
30	82	0	0.176543157	22.2250996	22.2211654	22.218613	22.2250996	0.00248390279	0	0	0	0	0	3
31	85	0	0.182427929	22.225544	22.2213066	22.218613	22.225544	0.00262514824	0	0	0	0	0	3
32	87	0	0.188312701	22.2259818	22.2214527	22.218613	22.2259818	0.0027712461	0	0	0	0	0	3
33	89	0	0.194197473	22.2264197	22.2216032	22.218613	22.2264197	0.00292176111	0	0	0	0	0	3
34	92	0	0.200082245	22.2268665	22.221758	22.218613	22.2268665	0.00307656332	0	0	0	0	0	3
35	94	0	0.205967017	22.2273262	22.2219171	22.218613	22.2273262	0.00323565396	0	0	0	0	0	3
36	96	0	0.211851789	22.2280694	22.222088	22.218613	22.2280694	0.00340654904	0	0	0	0	0	3
37	99	0	0.217736561	22.2288601	22.2222711	22.218613	22.2288601	0.00358957734	0	0	0	0	0	3
38	101	0	0.223621333	22.2297041	22.2224667	22.218613	22.2297041	0.0037851849	0	0	0	0	0	3
