Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	14	0	0.00588477191	4051.10429	4051.10429	4051.10429	4051.10429	0	0	0	0	0	0	3
2	18	0	0.0117695438	199.963381	2125.53384	199.963381	4051.10429	1925.57046	0	0	0	0	0	3
3	20	0	0.0176543157	60.153809	1437.07383	60.153809	4051.10429	2614.03046	0	0	0	0	0	3
4	23	0	0.0235390876	27.718462	1084.73499	27.718462	4051.10429	2966.36931	0	0	0	0	0	3
5	26	0	0.0294238596	39.4571018	875.679409	27.718462	4051.10429	3175.42488	0	0	0	0	0	3
6	28	0	0.0353086315	30.3079911	734.784173	27.718462	4051.10429	3316.32012	0	0	0	0	0	3
7	30	0	0.0411934034	36.7457851	635.064403	27.718462	4051.10429	3416.03989	0	0	0	0	0	3
8	33	0	0.0470781753	31.0396221	559.561306	27.718462	4051.10429	3491.54299	0	0	0	0	0	3
9	35	0	0.0529629472	33.9459669	501.159601	27.718462	4051.10429	3549.94469	0	0	0	0	0	3
10	37	0	0.0588477191	29.3944582	453.983087	27.718462	4051.10429	3597.12121	0	0	0	0	0	3
11	39	0	0.064732491	30.6647697	415.499604	27.718462	4051.10429	3635.60469	0	0	0	0	0	3
12	41	0	0.0706172629	28.2159551	383.225966	27.718462	4051.10429	3667.87833	0	0	0	0	0	3
13	44	0	0.0765020349	29.4675275	356.013779	27.718462	4051.10429	3695.09051	0	0	0	0	0	3
14	46	0	0.0823868068	27.664434	332.560254	27.664434	4051.10429	3718.54404	0	0	0	0	0	3
15	48	0	0.0882715787	28.5768371	312.294693	27.664434	4051.10429	3738.8096	0	0	0	0	0	3
16	50	0	0.0941563506	27.0506439	294.46694	27.0506439	4051.10429	3756.63735	0	0	0	0	0	3
17	52	0	0.100041123	27.5973706	278.76873	27.0506439	4051.10429	3772.33556	0	0	0	0	0	3
18	55	0	0.105925894	26.2936094	264.742334	26.2936094	4051.10429	3786.36196	0	0	0	0	0	3
19	57	0	0.111810666	27.0782644	252.233699	26.2936094	4051.10429	3798.87059	0	0	0	0	0	3
20	59	0	0.117695438	25.8183041	240.912929	25.8183041	4051.10429	3810.19136	0	0	0	0	0	3
21	62	0	0.12358021	26.3370408	230.69503	25.8183041	4051.10429	3820.40926	0	0	0	0	0	3
22	64	0	0.129464982	25.1585729	221.352464	25.1585729	4051.10429	3829.75183	0	0	0	0	0	3
23	66	0	0.135349754	25.8546121	212.852557	25.1585729	4051.10429	3838.25174	0	0	0	0	0	3
24	69	0	0.141234526	25.1232786	205.030504	25.1232786	4051.10429	3846.07379	0	0	0	0	0	3
25	71	0	0.147119298	25.4243717	197.846258	25.1232786	4051.10429	3853.25803	0	0	0	0	0	3
26	73	0	0.15300407	24.6646379	191.185427	24.6646379	4051.10429	3859.91887	0	0	0	0	0	3
27	76	0	0.158888842	24.5681162	185.014415	24.5681162	4051.10429	3866.08988	0	0	0	0	0	3
28	78	0	0.164773614	24.5963321	179.285198	24.5681162	4051.10429	3871.81909	0	0	0	0	0	3
29	80	0	0.170658385	24.5323007	173.948891	24.5323007	4051.10429	3877.1554	0	0	0	0	0	3
30	82	0	0.176543157	24.3756172	168.963116	24.3756172	4051.10429	3882.14118	0	0	0	0	0	3
