Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	14	0	0.00588477191	4062.30211	4062.30211	4062.30211	4062.30211	0	0	0	0	0	0	3
2	18	0	0.0117695438	200.142544	2131.22233	200.142544	4062.30211	1931.07978	0	0	0	0	0	3
3	20	0	0.0176543157	66.4057134	1442.95012	66.4057134	4062.30211	2619.35199	0	0	0	0	0	3
4	23	0	0.0235390876	27.7307381	1089.14528	27.7307381	4062.30211	2973.15683	0	0	0	0	0	3
5	26	0	0.0294238596	42.329349	879.78209	27.7307381	4062.30211	3182.52002	0	0	0	0	0	3
6	28	0	0.0353086315	30.5133172	738.237295	27.7307381	4062.30211	3324.06481	0	0	0	0	0	3
7	30	0	0.0411934034	37.938833	638.194657	27.7307381	4062.30211	3424.10745	0	0	0	0	0	3
8	33	0	0.0470781753	31.5607967	562.365425	27.7307381	4062.30211	3499.93668	0	0	0	0	0	3
9	35	0	0.0529629472	34.2867871	503.690021	27.7307381	4062.30211	3558.61209	0	0	0	0	0	3
10	37	0	0.0588477191	29.8794725	456.308966	27.7307381	4062.30211	3605.99314	0	0	0	0	0	3
11	39	0	0.064732491	30.800922	417.626416	27.7307381	4062.30211	3644.67569	0	0	0	0	0	3
12	41	0	0.0706172629	28.3377466	385.185694	27.7307381	4062.30211	3677.11641	0	0	0	0	0	3
13	44	0	0.0765020349	29.4877739	357.824315	27.7307381	4062.30211	3704.47779	0	0	0	0	0	3
14	46	0	0.0823868068	27.686426	334.243038	27.686426	4062.30211	3728.05907	0	0	0	0	0	3
15	48	0	0.0882715787	28.5811771	313.86558	27.686426	4062.30211	3748.43653	0	0	0	0	0	3
16	50	0	0.0941563506	27.0610978	295.9403	27.0610978	4062.30211	3766.36181	0	0	0	0	0	3
17	52	0	0.100041123	27.6606551	280.159144	27.0610978	4062.30211	3782.14296	0	0	0	0	0	3
18	55	0	0.105925894	26.3021415	266.055978	26.3021415	4062.30211	3796.24613	0	0	0	0	0	3
19	57	0	0.111810666	27.2489781	253.487188	26.3021415	4062.30211	3808.81492	0	0	0	0	0	3
20	59	0	0.117695438	25.8195889	242.103808	25.8195889	4062.30211	3820.1983	0	0	0	0	0	3
21	62	0	0.12358021	26.5968814	231.841574	25.8195889	4062.30211	3830.46053	0	0	0	0	0	3
22	64	0	0.129464982	25.160065	222.44696	25.160065	4062.30211	3839.85515	0	0	0	0	0	3
23	66	0	0.135349754	26.1845183	213.91381	25.160065	4062.30211	3848.3883	0	0	0	0	0	3
24	69	0	0.141234526	25.1289026	206.047772	25.1289026	4062.30211	3856.25433	0	0	0	0	0	3
25	71	0	0.147119298	25.6909481	198.833499	25.1289026	4062.30211	3863.46861	0	0	0	0	0	3
26	73	0	0.15300407	24.8700468	192.142597	24.8700468	4062.30211	3870.15951	0	0	0	0	0	3
27	76	0	0.158888842	24.9196665	185.949155	24.8700468	4062.30211	3876.35295	0	0	0	0	0	3
28	78	0	0.164773614	24.7609261	180.192433	24.7609261	4062.30211	3882.10967	0	0	0	0	0	3
29	80	0	0.170658385	24.7992132	174.834046	24.7609261	4062.30211	3887.46806	0	0	0	0	0	3
30	82	0	0.176543157	24.8027432	169.833003	24.7609261	4062.30211	3892.4691	0	0	0	0	0	3
31	85	0	0.182427929	24.1032509	165.132043	24.1032509	4062.30211	3897.17006	0	0	0	0	0	3
32	87	0	0.188312701	24.0338311	160.722724	24.0338311	4062.30211	3901.57938	0	0	0	0	0	3
33	89	0	0.194197473	24.4520015	156.593308	24.0338311	4062.30211	3905.7088	0	0	0	0	0	3
34	92	0	0.200082245	24.6758758	152.713383	24.0338311	4062.30211	3909.58872	0	0	0	0	0	3
35	94	0	0.205967017	24.6433252	149.054239	24.0338311	4062.30211	3913.24787	0	0	0	0	0	3
36	96	0	0.211851789	24.2763745	145.588187	24.0338311	4062.30211	3916.71392	0	0	0	0	0	3
37	99	0	0.217736561	24.2515634	142.308819	24.0338311	4062.30211	3919.99329	0	0	0	0	0	3
38	101	0	0.223621333	24.1648054	139.199766	24.0338311	4062.30211	3923.10234	0	0	0	0	0	3
39	104	0	0.229506105	24.5823876	136.260859	24.0338311	4062.30211	3926.04125	0	0	0	0	0	3
40	106	0	0.235390876	24.4924005	133.466647	24.0338311	4062.30211	3928.83546	0	0	0	0	0	3
41	109	0	0.241275648	24.219331	130.802079	24.0338311	4062.30211	3931.50003	0	0	0	0	0	3
42	111	0	0.24716042	24.2385037	128.264851	24.0338311	4062.30211	3934.03726	0	0	0	0	0	3
43	114	0	0.253045192	24.0746395	125.841822	24.0338311	4062.30211	3936.46028	0	0	0	0	0	3
