Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	14	0	0.00588477191	4042.48166	4042.48166	4042.48166	4042.48166	0	0	0	0	0	0	3
2	18	0	0.0117695438	183.762813	2113.12224	183.762813	4042.48166	1929.35942	0	0	0	0	0	3
3	20	0	0.0176543157	51.6641939	1425.96955	51.6641939	4042.48166	2616.5121	0	0	0	0	0	3
4	23	0	0.0235390876	11.6261639	1072.38371	11.6261639	4042.48166	2970.09795	0	0	0	0	0	3
5	26	0	0.0294238596	27.9812184	863.503209	11.6261639	4042.48166	3178.97845	0	0	0	0	0	3
6	28	0	0.0353086315	14.6628102	722.029809	11.6261639	4042.48166	3320.45185	0	0	0	0	0	3
7	30	0	0.0411934034	22.7254035	622.12918	11.6261639	4042.48166	3420.35248	0	0	0	0	0	3
8	33	0	0.0470781753	16.0367639	546.367628	11.6261639	4042.48166	3496.11403	0	0	0	0	0	3
9	35	0	0.0529629472	18.5522679	487.721477	11.6261639	4042.48166	3554.76018	0	0	0	0	0	3
10	37	0	0.0588477191	14.4033478	440.389664	11.6261639	4042.48166	3602.09199	0	0	0	0	0	3
11	39	0	0.064732491	15.0593749	401.723274	11.6261639	4042.48166	3640.75838	0	0	0	0	0	3
12	41	0	0.0706172629	12.6273604	369.298615	11.6261639	4042.48166	3673.18304	0	0	0	0	0	3
13	44	0	0.0765020349	13.6787825	341.943243	11.6261639	4042.48166	3700.53841	0	0	0	0	0	3
14	46	0	0.0823868068	11.9035384	318.368978	11.6261639	4042.48166	3724.11268	0	0	0	0	0	3
15	48	0	0.0882715787	12.8050704	297.998051	11.6261639	4042.48166	3744.48361	0	0	0	0	0	3
16	50	0	0.0941563506	11.4951644	280.091621	11.4951644	4042.48166	3762.39004	0	0	0	0	0	3
17	52	0	0.100041123	12.2011482	264.333358	11.4951644	4042.48166	3778.1483	0	0	0	0	0	3
18	55	0	0.105925894	10.795155	250.247902	10.795155	4042.48166	3792.23376	0	0	0	0	0	3
19	57	0	0.111810666	12.0014573	237.708615	10.795155	4042.48166	3804.77304	0	0	0	0	0	3
20	59	0	0.117695438	10.3570123	226.341035	10.3570123	4042.48166	3816.14062	0	0	0	0	0	3
21	62	0	0.12358021	11.8400172	216.126701	10.3570123	4042.48166	3826.35496	0	0	0	0	0	3
22	64	0	0.129464982	10.0685877	206.760423	10.0685877	4042.48166	3835.72123	0	0	0	0	0	3
23	66	0	0.135349754	11.611293	198.275678	10.0685877	4042.48166	3844.20598	0	0	0	0	0	3
24	69	0	0.141234526	10.1254492	190.436085	10.0685877	4042.48166	3852.04557	0	0	0	0	0	3
25	71	0	0.147119298	11.1140006	183.263202	10.0685877	4042.48166	3859.21846	0	0	0	0	0	3
26	73	0	0.15300407	10.6885574	176.625716	10.0685877	4042.48166	3865.85594	0	0	0	0	0	3
