Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	14	0	0.00588477191	0	0	0	0	0	0	0	0	0	0	3
2	18	0	0.0117695438	0	0	0	0	0	0	0	0	0	0	3
3	20	0	0.0176543157	0	0	0	0	0	0	0	0	0	0	3
4	23	0	0.0235390876	0	0	0	0	0	0	0	0	0	0	3
5	26	0	0.0294238596	0	0	0	0	0	0	0	0	0	0	3
6	28	0	0.0353086315	0	0	0	0	0	0	0	0	0	0	3
7	30	0	0.0411934034	0	0	0	0	0	0	0	0	0	0	3
8	33	0	0.0470781753	0	0	0	0	0	0	0	0	0	0	3
9	35	0	0.0529629472	0	0	0	0	0	0	0	0	0	0	3
10	37	0	0.0588477191	0	0	0	0	0	0	0	0	0	0	3
11	39	0	0.064732491	0	0	0	0	0	0	0	0	0	0	3
12	41	0	0.0706172629	0	0	0	0	0	0	0	0	0	0	3
13	44	0	0.0765020349	0	0	0	0	0	0	0	0	0	0	3
14	46	0	0.0823868068	0	0	0	0	0	0	0	0	0	0	3
15	48	0	0.0882715787	0	0	0	0	0	0	0	0	0	0	3
16	50	0	0.0941563506	0	0	0	0	0	0	0	0	0	0	3
17	52	0	0.100041123	0	0	0	0	0	0	0	0	0	0	3
18	55	0	0.105925894	0	0	0	0	0	0	0	0	0	0	3
19	57	0	0.111810666	0	0	0	0	0	0	0	0	0	0	3
20	59	0	0.117695438	0	0	0	0	0	0	0	0	0	0	3
21	62	0	0.12358021	0	0	0	0	0	0	0	0	0	0	3
22	64	0	0.129464982	0	0	0	0	0	0	0	0	0	0	3
23	66	0	0.135349754	0	0	0	0	0	0	0	0	0	0	3
24	69	0	0.141234526	0	0	0	0	0	0	0	0	0	0	3
25	71	0	0.147119298	0	0	0	0	0	0	0	0	0	0	3
26	73	0	0.15300407	0	0	0	0	0	0	0	0	0	0	3
27	76	0	0.158888842	0	0	0	0	0	0	0	0	0	0	3
28	78	0	0.164773614	0	0	0	0	0	0	0	0	0	0	3
29	80	0	0.170658385	0	0	0	0	0	0	0	0	0	0	3
30	82	0	0.176543157	0	0	0	0	0	0	0	0	0	0	3
31	85	0	0.182427929	0	0	0	0	0	0	0	0	0	0	3
32	87	0	0.188312701	0	0	0	0	0	0	0	0	0	0	3
33	89	0	0.194197473	0	0	0	0	0	0	0	0	0	0	3
34	92	0	0.200082245	0	0	0	0	0	0	0	0	0	0	3
35	94	0	0.205967017	0	0	0	0	0	0	0	0	0	0	3
36	96	0	0.211851789	0	0	0	0	0	0	0	0	0	0	3
37	99	0	0.217736561	0	0	0	0	0	0	0	0	0	0	3
38	101	0	0.223621333	0	0	0	0	0	0	0	0	0	0	3
39	104	0	0.229506105	0	0	0	0	0	0	0	0	0	0	3
40	106	0	0.235390876	0	0	0	0	0	0	0	0	0	0	3
41	109	0	0.241275648	0	0	0	0	0	0	0	0	0	0	3
