Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0206769686	0.0141154713	0.0141154713	0.0141154713	0.0141154713	0	0	0	0	0	0	3
2	1	0	0.0413539373	0.0100899216	0.0121026964	0.0100899216	0.0141154713	0.00201277486	0	0	0	0	0	3
3	1	0	0.0620309059	0.0106783324	0.0116279084	0.0100899216	0.0141154713	0.00248756286	0	0	0	0	0	3
4	1	0	0.0827078746	0.0111006923	0.0114961044	0.0100899216	0.0141154713	0.00261936688	0	0	0	0	0	3
5	2	0	0.103384843	0.0111349831	0.0114238801	0.0100899216	0.0141154713	0.00269159115	0	0	0	0	0	3
6	2	0	0.124061812	0.0109737069	0.0113488513	0.0100899216	0.0141154713	0.00276662002	0	0	0	0	0	3
7	2	0	0.144738781	0.0113856623	0.01135411	0.0100899216	0.0141154713	0.00276662002	0	0	0	0	0	3
8	2	0	0.165415749	0.0112155151	0.0113367856	0.0100899216	0.0141154713	0.00277868567	0	0	0	0	0	3
9	2	0	0.186092718	0.0113065157	0.0113334223	0.0100899216	0.0141154713	0.00278204899	0	0	0	0	0	3
10	2	0	0.206769686	0.0111670607	0.0113167861	0.0100899216	0.0141154713	0.00279868515	0	0	0	0	0	3
11	2	0	0.227446655	0.0117446212	0.0113556802	0.0100899216	0.0141154713	0.00279868515	0	0	0	0	0	3
12	3	0	0.248123624	0.0118262184	0.0113948918	0.0100899216	0.0141154713	0.00279868515	0	0	0	0	0	3
13	3	0	0.268800592	0.0121966917	0.0114565687	0.0100899216	0.0141154713	0.00279868515	0	0	0	0	0	3
14	3	0	0.289477561	0.012418848	0.0115253029	0.0100899216	0.0141154713	0.00279868515	0	0	0	0	0	3
15	3	0	0.31015453	0.0128461022	0.0116133562	0.0100899216	0.0141154713	0.00279868515	0	0	0	0	0	3
16	3	0	0.330831498	0.0136558863	0.0117410143	0.0100899216	0.0141154713	0.00279868515	0	0	0	0	0	3
17	3	0	0.351508467	0.0141793186	0.011884444	0.0100899216	0.0141793186	0.00279868515	0	0	0	0	0	3
18	3	0	0.372185436	0.0142785835	0.0120174517	0.0100899216	0.0142785835	0.00279868515	0	0	0	0	0	3
19	4	0	0.392862404	0.0145579813	0.0121511638	0.0100899216	0.0145579813	0.00279868515	0	0	0	0	0	3
20	4	0	0.413539373	0.0146532978	0.0122762705	0.0100899216	0.0146532978	0.00279868515	0	0	0	0	0	3
21	4	0	0.434216342	0.0149023639	0.0124013226	0.0100899216	0.0149023639	0.00279868515	0	0	0	0	0	3
22	4	0	0.45489331	0.0149811578	0.0125185878	0.0100899216	0.0149811578	0.00279868515	0	0	0	0	0	3
23	4	0	0.475570279	0.015080975	0.012629996	0.0100899216	0.015080975	0.00279868515	0	0	0	0	0	3
24	4	0	0.496247248	0.0152332533	0.012738465	0.0100899216	0.0152332533	0.00279868515	0	0	0	0	0	3
25	4	0	0.516924216	0.0152316854	0.0128381938	0.0100899216	0.0152332533	0.00279868515	0	0	0	0	0	3
26	5	0	0.537601185	0.0128553889	0.0127877905	0.0100899216	0.0152332533	0.0015214077	0	0	0	0	0	3
27	5	0	0.558278153	0.0128829382	0.0128995112	0.0106783324	0.0152332533	0.00158272506	0	0	0	0	0	3
28	5	0	0.578955122	0.012824681	0.0129853651	0.0109737069	0.0152332533	0.00166857901	0	0	0	0	0	3
29	5	0	0.599632091	0.0128347306	0.0130547267	0.0109737069	0.0152332533	0.00173794054	0	0	0	0	0	3
30	5	0	0.620309059	0.0127473568	0.0131192216	0.0109737069	0.0152332533	0.00180243548	0	0	0	0	0	3
31	5	0	0.640986028	0.0102035985	0.0130884173	0.0102035985	0.0152332533	0.00180243548	0	0	0	0	0	3
32	6	0	0.661662997	0.0101565764	0.0130392539	0.0101565764	0.0152332533	0.00180243548	0	0	0	0	0	3
33	6	0	0.682339965	0.0101587648	0.0129969838	0.0101565764	0.0152332533	0.00180243548	0	0	0	0	0	3
34	6	0	0.703016934	0.0101568487	0.0129509972	0.0101565764	0.0152332533	0.00180243548	0	0	0	0	0	3
35	6	0	0.723693903	0.0102294741	0.0129134937	0.0101565764	0.0152332533	0.00176354138	0	0	0	0	0	3
36	6	0	0.744370871	0.00985074891	0.0128377388	0.00985074891	0.0152332533	0.00172432987	0	0	0	0	0	3
37	6	0	0.76504784	0.0101052295	0.0127688992	0.00985074891	0.0152332533	0.00166265295	0	0	0	0	0	3
38	7	0	0.785724809	0.0102318738	0.0126903065	0.00985074891	0.0152332533	0.00159391871	0	0	0	0	0	3
39	7	0	0.806401777	0.010339891	0.0126071483	0.00985074891	0.0152332533	0.00150586542	0	0	0	0	0	3
40	7	0	0.827078746	0.0105558906	0.0125155398	0.00985074891	0.0152332533	0.00137820729	0	0	0	0	0	3
41	7	0	0.847755715	0.00668749334	0.0122368041	0.00668749334	0.0152332533	0.00123477763	0	0	0	0	0	3
42	7	0	0.868432683	0.0068354082	0.0119430477	0.00668749334	0.0152332533	0.00117617397	0	0	0	0	0	3
