Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0206769686	1.28658986	1.28658986	1.28658986	1.28658986	0	0	0	0	0	0	3
2	1	0	0.0413539373	1.18997421	1.23828203	1.18997421	1.28658986	0.0483078289	0	0	0	0	0	3
3	1	0	0.0620309059	0.947254132	1.14127273	0.947254132	1.28658986	0.14531713	0	0	0	0	0	3
4	1	0	0.0827078746	0.929912463	1.08843267	0.929912463	1.28658986	0.198157198	0	0	0	0	0	3
5	2	0	0.103384843	0.908766394	1.05249941	0.908766394	1.28658986	0.234090452	0	0	0	0	0	3
6	2	0	0.124061812	0.922025532	1.03075377	0.908766394	1.28658986	0.255836099	0	0	0	0	0	3
7	2	0	0.144738781	0.918904987	1.01477537	0.908766394	1.28658986	0.271814496	0	0	0	0	0	3
8	2	0	0.165415749	0.916955715	1.00254791	0.908766394	1.28658986	0.284041952	0	0	0	0	0	3
9	2	0	0.186092718	0.914291792	0.992741676	0.908766394	1.28658986	0.293848188	0	0	0	0	0	3
10	2	0	0.206769686	0.911803395	0.984647848	0.908766394	1.28658986	0.301942016	0	0	0	0	0	3
11	2	0	0.227446655	0.894386703	0.976442289	0.894386703	1.28658986	0.310147575	0	0	0	0	0	3
12	3	0	0.248123624	0.890565507	0.969285891	0.890565507	1.28658986	0.317303973	0	0	0	0	0	3
13	3	0	0.268800592	0.887342816	0.962982577	0.887342816	1.28658986	0.323607287	0	0	0	0	0	3
14	3	0	0.289477561	0.88399493	0.957340602	0.88399493	1.28658986	0.329249261	0	0	0	0	0	3
15	3	0	0.31015453	0.880789977	0.952237227	0.880789977	1.28658986	0.334352636	0	0	0	0	0	3
16	3	0	0.330831498	0.856782274	0.946271293	0.856782274	1.28658986	0.340318571	0	0	0	0	0	3
17	3	0	0.351508467	0.853871238	0.940835995	0.853871238	1.28658986	0.345753868	0	0	0	0	0	3
18	3	0	0.372185436	0.851432199	0.935869118	0.851432199	1.28658986	0.350720746	0	0	0	0	0	3
19	4	0	0.392862404	0.849124619	0.931303618	0.849124619	1.28658986	0.355286246	0	0	0	0	0	3
20	4	0	0.413539373	0.847178499	0.927097362	0.847178499	1.28658986	0.359492502	0	0	0	0	0	3
21	4	0	0.434216342	0.825864675	0.922276758	0.825864675	1.28658986	0.364313106	0	0	0	0	0	3
22	4	0	0.45489331	0.823892435	0.917804743	0.823892435	1.28658986	0.368785121	0	0	0	0	0	3
23	4	0	0.475570279	0.822172372	0.913646814	0.822172372	1.28658986	0.37294305	0	0	0	0	0	3
24	4	0	0.496247248	0.820707735	0.909774352	0.820707735	1.28658986	0.376815511	0	0	0	0	0	3
25	4	0	0.516924216	0.819521233	0.906164228	0.819521233	1.28658986	0.380425636	0	0	0	0	0	3
26	5	0	0.537601185	0.770168621	0.885507378	0.770168621	1.18997421	0.352774657	0	0	0	0	0	3
27	5	0	0.558278153	0.769169072	0.868675173	0.769169072	0.947254132	0.17808506	0	0	0	0	0	3
28	5	0	0.578955122	0.768389173	0.861520574	0.768389173	0.929912463	0.161523291	0	0	0	0	0	3
29	5	0	0.599632091	0.767762429	0.855034573	0.767762429	0.922025532	0.154263102	0	0	0	0	0	3
30	5	0	0.620309059	0.76725318	0.849374044	0.76725318	0.922025532	0.154772352	0	0	0	0	0	3
31	5	0	0.640986028	0.720840991	0.841326663	0.720840991	0.918904987	0.173448706	0	0	0	0	0	3
32	6	0	0.661662997	0.720564548	0.833393045	0.720564548	0.916955715	0.169154867	0	0	0	0	0	3
33	6	0	0.682339965	0.720316108	0.825527461	0.720316108	0.914291792	0.167214215	0	0	0	0	0	3
34	6	0	0.703016934	0.720088841	0.817759343	0.720088841	0.911803395	0.166888505	0	0	0	0	0	3
35	6	0	0.723693903	0.719930025	0.810084408	0.719930025	0.894386703	0.166357881	0	0	0	0	0	3
36	6	0	0.744370871	0.689656281	0.801895191	0.689656281	0.890565507	0.1673907	0	0	0	0	0	3
37	6	0	0.76504784	0.689966461	0.793871229	0.689656281	0.887342816	0.169111348	0	0	0	0	0	3
38	7	0	0.785724809	0.690210024	0.785985918	0.689656281	0.88399493	0.171354685	0	0	0	0	0	3
39	7	0	0.806401777	0.690351273	0.778240171	0.689656281	0.880789977	0.173997056	0	0	0	0	0	3
40	7	0	0.827078746	0.690443575	0.770626315	0.689656281	0.856782274	0.167125993	0	0	0	0	0	3
41	7	0	0.847755715	0.654337562	0.762528527	0.654337562	0.853871238	0.178307469	0	0	0	0	0	3
42	7	0	0.868432683	0.654681651	0.754560943	0.654337562	0.851432199	0.181308175	0	0	0	0	0	3
43	7	0	0.889109652	0.654861972	0.746698134	0.654337562	0.849124619	0.184605484	0	0	0	0	0	3
44	8	0	0.90978662	0.654975295	0.738932161	0.654337562	0.847178499	0.188165201	0	0	0	0	0	3
45	8	0	0.930463589	0.65505577	0.731247252	0.654337562	0.825864675	0.171527113	0	0	0	0	0	3
46	8	0	0.951140558	0.642830017	0.723925866	0.642830017	0.823892435	0.181062418	0	0	0	0	0	3
47	8	0	0.971817526	0.642869594	0.716684952	0.642830017	0.822172372	0.179342355	0	0	0	0	0	3
48	8	0	0.992494495	0.642922632	0.709514962	0.642830017	0.820707735	0.177877718	0	0	0	0	0	3
49	8	0	1.01317146	0.642910805	0.702403085	0.642830017	0.819521233	0.176691216	0.0122743803	0	6.9	0	0	3
50	8	0	1.03384843	0.63954589	0.695204072	0.63954589	0.770168621	0.130622731	0.0124067963	0	9.4	0	0	3
51	9	0	1.0545254	0.638697642	0.689945232	0.638697642	0.769169072	0.13047143	0.012423897	0	9.5	0	0	3
