Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0206769686	22.1784962	22.1784962	22.1784962	22.1784962	0	0	0	0	0	0	3
2	1	0	0.0413539373	22.177022	22.1777591	22.177022	22.1784962	0.000737105967	0	0	0	0	0	3
3	1	0	0.0620309059	22.1759831	22.1771671	22.1759831	22.1784962	0.00132911234	0	0	0	0	0	3
4	1	0	0.0827078746	22.1758711	22.1768431	22.1758711	22.1784962	0.00165310211	0	0	0	0	0	3
5	2	0	0.103384843	22.1750141	22.1764773	22.1750141	22.1784962	0.00201889706	0	0	0	0	0	3
6	2	0	0.124061812	22.1743491	22.1761226	22.1743491	22.1784962	0.00237360182	0	0	0	0	0	3
7	2	0	0.144738781	22.1727807	22.1756452	22.1727807	22.1784962	0.00285102406	0	0	0	0	0	3
8	2	0	0.165415749	22.171732	22.175156	22.171732	22.1784962	0.00334017832	0	0	0	0	0	3
9	2	0	0.186092718	22.1701667	22.1746017	22.1701667	22.1784962	0.00389454789	0	0	0	0	0	3
10	2	0	0.206769686	22.1689722	22.1740387	22.1689722	22.1784962	0.00445749826	0	0	0	0	0	3
11	2	0	0.227446655	22.1666278	22.173365	22.1666278	22.1784962	0.00513122201	0	0	0	0	0	3
12	3	0	0.248123624	22.1645338	22.1726291	22.1645338	22.1784962	0.00586715694	0	0	0	0	0	3
13	3	0	0.268800592	22.1621682	22.1718244	22.1621682	22.1784962	0.00667183535	0	0	0	0	0	3
14	3	0	0.289477561	22.1599849	22.1709787	22.1599849	22.1784962	0.00751751365	0	0	0	0	0	3
15	3	0	0.31015453	22.1576286	22.1700887	22.1576286	22.1784962	0.00840752209	0	0	0	0	0	3
16	3	0	0.330831498	22.1543361	22.1691042	22.1543361	22.1784962	0.00939205617	0	0	0	0	0	3
17	3	0	0.351508467	22.1509487	22.1680362	22.1509487	22.1784962	0.0104600249	0	0	0	0	0	3
18	3	0	0.372185436	22.1476981	22.1669063	22.1476981	22.1784962	0.0115899216	0	0	0	0	0	3
19	4	0	0.392862404	22.1444417	22.165724	22.1444417	22.1784962	0.0127722663	0	0	0	0	0	3
20	4	0	0.413539373	22.1412365	22.1644996	22.1412365	22.1784962	0.0139966372	0	0	0	0	0	3
21	4	0	0.434216342	22.1366652	22.1631741	22.1366652	22.1784962	0.0153220862	0	0	0	0	0	3
22	4	0	0.45489331	22.1323405	22.1617726	22.1323405	22.1784962	0.0167236159	0	0	0	0	0	3
23	4	0	0.475570279	22.1282929	22.160317	22.1282929	22.1784962	0.0181792535	0	0	0	0	0	3
24	4	0	0.496247248	22.1245656	22.1588273	22.1245656	22.1784962	0.0196688926	0	0	0	0	0	3
25	4	0	0.516924216	22.1211393	22.1573198	22.1211393	22.1784962	0.0211764129	0	0	0	0	0	3
26	5	0	0.537601185	22.1169782	22.1548591	22.1169782	22.177022	0.0229000286	0	0	0	0	0	3
27	5	0	0.558278153	22.1135663	22.1523209	22.1135663	22.1759831	0.0248462502	0	0	0	0	0	3
28	5	0	0.578955122	22.1108633	22.1497161	22.1108633	22.1758711	0.0271270541	0	0	0	0	0	3
29	5	0	0.599632091	22.1087	22.1470292	22.1087	22.1750141	0.0294481034	0	0	0	0	0	3
30	5	0	0.620309059	22.1070491	22.1443106	22.1070491	22.1743491	0.0318119985	0	0	0	0	0	3
31	5	0	0.640986028	22.1053823	22.1415519	22.1053823	22.1727807	0.0340932463	0	0	0	0	0	3
32	6	0	0.661662997	22.1044585	22.1388191	22.1044585	22.171732	0.0363369776	0	0	0	0	0	3
33	6	0	0.682339965	22.1038908	22.1361054	22.1038908	22.1701667	0.0384962534	0	0	0	0	0	3
34	6	0	0.703016934	22.103609	22.1334431	22.103609	22.1689722	0.0405956097	0	0	0	0	0	3
35	6	0	0.723693903	22.1035059	22.1308245	22.1035059	22.1666278	0.0425405369	0	0	0	0	0	3
36	6	0	0.744370871	22.1036077	22.1283037	22.1035059	22.1645338	0.0443254053	0	0	0	0	0	3
37	6	0	0.76504784	22.1037138	22.1258709	22.1035059	22.1621682	0.0459535252	0	0	0	0	0	3
38	7	0	0.785724809	22.1038673	22.1235388	22.1035059	22.1599849	0.0474398844	0	0	0	0	0	3
39	7	0	0.806401777	22.1040823	22.1213027	22.1035059	22.1576286	0.048785978	0	0	0	0	0	3
40	7	0	0.827078746	22.104283	22.1191689	22.1035059	22.1543361	0.0499352667	0	0	0	0	0	3
41	7	0	0.847755715	22.1053907	22.1172111	22.1035059	22.1509487	0.0474428016	0	0	0	0	0	3
42	7	0	0.868432683	22.1062032	22.1154213	22.1035059	22.1476981	0.0441921613	0	0	0	0	0	3
43	7	0	0.889109652	22.1069682	22.1137921	22.1035059	22.1444417	0.0409358543	0	0	0	0	0	3
44	8	0	0.90978662	22.1074873	22.1123139	22.1035059	22.1412365	0.0377306419	0	0	0	0	0	3
45	8	0	0.930463589	22.1078925	22.1109801	22.1035059	22.1366652	0.0331592613	0	0	0	0	0	3
46	8	0	0.951140558	22.1083362	22.109847	22.1035059	22.1323405	0.0288345856	0	0	0	0	0	3
47	8	0	0.971817526	22.108603	22.1088975	22.1035059	22.1282929	0.0247870455	0	0	0	0	0	3
48	8	0	0.992494495	22.1088256	22.1081188	22.1035059	22.1245656	0.0210597334	0	0	0	0	0	3
49	8	0	1.01317146	22.108887	22.1074916	22.1035059	22.1211393	0.0176334264	0.00292228075	0	16.5	0	0	3
50	8	0	1.03384843	22.1088374	22.1069996	22.1035059	22.1169782	0.0134722843	0.00292228075	0	21.6	0	0	3
51	9	0	1.0545254	22.108738	22.1066699	22.1035059	22.1135663	0.0100604153	0.00292228075	0	29	0	0	3
52	9	0	1.07520237	22.1086481	22.1064732	22.1035059	22.1108633	0.00735735909	0.00292228075	0	39.7	0	0	3
53	9	0	1.09587934	22.1086754	22.1063857	22.1035059	22.108887	0.00538109726	0.00292228075	0	54.3	0	0	3
54	9	0	1.11655631	22.1087379	22.1063872	22.1035059	22.108887	0.00538109726	0.00292228075	0	54.3	0	0	3
55	9	0	1.13723328	22.1088975	22.1064612	22.1035059	22.1088975	0.00539165867	0.00292228075	0	54.2	0	0	3
