Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0206769686	22.1918838	22.1918838	22.1918838	22.1918838	0	0	0	0	0	0	3
2	1	0	0.0413539373	22.1910459	22.1914648	22.1910459	22.1918838	0.000418977334	0	0	0	0	0	3
3	1	0	0.0620309059	22.1905569	22.1911622	22.1905569	22.1918838	0.000721637646	0	0	0	0	0	3
4	1	0	0.0827078746	22.1898425	22.1908323	22.1898425	22.1918838	0.00105156377	0	0	0	0	0	3
5	2	0	0.103384843	22.1892074	22.1905073	22.1892074	22.1918838	0.00137653485	0	0	0	0	0	3
6	2	0	0.124061812	22.1881168	22.1901089	22.1881168	22.1918838	0.0017749538	0	0	0	0	0	3
7	2	0	0.144738781	22.1867103	22.1896234	22.1867103	22.1918838	0.00226045663	0	0	0	0	0	3
8	2	0	0.165415749	22.1852879	22.1890814	22.1852879	22.1918838	0.00280238888	0	0	0	0	0	3
9	2	0	0.186092718	22.1836627	22.1884793	22.1836627	22.1918838	0.00340447405	0	0	0	0	0	3
10	2	0	0.206769686	22.1821602	22.1878474	22.1821602	22.1918838	0.00403638752	0	0	0	0	0	3
11	2	0	0.227446655	22.1795577	22.1870938	22.1795577	22.1918838	0.00478999617	0	0	0	0	0	3
12	3	0	0.248123624	22.177162	22.1862662	22.177162	22.1918838	0.00561764462	0	0	0	0	0	3
13	3	0	0.268800592	22.1746288	22.185371	22.1746288	22.1918838	0.00651283005	0	0	0	0	0	3
14	3	0	0.289477561	22.1722462	22.1844335	22.1722462	22.1918838	0.00745031504	0	0	0	0	0	3
15	3	0	0.31015453	22.1697593	22.1834552	22.1697593	22.1918838	0.00842859751	0	0	0	0	0	3
16	3	0	0.330831498	22.1662668	22.1823809	22.1662668	22.1918838	0.00950287097	0	0	0	0	0	3
17	3	0	0.351508467	22.162747	22.181226	22.162747	22.1918838	0.010657806	0	0	0	0	0	3
18	3	0	0.372185436	22.1593727	22.1800119	22.1593727	22.1918838	0.0118718798	0	0	0	0	0	3
19	4	0	0.392862404	22.1560055	22.1787484	22.1560055	22.1918838	0.0131353784	0	0	0	0	0	3
20	4	0	0.413539373	22.1527104	22.1774465	22.1527104	22.1918838	0.0144372789	0	0	0	0	0	3
21	4	0	0.434216342	22.1480474	22.1760466	22.1480474	22.1918838	0.0158372356	0	0	0	0	0	3
22	4	0	0.45489331	22.1436476	22.1745739	22.1436476	22.1918838	0.0173099156	0	0	0	0	0	3
23	4	0	0.475570279	22.1395154	22.1730496	22.1395154	22.1918838	0.0188341996	0	0	0	0	0	3
