Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0206769686	-473.844573	-473.844573	-473.844573	-473.844573	0	0	0	0	0	0	3
2	1	0	0.0413539373	-145.167898	-309.506236	-473.844573	-145.167898	164.338338	0	0	0	0	0	3
3	1	0	0.0620309059	7.31419082	-203.899427	-473.844573	7.31419082	269.945147	0	0	0	0	0	3
4	1	0	0.0827078746	-86.7248235	-174.605776	-473.844573	7.31419082	299.238797	0	0	0	0	0	3
5	2	0	0.103384843	0.272032678	-139.630214	-473.844573	7.31419082	334.214359	0	0	0	0	0	3
6	2	0	0.124061812	-43.251029	-123.567017	-473.844573	7.31419082	350.277557	0	0	0	0	0	3
7	2	0	0.144738781	-13.6421851	-107.863469	-473.844573	7.31419082	365.981104	0	0	0	0	0	3
8	2	0	0.165415749	-25.2170445	-97.5326663	-473.844573	7.31419082	376.311907	0	0	0	0	0	3
9	2	0	0.186092718	-18.5178047	-88.7532372	-473.844573	7.31419082	385.091336	0	0	0	0	0	3
10	2	0	0.206769686	-18.5920185	-81.7371153	-473.844573	7.31419082	392.107458	0	0	0	0	0	3
11	2	0	0.227446655	-25.7216765	-76.6448027	-473.844573	7.31419082	397.199771	0	0	0	0	0	3
12	3	0	0.248123624	-19.4243878	-71.8764348	-473.844573	7.31419082	401.968139	0	0	0	0	0	3
13	3	0	0.268800592	-29.4959905	-68.6164006	-473.844573	7.31419082	405.228173	0	0	0	0	0	3
14	3	0	0.289477561	-20.8694569	-65.2059046	-473.844573	7.31419082	408.638669	0	0	0	0	0	3
15	3	0	0.31015453	-29.0616918	-62.7962905	-473.844573	7.31419082	411.048283	0	0	0	0	0	3
16	3	0	0.330831498	-20.9595171	-60.1814921	-473.844573	7.31419082	413.663081	0	0	0	0	0	3
17	3	0	0.351508467	-25.5125251	-58.1421411	-473.844573	7.31419082	415.702432	0	0	0	0	0	3
18	3	0	0.372185436	-21.390088	-56.1003604	-473.844573	7.31419082	417.744213	0	0	0	0	0	3
19	4	0	0.392862404	-22.6032941	-54.3373569	-473.844573	7.31419082	419.507217	0	0	0	0	0	3
20	4	0	0.413539373	-22.7139369	-52.7561859	-473.844573	7.31419082	421.088388	0	0	0	0	0	3
21	4	0	0.434216342	-23.1542368	-51.3465693	-473.844573	7.31419082	422.498004	0	0	0	0	0	3
22	4	0	0.45489331	-24.0221195	-50.1045488	-473.844573	7.31419082	423.740025	0	0	0	0	0	3
23	4	0	0.475570279	-23.8892767	-48.9647544	-473.844573	7.31419082	424.879819	0	0	0	0	0	3
24	4	0	0.496247248	-25.2705357	-47.9774953	-473.844573	7.31419082	425.867078	0	0	0	0	0	3
25	4	0	0.516924216	-24.6886687	-47.0459422	-473.844573	7.31419082	426.798631	0	0	0	0	0	3
26	5	0	0.537601185	-26.2359054	-29.1415955	-145.167898	7.31419082	152.482089	0	0	0	0	0	3
27	5	0	0.558278153	-26.4432013	-24.3926076	-86.7248235	7.31419082	94.0390143	0	0	0	0	0	3
28	5	0	0.578955122	-25.501921	-25.7052521	-86.7248235	0.272032678	86.9968562	0	0	0	0	0	3
29	5	0	0.599632091	-27.4271613	-23.3333456	-43.251029	0.272032678	43.5230617	0	0	0	0	0	3
30	5	0	0.620309059	-28.2176854	-24.4729343	-43.251029	-13.6421851	29.6088439	0	0	0	0	0	3
31	5	0	0.640986028	-28.6220078	-23.8877735	-29.4959905	-13.6421851	15.8538054	0	0	0	0	0	3
32	6	0	0.661662997	-29.1554091	-24.5083024	-29.4959905	-18.5178047	10.9781857	0	0	0	0	0	3
33	6	0	0.682339965	-28.885942	-24.6550583	-29.4959905	-18.5178047	10.9781857	0	0	0	0	0	3
34	6	0	0.703016934	-29.1706789	-25.0811733	-29.4959905	-18.5920185	10.903972	0	0	0	0	0	3
35	6	0	0.723693903	-29.723121	-25.5264174	-29.723121	-19.4243878	10.2987332	0	0	0	0	0	3
36	6	0	0.744370871	-29.5346998	-25.6789383	-29.723121	-19.4243878	10.2987332	0	0	0	0	0	3
37	6	0	0.76504784	-30.8501588	-26.1359692	-30.8501588	-20.8694569	9.98070188	0	0	0	0	0	3
38	7	0	0.785724809	-30.5154611	-26.176748	-30.8501588	-20.8694569	9.98070188	0	0	0	0	0	3
39	7	0	0.806401777	-30.4228439	-26.5588835	-30.8501588	-20.9595171	9.89064169	0	0	0	0	0	3
40	7	0	0.827078746	-30.4577902	-26.6147274	-30.8501588	-20.9595171	9.89064169	0	0	0	0	0	3
41	7	0	0.847755715	-29.9176278	-26.9730518	-30.8501588	-21.390088	9.46007086	0	0	0	0	0	3
42	7	0	0.868432683	-30.1811041	-27.159795	-30.8501588	-21.390088	9.46007086	0	0	0	0	0	3
43	7	0	0.889109652	-29.5690296	-27.4869527	-30.8501588	-22.6032941	8.24686472	0	0	0	0	0	3
44	8	0	0.90978662	-31.1607483	-27.8292508	-31.1607483	-22.7139369	8.44681133	0	0	0	0	0	3
45	8	0	0.930463589	-30.624989	-28.1456929	-31.1607483	-23.1542368	8.00651148	0	0	0	0	0	3
46	8	0	0.951140558	-29.9685969	-28.4182673	-31.1607483	-23.8892767	7.27147156	0	0	0	0	0	3
47	8	0	0.971817526	-30.0140786	-28.6579457	-31.1607483	-23.8892767	7.27147156	0	0	0	0	0	3
48	8	0	0.992494495	-30.12392	-28.9073314	-31.1607483	-24.6886687	6.47207961	0	0	0	0	0	3
49	8	0	1.01317146	-30.8219849	-29.1293894	-31.1607483	-24.6886687	6.47207961	3.79165306	0	58.5	0	0	3
50	8	0	1.03384843	-30.8699428	-29.3766404	-31.1607483	-25.501921	5.6588273	3.79165306	0	67	0	0	3
51	9	0	1.0545254	-31.0963293	-29.5710573	-31.1607483	-25.501921	5.6588273	3.79165306	0	67	0	0	3
52	9	0	1.07520237	-31.3027705	-29.7654401	-31.3027705	-25.501921	5.80084948	3.79165306	0	65.3	0	0	3
53	9	0	1.09587934	-30.4368847	-29.9628386	-31.3027705	-27.4271613	3.8756092	3.79165306	0	97.8	0	0	3
54	9	0	1.11655631	-30.4696431	-30.0845379	-31.3027705	-28.2176854	3.0850851	3.79165306	0	100	0	0	3
55	9	0	1.13723328	-29.4582672	-30.1341612	-31.3027705	-28.6220078	2.68076271	3.79165306	0	100	0	0	3
56	10	0	1.15791024	-29.6571465	-30.1755667	-31.3027705	-28.885942	2.41682846	3.79165306	0	100	0	0	3
57	10	0	1.17858721	-28.7281697	-30.1584771	-31.3027705	-28.7281697	2.57460077	3.79165306	0	100	0	0	3
58	10	0	1.19926418	-29.7010159	-30.1910801	-31.3027705	-28.7281697	2.57460077	3.79165306	0	100	0	0	3
59	10	0	1.21994115	-28.1308001	-30.1494849	-31.3027705	-28.1308001	3.1719704	3.79165306	0	100	0	0	3
60	10	0	1.24061812	-29.394665	-30.1363467	-31.3027705	-28.1308001	3.1719704	3.79165306	0	100	0	0	3
61	10	0	1.26129509	-28.2329046	-30.0842749	-31.3027705	-28.1308001	3.1719704	3.79165306	0	100	0	0	3
62	11	0	1.28197206	-29.7085421	-30.0386102	-31.3027705	-28.1308001	3.1719704	3.79165306	0	100	0	0	3
63	11	0	1.30264902	-28.5772849	-29.9610832	-31.3027705	-28.1308001	3.1719704	3.79165306	0	100	0	0	3
64	11	0	1.32332599	-29.1672169	-29.9108581	-31.3027705	-28.1308001	3.1719704	3.79165306	0	100	0	0	3
65	11	0	1.34400296	-28.4259889	-29.829586	-31.3027705	-28.1308001	3.1719704	3.79165306	0	100	0	0	3
66	11	0	1.36467993	-29.5957751	-29.8167119	-31.3027705	-28.1308001	3.03128509	3.79165306	0	100	0	0	3
67	12	0	1.3853569	-29.8199197	-29.8022646	-31.3027705	-28.1308001	2.70412742	3.79165306	0	100	0	0	3
68	12	0	1.40603387	-29.932877	-29.8168185	-31.3027705	-28.1308001	2.36182925	3.79165306	0	100	0	0	3
69	12	0	1.42671084	-29.8345886	-29.7637721	-31.3027705	-28.1308001	2.04538717	3.79165306	0	100	0	0	3
70	12	0	1.44738781	-29.5633606	-29.7213069	-31.3027705	-28.1308001	1.77281277	3.79165306	0	100	0	0	3
71	12	0	1.46806477	-28.828475	-29.6757021	-31.3027705	-28.1308001	1.53313441	3.79165306	0	100	0	0	3
72	12	0	1.48874174	-29.22679	-29.6442105	-31.3027705	-28.1308001	1.28374867	3.79165306	0	100	0	0	3
73	13	0	1.50941871	-28.8942246	-29.5950227	-31.3027705	-28.1308001	1.06169071	3.79165306	0	100	0	0	3
74	13	0	1.53009568	-29.0306842	-29.5233707	-31.3027705	-28.1308001	0.814439741	3.79165306	0	100	0	0	3
75	13	0	1.55077265	-29.1119726	-29.4530519	-31.3027705	-28.1308001	0.738028227	3.79165306	0	100	0	0	3
76	13	0	1.57144962	-28.7831437	-29.3605244	-31.3027705	-28.1308001	0.83055565	3.79165306	0	100	0	0	3
77	13	0	1.59212659	-29.0260716	-29.2694565	-30.4696431	-28.1308001	0.921623606	3.79165306	0	100	0	0	3
78	13	0	1.61280355	-28.656159	-29.1982275	-30.4696431	-28.1308001	0.992852634	3.79165306	0	100	0	0	3
79	14	0	1.63348052	-28.8873776	-29.1349368	-29.932877	-28.1308001	1.05614325	3.79165306	0	100	0	0	3
80	14	0	1.65415749	-28.5067501	-29.0968762	-29.932877	-28.1308001	1.09420394	3.79165306	0	100	0	0	3
81	14	0	1.67483446	-28.6793906	-29.0577659	-29.932877	-28.1308001	1.13331417	3.79165306	0	100	0	0	3
82	14	0	1.69551143	-29.0040247	-29.0688001	-29.932877	-28.1308001	1.13331417	3.79165306	0	100	0	0	3
