Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0206769686	3423.32704	3423.32704	3423.32704	3423.32704	0	0	0	0	0	0	3
2	1	0	0.0413539373	606.677369	2015.0022	606.677369	3423.32704	1408.32483	0	0	0	0	0	3
3	1	0	0.0620309059	169.026966	1399.67712	169.026966	3423.32704	2023.64991	0	0	0	0	0	3
4	1	0	0.0827078746	60.9899894	1065.00534	60.9899894	3423.32704	2358.3217	0	0	0	0	0	3
5	2	0	0.103384843	97.7707823	871.558429	60.9899894	3423.32704	2551.76861	0	0	0	0	0	3
6	2	0	0.124061812	58.7175323	736.084946	58.7175323	3423.32704	2687.24209	0	0	0	0	0	3
7	2	0	0.144738781	74.5541835	641.580552	58.7175323	3423.32704	2781.74649	0	0	0	0	0	3
8	2	0	0.165415749	54.6589679	568.215354	54.6589679	3423.32704	2855.11169	0	0	0	0	0	3
9	2	0	0.186092718	61.3799893	511.900313	54.6589679	3423.32704	2911.42673	0	0	0	0	0	3
10	2	0	0.206769686	49.5923015	465.669512	49.5923015	3423.32704	2957.65753	0	0	0	0	0	3
11	2	0	0.227446655	50.1545373	427.895423	49.5923015	3423.32704	2995.43162	0	0	0	0	0	3
12	3	0	0.248123624	43.8301377	395.889983	43.8301377	3423.32704	3027.43706	0	0	0	0	0	3
13	3	0	0.268800592	43.9246288	368.815725	43.8301377	3423.32704	3054.51131	0	0	0	0	0	3
14	3	0	0.289477561	39.58666	345.299363	39.58666	3423.32704	3078.02768	0	0	0	0	0	3
15	3	0	0.31015453	39.1238371	324.887661	39.1238371	3423.32704	3098.43938	0	0	0	0	0	3
16	3	0	0.330831498	36.0611434	306.836004	36.0611434	3423.32704	3116.49103	0	0	0	0	0	3
17	3	0	0.351508467	35.3291764	290.865014	35.3291764	3423.32704	3132.46202	0	0	0	0	0	3
18	3	0	0.372185436	33.7947195	276.583331	33.7947195	3423.32704	3146.74371	0	0	0	0	0	3
19	4	0	0.392862404	33.0937199	263.768088	33.0937199	3423.32704	3159.55895	0	0	0	0	0	3
20	4	0	0.413539373	32.8278217	252.221075	32.8278217	3423.32704	3171.10596	0	0	0	0	0	3
21	4	0	0.434216342	31.9252283	241.730797	31.9252283	3423.32704	3181.59624	0	0	0	0	0	3
22	4	0	0.45489331	31.7613868	232.186733	31.7613868	3423.32704	3191.14031	0	0	0	0	0	3
23	4	0	0.475570279	31.4643302	223.459672	31.4643302	3423.32704	3199.86737	0	0	0	0	0	3
24	4	0	0.496247248	31.5367418	215.462883	31.4643302	3423.32704	3207.86416	0	0	0	0	0	3
25	4	0	0.516924216	31.3460883	208.098211	31.3460883	3423.32704	3215.22883	0	0	0	0	0	3
26	5	0	0.537601185	30.039448	72.3667075	30.039448	606.677369	576.637921	0	0	0	0	0	3
27	5	0	0.558278153	29.7480267	49.2895338	29.7480267	169.026966	139.278939	0	0	0	0	0	3
28	5	0	0.578955122	29.5720659	43.7113378	29.5720659	97.7707823	68.1987164	0	0	0	0	0	3
29	5	0	0.599632091	29.7662307	42.4623874	29.5720659	97.7707823	68.1987164	0	0	0	0	0	3
30	5	0	0.620309059	29.740096	39.74116	29.5720659	74.5541835	44.9821177	0	0	0	0	0	3
31	5	0	0.640986028	29.2602045	38.5628668	29.2602045	74.5541835	45.293979	0	0	0	0	0	3
32	6	0	0.661662997	29.0324119	36.741996	29.0324119	61.3799893	32.3475774	0	0	0	0	0	3
33	6	0	0.682339965	29.0682778	35.7183684	29.0324119	61.3799893	32.3475774	0	0	0	0	0	3
34	6	0	0.703016934	28.7985139	34.4151094	28.7985139	50.1545373	21.3560235	0	0	0	0	0	3
35	6	0	0.723693903	28.659543	33.577799	28.659543	50.1545373	21.4949944	0	0	0	0	0	3
36	6	0	0.744370871	28.2003298	32.6996307	28.2003298	43.9246288	15.724299	0	0	0	0	0	3
37	6	0	0.76504784	28.3100392	32.0788268	28.2003298	43.9246288	15.724299	0	0	0	0	0	3
38	7	0	0.785724809	28.3216985	31.4547096	28.2003298	39.58666	11.3863302	0	0	0	0	0	3
39	7	0	0.806401777	28.3302811	31.0044544	28.2003298	39.1238371	10.9235073	0	0	0	0	0	3
40	7	0	0.827078746	28.276714	30.5705695	28.2003298	36.0611434	7.86081358	0	0	0	0	0	3
41	7	0	0.847755715	27.4586938	30.2264715	27.4586938	35.3291764	7.8704826	0	0	0	0	0	3
