Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0206769686	3456.03866	3456.03866	3456.03866	3456.03866	0	0	0	0	0	0	3
2	1	0	0.0413539373	624.150467	2040.09456	624.150467	3456.03866	1415.9441	0	0	0	0	0	3
3	1	0	0.0620309059	169.463852	1416.55099	169.463852	3456.03866	2039.48767	0	0	0	0	0	3
4	1	0	0.0827078746	106.182507	1088.95887	106.182507	3456.03866	2367.07979	0	0	0	0	0	3
5	2	0	0.103384843	98.6744571	890.901989	98.6744571	3456.03866	2565.13667	0	0	0	0	0	3
6	2	0	0.124061812	73.003208	754.585525	73.003208	3456.03866	2701.45313	0	0	0	0	0	3
7	2	0	0.144738781	75.9080319	657.631598	73.003208	3456.03866	2798.40706	0	0	0	0	0	3
8	2	0	0.165415749	60.1956618	582.952106	60.1956618	3456.03866	2873.08655	0	0	0	0	0	3
9	2	0	0.186092718	64.1657747	525.30918	60.1956618	3456.03866	2930.72948	0	0	0	0	0	3
10	2	0	0.206769686	53.0552453	478.083786	53.0552453	3456.03866	2977.95487	0	0	0	0	0	3
11	2	0	0.227446655	56.3850065	439.747534	53.0552453	3456.03866	3016.29113	0	0	0	0	0	3
12	3	0	0.248123624	48.0093062	407.102681	48.0093062	3456.03866	3048.93598	0	0	0	0	0	3
13	3	0	0.268800592	52.9097836	379.857074	48.0093062	3456.03866	3076.18159	0	0	0	0	0	3
14	3	0	0.289477561	44.8161161	355.925577	44.8161161	3456.03866	3100.11308	0	0	0	0	0	3
15	3	0	0.31015453	48.7468472	335.446995	44.8161161	3456.03866	3120.59167	0	0	0	0	0	3
16	3	0	0.330831498	41.7976991	317.093914	41.7976991	3456.03866	3138.94475	0	0	0	0	0	3
17	3	0	0.351508467	43.6061907	301.006401	41.7976991	3456.03866	3155.03226	0	0	0	0	0	3
18	3	0	0.372185436	40.0916973	286.51114	40.0916973	3456.03866	3169.52752	0	0	0	0	0	3
19	4	0	0.392862404	40.1235646	273.543372	40.0916973	3456.03866	3182.49529	0	0	0	0	0	3
20	4	0	0.413539373	40.0073231	261.86657	40.0073231	3456.03866	3194.17209	0	0	0	0	0	3
21	4	0	0.434216342	39.4668888	251.276109	39.4668888	3456.03866	3204.76255	0	0	0	0	0	3
22	4	0	0.45489331	39.8823083	241.6673	39.4668888	3456.03866	3214.37136	0	0	0	0	0	3
23	4	0	0.475570279	39.5211751	232.878338	39.4668888	3456.03866	3223.16032	0	0	0	0	0	3
24	4	0	0.496247248	40.4545215	224.860679	39.4668888	3456.03866	3231.17798	0	0	0	0	0	3
25	4	0	0.516924216	39.9035729	217.462395	39.4668888	3456.03866	3238.57627	0	0	0	0	0	3
26	5	0	0.537601185	39.8989049	80.8168044	39.4668888	624.150467	584.683578	0	0	0	0	0	3
27	5	0	0.558278153	39.8028452	57.4428996	39.4668888	169.463852	129.996964	0	0	0	0	0	3
28	5	0	0.578955122	39.0558958	52.2265813	39.0558958	106.182507	67.1266108	0	0	0	0	0	3
29	5	0	0.599632091	40.4763543	49.5983352	39.0558958	98.6744571	59.6185613	0	0	0	0	0	3
30	5	0	0.620309059	40.9994919	47.2913366	39.0558958	75.9080319	36.8521361	0	0	0	0	0	3
31	5	0	0.640986028	40.9327623	46.0085188	39.0558958	75.9080319	36.8521361	0	0	0	0	0	3
32	6	0	0.661662997	41.1453002	44.6180095	39.0558958	64.1657747	25.1098789	0	0	0	0	0	3
33	6	0	0.682339965	40.9802308	43.8493923	39.0558958	64.1657747	25.1098789	0	0	0	0	0	3
34	6	0	0.703016934	40.9915495	42.9224233	39.0558958	56.3850065	17.3291107	0	0	0	0	0	3
35	6	0	0.723693903	41.2908541	42.4518476	39.0558958	56.3850065	17.3291107	0	0	0	0	0	3
36	6	0	0.744370871	40.8363401	41.8299009	39.0558958	52.9097836	13.8538878	0	0	0	0	0	3
37	6	0	0.76504784	41.8716597	41.5843951	39.0558958	52.9097836	13.8538878	0	0	0	0	0	3
38	7	0	0.785724809	41.6342401	41.1333733	39.0558958	48.7468472	9.69095143	0	0	0	0	0	3
39	7	0	0.806401777	41.5715273	41.0035898	39.0558958	48.7468472	9.69095143	0	0	0	0	0	3
40	7	0	0.827078746	41.5601929	40.7161236	39.0558958	43.6061907	4.55029485	0	0	0	0	0	3
41	7	0	0.847755715	40.6084268	40.6685527	39.0558958	43.6061907	4.55029485	0	0	0	0	0	3
42	7	0	0.868432683	40.8890193	40.5598659	39.0558958	41.8716597	2.81576385	0	0	0	0	0	3
43	7	0	0.889109652	40.4209414	40.5730356	39.0558958	41.8716597	2.81576385	0	0	0	0	0	3
44	8	0	0.90978662	41.6392735	40.633664	39.0558958	41.8716597	2.81576385	0	0	0	0	0	3
45	8	0	0.930463589	41.1842411	40.6807407	39.0558958	41.8716597	2.81576385	0	0	0	0	0	3
46	8	0	0.951140558	40.4737841	40.7210165	39.0558958	41.8716597	2.81576385	0	0	0	0	0	3
47	8	0	0.971817526	40.5214414	40.7465818	39.0558958	41.8716597	2.81576385	0	0	0	0	0	3
48	8	0	0.992494495	40.599779	40.789726	39.0558958	41.8716597	2.81576385	0	0	0	0	0	3
49	8	0	1.01317146	41.1877982	40.8190571	39.0558958	41.8716597	2.81576385	5.25804881	0	100	0	0	3
50	8	0	1.03384843	41.178632	40.8700594	39.0558958	41.8716597	2.81576385	5.25804881	0	100	0	0	3
51	9	0	1.0545254	41.4326308	40.9314085	39.0558958	41.8716597	2.81576385	5.25804881	0	100	0	0	3
52	9	0	1.07520237	41.6125257	41.0037957	39.0558958	41.8716597	2.81576385	5.25804881	0	100	0	0	3
53	9	0	1.09587934	40.969648	41.0803458	40.4209414	41.8716597	1.45071825	5.25804881	0	100	0	0	3
54	9	0	1.11655631	40.9153882	41.0979071	40.4209414	41.8716597	1.45071825	5.25804881	0	100	0	0	3
55	9	0	1.13723328	40.0619789	41.0604066	40.0619789	41.8716597	1.80968078	5.25804881	0	100	0	0	3
56	10	0	1.15791024	40.1121475	41.027582	40.0619789	41.8716597	1.80968078	5.25804881	0	100	0	0	3
57	10	0	1.17858721	39.3927414	40.9574797	39.3927414	41.8716597	2.47891823	5.25804881	0	100	0	0	3
58	10	0	1.19926418	40.112477	40.9227695	39.3927414	41.8716597	2.36255738	5.25804881	0	100	0	0	3
59	10	0	1.21994115	39.0018444	40.8431813	39.0018444	41.8716597	1.89198173	5.25804881	0	100	0	0	3
