Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0206769686	22.8811235	22.8811235	22.8811235	22.8811235	0	0	0	0	0	0	3
2	1	0	0.0413539373	20.590464	21.7357937	20.590464	22.8811235	1.14532975	0	0	0	0	0	3
3	1	0	0.0620309059	16.5239412	19.9985096	16.5239412	22.8811235	2.88261393	0	0	0	0	0	3
4	1	0	0.0827078746	16.4629045	19.1146083	16.4629045	22.8811235	3.76651519	0	0	0	0	0	3
5	2	0	0.103384843	16.1126141	18.5142095	16.1126141	22.8811235	4.36691402	0	0	0	0	0	3
6	2	0	0.124061812	16.3503749	18.1535704	16.1126141	22.8811235	4.72755312	0	0	0	0	0	3
7	2	0	0.144738781	16.3002956	17.8888168	16.1126141	22.8811235	4.99230666	0	0	0	0	0	3
8	2	0	0.165415749	16.2618865	17.6854505	16.1126141	22.8811235	5.19567295	0	0	0	0	0	3
9	2	0	0.186092718	16.2153746	17.5221088	16.1126141	22.8811235	5.35901472	0	0	0	0	0	3
10	2	0	0.206769686	16.1717833	17.3870762	16.1126141	22.8811235	5.49404727	0	0	0	0	0	3
11	2	0	0.227446655	15.8609065	17.2483335	15.8609065	22.8811235	5.63278998	0	0	0	0	0	3
12	3	0	0.248123624	15.7968222	17.1273742	15.7968222	22.8811235	5.75374925	0	0	0	0	0	3
13	3	0	0.268800592	15.7375021	17.020461	15.7375021	22.8811235	5.8606625	0	0	0	0	0	3
14	3	0	0.289477561	15.6833978	16.9249565	15.6833978	22.8811235	5.95616701	0	0	0	0	0	3
15	3	0	0.31015453	15.6334056	16.8388531	15.6334056	22.8811235	6.0422704	0	0	0	0	0	3
16	3	0	0.330831498	15.2426646	16.7390913	15.2426646	22.8811235	6.14203218	0	0	0	0	0	3
17	3	0	0.351508467	15.1933601	16.6481659	15.1933601	22.8811235	6.23295755	0	0	0	0	0	3
18	3	0	0.372185436	15.1496245	16.5649136	15.1496245	22.8811235	6.31620985	0	0	0	0	0	3
19	4	0	0.392862404	15.1113756	16.4884116	15.1113756	22.8811235	6.39271185	0	0	0	0	0	3
20	4	0	0.413539373	15.0774719	16.4178647	15.0774719	22.8811235	6.46325884	0	0	0	0	0	3
21	4	0	0.434216342	14.7110536	16.3365879	14.7110536	22.8811235	6.54453555	0	0	0	0	0	3
22	4	0	0.45489331	14.6755327	16.2610854	14.6755327	22.8811235	6.62003806	0	0	0	0	0	3
23	4	0	0.475570279	14.6451513	16.1908274	14.6451513	22.8811235	6.69029607	0	0	0	0	0	3
24	4	0	0.496247248	14.6192044	16.1253431	14.6192044	22.8811235	6.75578036	0	0	0	0	0	3
25	4	0	0.516924216	14.5986117	16.0642739	14.5986117	22.8811235	6.81684962	0	0	0	0	0	3
26	5	0	0.537601185	13.7377562	15.6985392	13.7377562	20.590464	6.03725456	0	0	0	0	0	3
27	5	0	0.558278153	13.7196856	15.4237081	13.7196856	16.5239412	2.8042556	0	0	0	0	0	3
28	5	0	0.578955122	13.7054571	15.3109687	13.7054571	16.4629045	2.75744744	0	0	0	0	0	3
29	5	0	0.599632091	13.6943205	15.2002253	13.6943205	16.3503749	2.65605442	0	0	0	0	0	3
30	5	0	0.620309059	13.6850048	15.1031209	13.6850048	16.3503749	2.66537012	0	0	0	0	0	3
31	5	0	0.640986028	12.8598311	14.9634992	12.8598311	16.3002956	2.92531764	0	0	0	0	0	3
32	6	0	0.661662997	12.8546413	14.825673	12.8546413	16.2618865	2.85977752	0	0	0	0	0	3
33	6	0	0.682339965	12.8501777	14.6892047	12.8501777	16.2153746	2.8329041	0	0	0	0	0	3
34	6	0	0.703016934	12.8465222	14.5544506	12.8465222	16.1717833	2.83262564	0	0	0	0	0	3
35	6	0	0.723693903	12.8434362	14.4213167	12.8434362	15.8609065	2.82701682	0	0	0	0	0	3
36	6	0	0.744370871	12.3009054	14.2789167	12.3009054	15.7968222	2.84845759	0	0	0	0	0	3
37	6	0	0.76504784	12.3057634	14.1392743	12.3009054	15.7375021	2.8811867	0	0	0	0	0	3
38	7	0	0.785724809	12.3099679	14.0021729	12.3009054	15.6833978	2.92278355	0	0	0	0	0	3
39	7	0	0.806401777	12.3125801	13.8673402	12.3009054	15.6334056	2.97151286	0	0	0	0	0	3
40	7	0	0.827078746	12.3142531	13.7345741	12.3009054	15.2426646	2.94175926	0	0	0	0	0	3
41	7	0	0.847755715	11.6749604	13.591866	11.6749604	15.1933601	3.05629999	0	0	0	0	0	3
42	7	0	0.868432683	11.6814939	13.4513913	11.6749604	15.1496245	3.11352234	0	0	0	0	0	3
43	7	0	0.889109652	11.6843977	13.3127822	11.6749604	15.1113756	3.17562941	0	0	0	0	0	3
44	8	0	0.90978662	11.6865421	13.1757889	11.6749604	15.0774719	3.24207576	0	0	0	0	0	3
45	8	0	0.930463589	11.6875962	13.0401939	11.6749604	14.7110536	3.03609329	0	0	0	0	0	3
46	8	0	0.951140558	11.468202	12.9104798	11.468202	14.6755327	3.20733069	0	0	0	0	0	3
