Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0206769686	187.711806	187.711806	187.711806	187.711806	0	0	0	0	0	0	3
2	1	0	0.0413539373	187.708908	187.710357	187.708908	187.711806	0.00144864462	0	0	0	0	0	3
3	1	0	0.0620309059	187.708242	187.709652	187.708242	187.711806	0.00215359977	0	0	0	0	0	3
4	1	0	0.0827078746	187.708398	187.709339	187.708242	187.711806	0.00246715123	0	0	0	0	0	3
5	2	0	0.103384843	187.708167	187.709104	187.708167	187.711806	0.00270145242	0	0	0	0	0	3
6	2	0	0.124061812	187.708283	187.708967	187.708167	187.711806	0.00283837379	0	0	0	0	0	3
7	2	0	0.144738781	187.70824	187.708863	187.708167	187.711806	0.00294231732	0	0	0	0	0	3
8	2	0	0.165415749	187.708202	187.708781	187.708167	187.711806	0.0030249281	0	0	0	0	0	3
9	2	0	0.186092718	187.708226	187.708719	187.708167	187.711806	0.00308654546	0	0	0	0	0	3
10	2	0	0.206769686	187.70815	187.708662	187.70815	187.711806	0.00314344109	0	0	0	0	0	3
11	2	0	0.227446655	187.708196	187.70862	187.70815	187.711806	0.00318580822	0	0	0	0	0	3
12	3	0	0.248123624	187.70811	187.708577	187.70811	187.711806	0.00322828415	0	0	0	0	0	3
13	3	0	0.268800592	187.708153	187.708545	187.70811	187.711806	0.00326096574	0	0	0	0	0	3
14	3	0	0.289477561	187.708063	187.70851	187.708063	187.711806	0.00329540764	0	0	0	0	0	3
15	3	0	0.31015453	187.708073	187.708481	187.708063	187.711806	0.00332456756	0	0	0	0	0	3
16	3	0	0.330831498	187.708004	187.708451	187.708004	187.711806	0.0033543776	0	0	0	0	0	3
17	3	0	0.351508467	187.707977	187.708423	187.707977	187.711806	0.00338226476	0	0	0	0	0	3
18	3	0	0.372185436	187.707924	187.708396	187.707924	187.711806	0.00341001155	0	0	0	0	0	3
19	4	0	0.392862404	187.707892	187.708369	187.707892	187.711806	0.00343652229	0	0	0	0	0	3
20	4	0	0.413539373	187.707855	187.708343	187.707855	187.711806	0.00346224138	0	0	0	0	0	3
21	4	0	0.434216342	187.707795	187.708317	187.707795	187.711806	0.00348836678	0	0	0	0	0	3
22	4	0	0.45489331	187.707738	187.708291	187.707738	187.711806	0.00351470773	0	0	0	0	0	3
23	4	0	0.475570279	187.707677	187.708264	187.707677	187.711806	0.00354139142	0	0	0	0	0	3
24	4	0	0.496247248	187.70763	187.708238	187.70763	187.711806	0.0035678101	0	0	0	0	0	3
25	4	0	0.516924216	187.707589	187.708212	187.707589	187.711806	0.00359375352	0	0	0	0	0	3
26	5	0	0.537601185	187.70753	187.708041	187.70753	187.708908	0.00137868932	0	0	0	0	0	3
27	5	0	0.558278153	187.707482	187.707984	187.707482	187.708398	0.000916292318	0	0	0	0	0	3
28	5	0	0.578955122	187.707438	187.707952	187.707438	187.708398	0.000959608177	0	0	0	0	0	3
29	5	0	0.599632091	187.707415	187.707912	187.707415	187.708283	0.000867242189	0	0	0	0	0	3
30	5	0	0.620309059	187.707391	187.707881	187.707391	187.708283	0.000891342081	0	0	0	0	0	3
31	5	0	0.640986028	187.707371	187.707845	187.707371	187.70824	0.000868461696	0	0	0	0	0	3
32	6	0	0.661662997	187.707353	187.707809	187.707353	187.708226	0.000872790002	0	0	0	0	0	3
33	6	0	0.682339965	187.707346	187.707775	187.707346	187.708226	0.000879782901	0	0	0	0	0	3
34	6	0	0.703016934	187.707334	187.707739	187.707334	187.708196	0.000862118666	0	0	0	0	0	3
35	6	0	0.723693903	187.707334	187.707707	187.707334	187.708196	0.000862118666	0	0	0	0	0	3
36	6	0	0.744370871	187.707337	187.707673	187.707334	187.708153	0.000818453466	0	0	0	0	0	3
37	6	0	0.76504784	187.707342	187.707642	187.707334	187.708153	0.000818453466	0	0	0	0	0	3
38	7	0	0.785724809	187.707344	187.707609	187.707334	187.708073	0.000738791786	0	0	0	0	0	3
39	7	0	0.806401777	187.707349	187.707581	187.707334	187.708073	0.000738791786	0	0	0	0	0	3
40	7	0	0.827078746	187.70735	187.707552	187.707334	187.708004	0.000670070122	0	0	0	0	0	3
41	7	0	0.847755715	187.707358	187.707526	187.707334	187.707977	0.000643138879	0	0	0	0	0	3
42	7	0	0.868432683	187.707368	187.707502	187.707334	187.707924	0.000589891369	0	0	0	0	0	3
43	7	0	0.889109652	187.707375	187.70748	187.707334	187.707892	0.000557882628	0	0	0	0	0	3
44	8	0	0.90978662	187.707387	187.70746	187.707334	187.707855	0.000520694221	0	0	0	0	0	3
45	8	0	0.930463589	187.707389	187.707441	187.707334	187.707795	0.000460723502	0	0	0	0	0	3
46	8	0	0.951140558	187.707393	187.707425	187.707334	187.707738	0.000403730526	0	0	0	0	0	3
47	8	0	0.971817526	187.707396	187.707411	187.707334	187.707677	0.000343165739	0	0	0	0	0	3
48	8	0	0.992494495	187.707399	187.7074	187.707334	187.70763	0.000296158493	0	0	0	0	0	3
49	8	0	1.01317146	187.707404	187.707391	187.707334	187.707589	0.000255202745	1.87703105	0	100	0	0	3
50	8	0	1.03384843	187.707403	187.707384	187.707334	187.70753	0.000195619724	1.87703099	0	100	0	0	3
51	9	0	1.0545254	187.707403	187.707378	187.707334	187.707482	0.000147500329	1.87703108	0	100	0	0	3
52	9	0	1.07520237	187.707401	187.707375	187.707334	187.707438	0.00010418447	1.87703112	0	100	0	0	3
53	9	0	1.09587934	187.707399	187.707374	187.707334	187.707415	8.13754387e-05	1.877031	0	100	0	0	3
54	9	0	1.11655631	187.707399	187.707373	187.707334	187.707404	7.01970375e-05	1.87703099	0	100	0	0	3
55	9	0	1.13723328	187.707399	187.707373	187.707334	187.707404	7.01970375e-05	1.8770309	0	100	0	0	3
56	10	0	1.15791024	187.7074	187.707375	187.707334	187.707404	7.01970375e-05	1.87703094	0	100	0	0	3
57	10	0	1.17858721	187.707399	187.707376	187.707334	187.707404	7.01970375e-05	1.87703091	0	100	0	0	3
58	10	0	1.19926418	187.707404	187.707379	187.707334	187.707404	7.01970375e-05	1.87703107	0	100	0	0	3
59	10	0	1.21994115	187.707402	187.707381	187.707334	187.707404	6.98682347e-05	1.87703098	0	100	0	0	3
60	10	0	1.24061812	187.707406	187.707384	187.707337	187.707406	6.88142958e-05	1.87703106	0	100	0	0	3
61	10	0	1.26129509	187.707404	187.707387	187.707342	187.707406	6.37341655e-05	1.87703099	0	100	0	0	3
62	11	0	1.28197206	187.707407	187.70739	187.707344	187.707407	6.29776094e-05	1.87703107	0	100	0	0	3
63	11	0	1.30264902	187.707403	187.707392	187.707349	187.707407	5.79124593e-05	1.87703094	0	100	0	0	3
64	11	0	1.32332599	187.707402	187.707394	187.70735	187.707407	5.69199594e-05	1.87703092	0	100	0	0	3
65	11	0	1.34400296	187.707402	187.707396	187.707358	187.707407	4.87192739e-05	1.8770309	0	100	0	0	3
66	11	0	1.36467993	187.707403	187.707398	187.707368	187.707407	3.89426745e-05	1.87703094	0	100	0	0	3
67	12	0	1.3853569	187.707403	187.707399	187.707375	187.707407	3.19015884e-05	1.87703095	0	100	0	0	3
68	12	0	1.40603387	187.707402	187.7074	187.707387	187.707407	1.95629207e-05	1.87703093	0	100	0	0	3
69	12	0	1.42671084	187.707402	187.707401	187.707389	187.707407	1.82146261e-05	1.87703092	0	100	0	0	3
70	12	0	1.44738781	187.707402	187.707401	187.707393	187.707407	1.42391674e-05	1.87703089	0	100	0	0	3
71	12	0	1.46806477	187.7074	187.707402	187.707396	187.707407	1.13273736e-05	1.87703084	0	100	0	0	3
72	12	0	1.48874174	187.707402	187.707402	187.707399	187.707407	7.94224829e-06	1.87703084	0	100	0	0	3
73	13	0	1.50941871	187.707403	187.707402	187.707399	187.707407	7.94224829e-06	1.87703087	0	100	0	0	3
74	13	0	1.53009568	187.707403	187.707402	187.707399	187.707407	7.94224829e-06	1.8770309	0	100	0	0	3
