Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0206769686	-474.09938	-474.09938	-474.09938	-474.09938	0	0	0	0	0	0	3
2	1	0	0.0413539373	-145.350037	-309.724709	-474.09938	-145.350037	164.374671	0	0	0	0	0	3
3	1	0	0.0620309059	7.12142972	-204.109329	-474.09938	7.12142972	269.990051	0	0	0	0	0	3
4	1	0	0.0827078746	-86.9252089	-174.813299	-474.09938	7.12142972	299.286081	0	0	0	0	0	3
5	2	0	0.103384843	0.0710282992	-139.836434	-474.09938	7.12142972	334.262947	0	0	0	0	0	3
6	2	0	0.124061812	-43.4491221	-123.771882	-474.09938	7.12142972	350.327499	0	0	0	0	0	3
7	2	0	0.144738781	-13.8477146	-108.068429	-474.09938	7.12142972	366.030951	0	0	0	0	0	3
8	2	0	0.165415749	-25.4195026	-97.7373135	-474.09938	7.12142972	376.362067	0	0	0	0	0	3
9	2	0	0.186092718	-18.7219055	-88.9578237	-474.09938	7.12142972	385.141557	0	0	0	0	0	3
10	2	0	0.206769686	-18.7936019	-81.9414015	-474.09938	7.12142972	392.157979	0	0	0	0	0	3
11	2	0	0.227446655	-25.9336859	-76.849791	-474.09938	7.12142972	397.249589	0	0	0	0	0	3
12	3	0	0.248123624	-19.6378701	-72.0821309	-474.09938	7.12142972	402.017249	0	0	0	0	0	3
13	3	0	0.268800592	-29.7161604	-68.8232101	-474.09938	7.12142972	405.27617	0	0	0	0	0	3
14	3	0	0.289477561	-21.0936371	-65.4139549	-474.09938	7.12142972	408.685426	0	0	0	0	0	3
15	3	0	0.31015453	-29.2935847	-63.0059302	-474.09938	7.12142972	411.09345	0	0	0	0	0	3
16	3	0	0.330831498	-21.2060279	-60.3934363	-474.09938	7.12142972	413.705944	0	0	0	0	0	3
17	3	0	0.351508467	-25.7684846	-58.3566745	-474.09938	7.12142972	415.742706	0	0	0	0	0	3
18	3	0	0.372185436	-21.6478394	-56.3172947	-474.09938	7.12142972	417.782086	0	0	0	0	0	3
19	4	0	0.392862404	-22.8660891	-54.556705	-474.09938	7.12142972	419.542675	0	0	0	0	0	3
20	4	0	0.413539373	-22.9784526	-52.9777924	-474.09938	7.12142972	421.121588	0	0	0	0	0	3
21	4	0	0.434216342	-23.4232485	-51.5704331	-474.09938	7.12142972	422.528947	0	0	0	0	0	3
22	4	0	0.45489331	-24.2925535	-50.3305295	-474.09938	7.12142972	423.768851	0	0	0	0	0	3
23	4	0	0.475570279	-24.1615126	-49.1927462	-474.09938	7.12142972	424.906634	0	0	0	0	0	3
24	4	0	0.496247248	-25.5455205	-48.2074451	-474.09938	7.12142972	425.891935	0	0	0	0	0	3
25	4	0	0.516924216	-24.9636251	-47.2776923	-474.09938	7.12142972	426.821688	0	0	0	0	0	3
26	5	0	0.537601185	-26.4679659	-29.3724357	-145.350037	7.12142972	152.471467	0	0	0	0	0	3
