Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0206769686	3433.41216	3433.41216	3433.41216	3433.41216	0	0	0	0	0	0	3
2	1	0	0.0413539373	604.199895	2018.80603	604.199895	3433.41216	1414.60613	0	0	0	0	0	3
3	1	0	0.0620309059	152.977589	1396.86322	152.977589	3433.41216	2036.54895	0	0	0	0	0	3
4	1	0	0.0827078746	97.8396034	1072.10731	97.8396034	3433.41216	2361.30485	0	0	0	0	0	3
5	2	0	0.103384843	82.7375537	874.233361	82.7375537	3433.41216	2559.1788	0	0	0	0	0	3
6	2	0	0.124061812	60.7778951	738.65745	60.7778951	3433.41216	2694.75471	0	0	0	0	0	3
7	2	0	0.144738781	60.0248911	641.709942	60.0248911	3433.41216	2791.70222	0	0	0	0	0	3
8	2	0	0.165415749	46.0499729	567.252446	46.0499729	3433.41216	2866.15972	0	0	0	0	0	3
9	2	0	0.186092718	48.9621931	509.66464	46.0499729	3433.41216	2923.74752	0	0	0	0	0	3
10	2	0	0.206769686	38.4712389	462.5453	38.4712389	3433.41216	2970.86686	0	0	0	0	0	3
11	2	0	0.227446655	43.0219647	424.406815	38.4712389	3433.41216	3009.00535	0	0	0	0	0	3
12	3	0	0.248123624	34.32344	391.899867	34.32344	3433.41216	3041.5123	0	0	0	0	0	3
13	3	0	0.268800592	40.9598503	364.904481	34.32344	3433.41216	3068.50768	0	0	0	0	0	3
14	3	0	0.289477561	31.9721476	341.1236	31.9721476	3433.41216	3092.28856	0	0	0	0	0	3
15	3	0	0.31015453	37.5630551	320.88623	31.9721476	3433.41216	3112.52593	0	0	0	0	0	3
16	3	0	0.330831498	29.841455	302.695932	29.841455	3433.41216	3130.71623	0	0	0	0	0	3
17	3	0	0.351508467	32.7413942	286.816253	29.841455	3433.41216	3146.59591	0	0	0	0	0	3
18	3	0	0.372185436	28.7063608	272.476815	28.7063608	3433.41216	3160.93535	0	0	0	0	0	3
19	4	0	0.392862404	29.1561254	259.670463	28.7063608	3433.41216	3173.7417	0	0	0	0	0	3
20	4	0	0.413539373	29.1571425	248.144797	28.7063608	3433.41216	3185.26737	0	0	0	0	0	3
21	4	0	0.434216342	29.1088137	237.714512	28.7063608	3433.41216	3195.69765	0	0	0	0	0	3
22	4	0	0.45489331	29.7799838	228.262942	28.7063608	3433.41216	3205.14922	0	0	0	0	0	3
23	4	0	0.475570279	29.460763	219.619369	28.7063608	3433.41216	3213.79279	0	0	0	0	0	3
24	4	0	0.496247248	30.695474	211.74754	28.7063608	3433.41216	3221.66462	0	0	0	0	0	3
25	4	0	0.516924216	30.0652405	204.480248	28.7063608	3433.41216	3228.93192	0	0	0	0	0	3
26	5	0	0.537601185	31.1068411	68.3880354	28.7063608	604.199895	575.493534	0	0	0	0	0	3
27	5	0	0.558278153	31.1231856	45.464967	28.7063608	152.977589	124.271229	0	0	0	0	0	3
28	5	0	0.578955122	30.2414945	40.5555232	28.7063608	97.8396034	69.1332426	0	0	0	0	0	3
29	5	0	0.599632091	31.9911798	37.9215863	28.7063608	82.7375537	54.031193	0	0	0	0	0	3
30	5	0	0.620309059	32.6704802	35.9189033	28.7063608	60.7778951	32.0715343	0	0	0	0	0	3
31	5	0	0.640986028	33.1502984	34.8137995	28.7063608	60.0248911	31.3185303	0	0	0	0	0	3
32	6	0	0.661662997	33.5042826	33.7529751	28.7063608	48.9621931	20.2558324	0	0	0	0	0	3
33	6	0	0.682339965	33.288423	33.2425131	28.7063608	48.9621931	20.2558324	0	0	0	0	0	3
34	6	0	0.703016934	33.4093507	32.6203994	28.7063608	43.0219647	14.315604	0	0	0	0	0	3
35	6	0	0.723693903	33.8346546	32.434936	28.7063608	43.0219647	14.315604	0	0	0	0	0	3
36	6	0	0.744370871	33.7004985	32.0620774	28.7063608	40.9598503	12.2534895	0	0	0	0	0	3
37	6	0	0.76504784	34.9177911	32.0858514	28.7063608	40.9598503	12.2534895	0	0	0	0	0	3
38	7	0	0.785724809	34.6269613	31.8325359	28.7063608	37.5630551	8.85669434	0	0	0	0	0	3
39	7	0	0.806401777	34.5484309	31.9355872	28.7063608	37.5630551	8.85669434	0	0	0	0	0	3
40	7	0	0.827078746	34.5567375	31.8153345	28.7063608	34.9177911	6.21143035	0	0	0	0	0	3
41	7	0	0.847755715	33.9329974	31.9789962	28.7063608	34.9177911	6.21143035	0	0	0	0	0	3
42	7	0	0.868432683	34.2252877	32.0383519	28.7063608	34.9177911	6.21143035	0	0	0	0	0	3
43	7	0	0.889109652	33.6662857	32.2367489	29.1088137	34.9177911	5.80897743	0	0	0	0	0	3
44	8	0	0.90978662	35.1128306	32.4750172	29.1088137	35.1128306	6.00401696	0	0	0	0	0	3
45	8	0	0.930463589	34.5915448	32.6923932	29.1088137	35.1128306	6.00401696	0	0	0	0	0	3
46	8	0	0.951140558	33.9572418	32.8863304	29.460763	35.1128306	5.65206765	0	0	0	0	0	3
47	8	0	0.971817526	34.0064272	33.0553881	29.460763	35.1128306	5.65206765	0	0	0	0	0	3
48	8	0	0.992494495	34.1001881	33.2409651	30.0652405	35.1128306	5.0475901	0	0	0	0	0	3
49	8	0	1.01317146	34.7701801	33.4039533	30.0652405	35.1128306	5.0475901	5.01061594	0	99.2	0	0	3
50	8	0	1.03384843	34.8088603	33.5936981	30.2414945	35.1128306	4.87133616	5.01061594	0	100	0	0	3
51	9	0	1.0545254	35.0810036	33.7526646	30.2414945	35.1128306	4.87133616	5.01061594	0	100	0	0	3
52	9	0	1.07520237	35.2932118	33.9194657	30.2414945	35.2932118	5.05171732	5.01061594	0	99.1	0	0	3
53	9	0	1.09587934	34.5033222	34.0899388	31.9911798	35.2932118	3.30203202	5.01061594	0	100	0	0	3
54	9	0	1.11655631	34.4898104	34.189884	32.6704802	35.2932118	2.62273157	5.01061594	0	100	0	0	3
55	9	0	1.13723328	33.502654	34.223171	33.1502984	35.2932118	2.14291337	5.01061594	0	100	0	0	3
56	10	0	1.15791024	33.6198562	34.2419533	33.288423	35.2932118	2.00478884	5.01061594	0	100	0	0	3
57	10	0	1.17858721	32.7659955	34.2124218	32.7659955	35.2932118	2.42661877	5.01061594	0	100	0	0	3
58	10	0	1.19926418	33.6448887	34.2266804	32.7659955	35.2932118	2.42661877	5.01061594	0	100	0	0	3
59	10	0	1.21994115	32.2650605	34.1809088	32.2650605	35.2932118	2.42661877	5.01061594	0	100	0	0	3
60	10	0	1.24061812	33.3873654	34.1630173	32.2650605	35.2932118	2.42661877	5.01061594	0	100	0	0	3
61	10	0	1.26129509	32.3876025	34.1105014	32.2650605	35.2932118	2.42661877	5.01061594	0	100	0	0	3
62	11	0	1.28197206	33.7015964	34.0618536	32.2650605	35.2932118	2.42661877	5.01061594	0	100	0	0	3
63	11	0	1.30264902	32.696431	33.9846324	32.2650605	35.2932118	2.42661877	5.01061594	0	100	0	0	3
64	11	0	1.32332599	33.2013623	33.9307497	32.2650605	35.2932118	2.42661877	5.01061594	0	100	0	0	3
65	11	0	1.34400296	32.5673413	33.8511738	32.2650605	35.2932118	2.26295708	5.01061594	0	100	0	0	3
66	11	0	1.36467993	33.6069009	33.83813	32.2650605	35.2932118	2.20360134	5.01061594	0	100	0	0	3
67	12	0	1.3853569	33.842322	33.8228113	32.2650605	35.2932118	2.00520434	5.01061594	0	100	0	0	3
68	12	0	1.40603387	33.9489648	33.8341185	32.2650605	35.2932118	1.76693613	5.01061594	0	100	0	0	3
69	12	0	1.42671084	33.8580356	33.7839267	32.2650605	35.2932118	1.54956004	5.01061594	0	100	0	0	3
