Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0206769686	0	0	0	0	0	0	0	0	0	0	3
2	1	0	0.0413539373	0	0	0	0	0	0	0	0	0	0	3
3	1	0	0.0620309059	0	0	0	0	0	0	0	0	0	0	3
4	1	0	0.0827078746	0	0	0	0	0	0	0	0	0	0	3
5	2	0	0.103384843	0	0	0	0	0	0	0	0	0	0	3
6	2	0	0.124061812	0	0	0	0	0	0	0	0	0	0	3
7	2	0	0.144738781	0	0	0	0	0	0	0	0	0	0	3
8	2	0	0.165415749	0	0	0	0	0	0	0	0	0	0	3
9	2	0	0.186092718	0	0	0	0	0	0	0	0	0	0	3
10	2	0	0.206769686	0	0	0	0	0	0	0	0	0	0	3
11	2	0	0.227446655	0	0	0	0	0	0	0	0	0	0	3
12	3	0	0.248123624	0	0	0	0	0	0	0	0	0	0	3
13	3	0	0.268800592	0	0	0	0	0	0	0	0	0	0	3
14	3	0	0.289477561	0	0	0	0	0	0	0	0	0	0	3
15	3	0	0.31015453	0	0	0	0	0	0	0	0	0	0	3
16	3	0	0.330831498	0	0	0	0	0	0	0	0	0	0	3
17	3	0	0.351508467	0	0	0	0	0	0	0	0	0	0	3
18	3	0	0.372185436	0	0	0	0	0	0	0	0	0	0	3
19	4	0	0.392862404	0	0	0	0	0	0	0	0	0	0	3
20	4	0	0.413539373	0	0	0	0	0	0	0	0	0	0	3
21	4	0	0.434216342	0	0	0	0	0	0	0	0	0	0	3
22	4	0	0.45489331	0	0	0	0	0	0	0	0	0	0	3
23	4	0	0.475570279	0	0	0	0	0	0	0	0	0	0	3
24	4	0	0.496247248	0	0	0	0	0	0	0	0	0	0	3
25	4	0	0.516924216	0	0	0	0	0	0	0	0	0	0	3
26	5	0	0.537601185	0	0	0	0	0	0	0	0	0	0	3
27	5	0	0.558278153	0	0	0	0	0	0	0	0	0	0	3
28	5	0	0.578955122	0	0	0	0	0	0	0	0	0	0	3
29	5	0	0.599632091	0	0	0	0	0	0	0	0	0	0	3
30	5	0	0.620309059	0	0	0	0	0	0	0	0	0	0	3
