Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0206769686	101327.279	101327.279	101327.279	101327.279	0	0	0	0	0	0	3
2	1	0	0.0413539373	101325.722	101326.5	101325.722	101327.279	0.778486971	0	0	0	0	0	3
3	1	0	0.0620309059	101325.365	101326.122	101325.365	101327.279	1.15671091	0	0	0	0	0	3
4	1	0	0.0827078746	101325.454	101325.955	101325.365	101327.279	1.32372729	0	0	0	0	0	3
5	2	0	0.103384843	101325.333	101325.831	101325.333	101327.279	1.44802054	0	0	0	0	0	3
6	2	0	0.124061812	101325.403	101325.759	101325.333	101327.279	1.51921756	0	0	0	0	0	3
7	2	0	0.144738781	101325.389	101325.707	101325.333	101327.279	1.5720541	0	0	0	0	0	3
8	2	0	0.165415749	101325.379	101325.666	101325.333	101327.279	1.61300625	0	0	0	0	0	3
9	2	0	0.186092718	101325.402	101325.636	101325.333	101327.279	1.64227883	0	0	0	0	0	3
10	2	0	0.206769686	101325.371	101325.61	101325.333	101327.279	1.66880794	0	0	0	0	0	3
11	2	0	0.227446655	101325.413	101325.592	101325.333	101327.279	1.68673846	0	0	0	0	0	3
12	3	0	0.248123624	101325.382	101325.574	101325.333	101327.279	1.7042263	0	0	0	0	0	3
13	3	0	0.268800592	101325.422	101325.563	101325.333	101327.279	1.71596906	0	0	0	0	0	3
14	3	0	0.289477561	101325.389	101325.55	101325.333	101327.279	1.72835436	0	0	0	0	0	3
15	3	0	0.31015453	101325.412	101325.541	101325.333	101327.279	1.7375873	0	0	0	0	0	3
16	3	0	0.330831498	101325.399	101325.532	101325.333	101327.279	1.74647286	0	0	0	0	0	3
17	3	0	0.351508467	101325.409	101325.525	101325.333	101327.279	1.75372633	0	0	0	0	0	3
18	3	0	0.372185436	101325.404	101325.518	101325.333	101327.279	1.76046079	0	0	0	0	0	3
19	4	0	0.392862404	101325.41	101325.512	101325.333	101327.279	1.76615294	0	0	0	0	0	3
20	4	0	0.413539373	101325.413	101325.507	101325.333	101327.279	1.77112235	0	0	0	0	0	3
21	4	0	0.434216342	101325.414	101325.503	101325.333	101327.279	1.77558865	0	0	0	0	0	3
22	4	0	0.45489331	101325.414	101325.499	101325.333	101327.279	1.77963922	0	0	0	0	0	3
23	4	0	0.475570279	101325.41	101325.495	101325.333	101327.279	1.78349927	0	0	0	0	0	3
24	4	0	0.496247248	101325.411	101325.492	101325.333	101327.279	1.78698794	0	0	0	0	0	3
25	4	0	0.516924216	101325.414	101325.488	101325.333	101327.279	1.79010754	0	0	0	0	0	3
26	5	0	0.537601185	101325.411	101325.414	101325.333	101325.722	0.388219578	0	0	0	0	0	3
27	5	0	0.558278153	101325.409	101325.401	101325.333	101325.454	0.120417067	0	0	0	0	0	3
