Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0206769686	293.200433	293.200433	293.200433	293.200433	0	0	0	0	0	0	3
2	1	0	0.0413539373	293.200452	293.200443	293.200433	293.200452	9.3350169e-06	0	0	0	0	0	3
3	1	0	0.0620309059	293.200462	293.200449	293.200433	293.200462	1.58276235e-05	0	0	0	0	0	3
4	1	0	0.0827078746	293.200475	293.200455	293.200433	293.200475	2.23079775e-05	0	0	0	0	0	3
5	2	0	0.103384843	293.200487	293.200462	293.200433	293.200487	2.86058441e-05	0	0	0	0	0	3
6	2	0	0.124061812	293.200509	293.20047	293.200433	293.200509	3.64228036e-05	0	0	0	0	0	3
7	2	0	0.144738781	293.200536	293.200479	293.200433	293.200536	4.58841632e-05	0	0	0	0	0	3
8	2	0	0.165415749	293.200563	293.20049	293.200433	293.200563	5.6425501e-05	0	0	0	0	0	3
9	2	0	0.186092718	293.200594	293.200501	293.200433	293.200594	6.79849269e-05	0	0	0	0	0	3
10	2	0	0.206769686	293.200622	293.200513	293.200433	293.200622	8.01081324e-05	0	0	0	0	0	3
11	2	0	0.227446655	293.200671	293.200528	293.200433	293.200671	9.44196132e-05	0	0	0	0	0	3
12	3	0	0.248123624	293.200717	293.200543	293.200433	293.200717	0.000110181509	0	0	0	0	0	3
13	3	0	0.268800592	293.200765	293.20056	293.200433	293.200765	0.000127267904	0	0	0	0	0	3
14	3	0	0.289477561	293.200812	293.200578	293.200433	293.200812	0.000145243685	0	0	0	0	0	3
15	3	0	0.31015453	293.200861	293.200597	293.200433	293.200861	0.000164091083	0	0	0	0	0	3
16	3	0	0.330831498	293.200931	293.200618	293.200433	293.200931	0.000184958309	0	0	0	0	0	3
17	3	0	0.351508467	293.201002	293.200641	293.200433	293.201002	0.000207544303	0	0	0	0	0	3
18	3	0	0.372185436	293.20107	293.200665	293.200433	293.20107	0.000231412093	0	0	0	0	0	3
19	4	0	0.392862404	293.201139	293.20069	293.200433	293.201139	0.000256364665	0	0	0	0	0	3
20	4	0	0.413539373	293.201206	293.200715	293.200433	293.201206	0.000282171687	0	0	0	0	0	3
