Iteration	CPUTime	PhysTime	Travels
1	1	0	0.0206769686
2	1	0	0.0413539373
3	1	0	0.0620309059
4	1	0	0.0827078746
5	2	0	0.103384843
6	2	0	0.124061812
7	2	0	0.144738781
8	2	0	0.165415749
9	2	0	0.186092718
10	2	0	0.206769686
11	2	0	0.227446655
12	3	0	0.248123624
13	3	0	0.268800592
14	3	0	0.289477561
15	3	0	0.31015453
16	3	0	0.330831498
17	3	0	0.351508467
18	3	0	0.372185436
19	4	0	0.392862404
20	4	0	0.413539373
21	4	0	0.434216342
22	4	0	0.45489331
23	4	0	0.475570279
24	4	0	0.496247248
25	4	0	0.516924216
26	5	0	0.537601185
27	5	0	0.558278153
28	5	0	0.578955122
29	5	0	0.599632091
30	5	0	0.620309059
31	5	0	0.640986028
32	6	0	0.661662997
33	6	0	0.682339965
34	6	0	0.703016934
35	6	0	0.723693903
36	6	0	0.744370871
37	6	0	0.76504784
38	7	0	0.785724809
39	7	0	0.806401777
40	7	0	0.827078746
41	7	0	0.847755715
42	7	0	0.868432683
43	7	0	0.889109652
44	8	0	0.90978662
45	8	0	0.930463589
46	8	0	0.951140558
47	8	0	0.971817526
48	8	0	0.992494495
49	8	0	1.01317146
50	8	0	1.03384843
51	9	0	1.0545254
52	9	0	1.07520237
53	9	0	1.09587934
54	9	0	1.11655631
55	9	0	1.13723328
56	10	0	1.15791024
57	10	0	1.17858721
58	10	0	1.19926418
59	10	0	1.21994115
60	10	0	1.24061812
61	10	0	1.26129509
62	11	0	1.28197206
63	11	0	1.30264902
64	11	0	1.32332599
65	11	0	1.34400296
66	11	0	1.36467993
67	12	0	1.3853569
68	12	0	1.40603387
69	12	0	1.42671084
70	12	0	1.44738781
71	12	0	1.46806477
72	12	0	1.48874174
73	13	0	1.50941871
74	13	0	1.53009568
75	13	0	1.55077265
76	13	0	1.57144962
77	13	0	1.59212659
78	13	0	1.61280355
79	14	0	1.63348052
80	14	0	1.65415749
81	14	0	1.67483446
82	14	0	1.69551143
83	14	0	1.7161884
84	14	0	1.73686537
85	14	0	1.75754234
86	15	0	1.7782193
87	15	0	1.79889627
88	15	0	1.81957324
89	15	0	1.84025021
90	15	0	1.86092718
91	15	0	1.88160415
92	16	0	1.90228112
93	16	0	1.92295808
94	16	0	1.94363505
95	16	0	1.96431202
96	16	0	1.98498899
97	16	0	2.00566596
98	17	0	2.02634293
99	17	0	2.0470199
100	17	0	2.06769686
101	17	0	2.08837383
102	17	0	2.1090508
103	18	0	2.12972777
104	18	0	2.15040474
105	18	0	2.17108171
106	18	0	2.19175868
107	18	0	2.21243565
108	18	0	2.23311261
109	18	0	2.25378958
110	19	0	2.27446655
111	19	0	2.29514352
112	19	0	2.31582049
113	19	0	2.33649746
114	19	0	2.35717443
115	19	0	2.37785139
116	20	0	2.39852836
117	20	0	2.41920533
118	20	0	2.4398823
119	20	0	2.46055927
120	20	0	2.48123624
121	20	0	2.50191321
122	21	0	2.52259018
123	21	0	2.54326714
124	21	0	2.56394411
125	21	0	2.58462108
126	21	0	2.60529805
127	21	0	2.62597502
128	22	0	2.64665199
129	22	0	2.66732896
130	22	0	2.68800592
131	22	0	2.70868289
132	22	0	2.72935986
133	22	0	2.75003683
134	23	0	2.7707138
135	23	0	2.79139077
136	23	0	2.81206774
137	23	0	2.8327447
138	23	0	2.85342167
139	24	0	2.87409864
140	24	0	2.89477561
141	24	0	2.91545258
142	24	0	2.93612955
143	24	0	2.95680652
144	24	0	2.97748349
145	25	0	2.99816045
146	25	0	3.01883742
147	25	0	3.03951439
148	25	0	3.06019136
149	25	0	3.08086833
150	25	0	3.1015453
151	26	0	3.12222227
152	26	0	3.14289923
153	26	0	3.1635762
154	26	0	3.18425317
155	26	0	3.20493014
156	26	0	3.22560711
157	27	0	3.24628408
158	27	0	3.26696105
159	27	0	3.28763801
160	27	0	3.30831498
161	27	0	3.32899195
162	27	0	3.34966892
163	28	0	3.37034589
164	28	0	3.39102286
165	28	0	3.41169983
166	28	0	3.4323768
167	28	0	3.45305376
168	28	0	3.47373073
169	29	0	3.4944077
170	29	0	3.51508467
171	29	0	3.53576164
172	29	0	3.55643861
173	29	0	3.57711558
174	29	0	3.59779254
175	29	0	3.61846951
176	30	0	3.63914648
177	30	0	3.65982345
178	30	0	3.68050042
179	30	0	3.70117739
180	30	0	3.72185436
181	30	0	3.74253133
182	31	0	3.76320829
183	31	0	3.78388526
184	31	0	3.80456223
185	31	0	3.8252392
186	31	0	3.84591617
187	31	0	3.86659314
188	32	0	3.88727011
189	32	0	3.90794707
190	32	0	3.92862404
191	32	0	3.94930101
192	32	0	3.96997798
193	32	0	3.99065495
194	32	0	4.01133192
