Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	15	0	0.0057370669	22.2168357	22.2168357	22.2168357	22.2168357	0	0	0	0	0	0	3
2	19	0	0.0114741338	22.2165549	22.2166953	22.2165549	22.2168357	0.000140440288	0	0	0	0	0	3
3	22	0	0.0172112007	22.2165917	22.2166608	22.2165549	22.2168357	0.000174977007	0	0	0	0	0	3
4	24	0	0.0229482676	22.2166852	22.2166669	22.2165549	22.2168357	0.000174977007	0	0	0	0	0	3
5	27	0	0.0286853345	22.2167751	22.2166885	22.2165549	22.2168357	0.000174977007	0	0	0	0	0	3
6	29	0	0.0344224014	22.216943	22.2167309	22.2165549	22.216943	0.000174977007	0	0	0	0	0	3
7	31	0	0.0401594683	22.2171515	22.216791	22.2165549	22.2171515	0.000174977007	0	0	0	0	0	3
8	33	0	0.0458965352	22.2173895	22.2168658	22.2165549	22.2173895	0.000205056143	0	0	0	0	0	3
9	35	0	0.0516336021	22.2176293	22.2169506	22.2165549	22.2176293	0.000289884218	0	0	0	0	0	3
10	37	0	0.057370669	22.2178737	22.2170429	22.2165549	22.2178737	0.000382190082	0	0	0	0	0	3
11	40	0	0.0631077359	22.2182133	22.2171493	22.2165549	22.2182133	0.000488588735	0	0	0	0	0	3
12	42	0	0.0688448028	22.2185452	22.2172657	22.2165549	22.2185452	0.000604910104	0	0	0	0	0	3
13	44	0	0.0745818697	22.2188631	22.2173886	22.2165549	22.2188631	0.000727792458	0	0	0	0	0	3
14	46	0	0.0803189366	22.2191699	22.2175158	22.2165549	22.2191699	0.000855032135	0	0	0	0	0	3
15	48	0	0.0860560035	22.2194631	22.2176456	22.2165549	22.2194631	0.000984856015	0	0	0	0	0	3
16	50	0	0.0917930704	22.2198855	22.2177856	22.2165549	22.2198855	0.00112485062	0	0	0	0	0	3
17	53	0	0.0975301373	22.2202838	22.2179326	22.2165549	22.2202838	0.00127180308	0	0	0	0	0	3
18	55	0	0.103267204	22.2206597	22.2180841	22.2165549	22.2206597	0.00142331181	0	0	0	0	0	3
19	57	0	0.109004271	22.2210145	22.2182383	22.2165549	22.2210145	0.00157754492	0	0	0	0	0	3
20	59	0	0.114741338	22.2213511	22.2183939	22.2165549	22.2213511	0.00173318465	0	0	0	0	0	3
21	61	0	0.120478405	22.2218169	22.2185569	22.2165549	22.2218169	0.00189618403	0	0	0	0	0	3
22	64	0	0.126215472	22.2222544	22.218725	22.2165549	22.2222544	0.0020642495	0	0	0	0	0	3
23	66	0	0.131952539	22.2226642	22.2188963	22.2165549	22.2226642	0.00223551798	0	0	0	0	0	3
24	68	0	0.137689606	22.2230534	22.2190695	22.2165549	22.2230534	0.00240872973	0	0	0	0	0	3
25	70	0	0.143426672	22.2234226	22.2192436	22.2165549	22.2234226	0.00258285312	0	0	0	0	0	3
26	73	0	0.149163739	22.2239561	22.2194249	22.2165549	22.2239561	0.00276410141	0	0	0	0	0	3
27	75	0	0.154900806	22.2244633	22.2196115	22.2165549	22.2244633	0.00295071049	0	0	0	0	0	3
28	77	0	0.160637873	22.2249493	22.2198021	22.2165549	22.2249493	0.00314134569	0	0	0	0	0	3
29	79	0	0.16637494	22.2254161	22.2199957	22.2165549	22.2254161	0.0033349318	0	0	0	0	0	3
30	82	0	0.172112007	22.2258692	22.2201915	22.2165549	22.2258692	0.00353071529	0	0	0	0	0	3
31	84	0	0.177849074	22.2265232	22.2203957	22.2165549	22.2265232	0.00373496437	0	0	0	0	0	3
32	86	0	0.183586141	22.227168	22.2206074	22.2165549	22.227168	0.00394659742	0	0	0	0	0	3
33	89	0	0.189323208	22.2278094	22.2208256	22.2165549	22.2278094	0.00416484263	0	0	0	0	0	3
34	91	0	0.195060275	22.2284565	22.22105	22.2165549	22.2284565	0.00438927969	0	0	0	0	0	3
35	93	0	0.200797341	22.2291168	22.2212805	22.2165549	22.2291168	0.00461975724	0	0	0	0	0	3
36	96	0	0.206534408	22.2301789	22.2215277	22.2165549	22.2301789	0.00486693537	0	0	0	0	0	3
37	98	0	0.212271475	22.2312992	22.2217918	22.2165549	22.2312992	0.00513103142	0	0	0	0	0	3
38	100	0	0.218008542	22.2324837	22.2220732	22.2165549	22.2324837	0.00541239634	0	0	0	0	0	3
39	103	0	0.223745609	22.2337242	22.2223719	22.2165549	22.2337242	0.00571114067	0	0	0	0	0	3
40	105	0	0.229482676	22.2349991	22.2226876	22.2165549	22.2349991	0.0060268213	0	0	0	0	0	3
