Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	15	0	0.0057370669	0	0	0	0	0	0	0	0	0	0	3
2	19	0	0.0114741338	0	0	0	0	0	0	0	0	0	0	3
3	22	0	0.0172112007	0	0	0	0	0	0	0	0	0	0	3
4	24	0	0.0229482676	0	0	0	0	0	0	0	0	0	0	3
5	27	0	0.0286853345	0	0	0	0	0	0	0	0	0	0	3
6	29	0	0.0344224014	0	0	0	0	0	0	0	0	0	0	3
7	31	0	0.0401594683	0	0	0	0	0	0	0	0	0	0	3
8	33	0	0.0458965352	0	0	0	0	0	0	0	0	0	0	3
9	35	0	0.0516336021	0	0	0	0	0	0	0	0	0	0	3
10	37	0	0.057370669	0	0	0	0	0	0	0	0	0	0	3
11	40	0	0.0631077359	0	0	0	0	0	0	0	0	0	0	3
12	42	0	0.0688448028	0	0	0	0	0	0	0	0	0	0	3
13	44	0	0.0745818697	0	0	0	0	0	0	0	0	0	0	3
14	46	0	0.0803189366	0	0	0	0	0	0	0	0	0	0	3
15	48	0	0.0860560035	0	0	0	0	0	0	0	0	0	0	3
16	50	0	0.0917930704	0	0	0	0	0	0	0	0	0	0	3
17	53	0	0.0975301373	0	0	0	0	0	0	0	0	0	0	3
18	55	0	0.103267204	0	0	0	0	0	0	0	0	0	0	3
19	57	0	0.109004271	0	0	0	0	0	0	0	0	0	0	3
20	59	0	0.114741338	0	0	0	0	0	0	0	0	0	0	3
21	61	0	0.120478405	0	0	0	0	0	0	0	0	0	0	3
22	64	0	0.126215472	0	0	0	0	0	0	0	0	0	0	3
23	66	0	0.131952539	0	0	0	0	0	0	0	0	0	0	3
24	68	0	0.137689606	0	0	0	0	0	0	0	0	0	0	3
25	70	0	0.143426672	0	0	0	0	0	0	0	0	0	0	3
26	73	0	0.149163739	0	0	0	0	0	0	0	0	0	0	3
27	75	0	0.154900806	0	0	0	0	0	0	0	0	0	0	3
28	77	0	0.160637873	0	0	0	0	0	0	0	0	0	0	3
29	79	0	0.16637494	0	0	0	0	0	0	0	0	0	0	3
30	82	0	0.172112007	0	0	0	0	0	0	0	0	0	0	3
31	84	0	0.177849074	0	0	0	0	0	0	0	0	0	0	3
32	86	0	0.183586141	0	0	0	0	0	0	0	0	0	0	3
33	89	0	0.189323208	0	0	0	0	0	0	0	0	0	0	3
34	91	0	0.195060275	0	0	0	0	0	0	0	0	0	0	3
35	93	0	0.200797341	0	0	0	0	0	0	0	0	0	0	3
36	96	0	0.206534408	0	0	0	0	0	0	0	0	0	0	3
37	98	0	0.212271475	0	0	0	0	0	0	0	0	0	0	3
38	100	0	0.218008542	0	0	0	0	0	0	0	0	0	0	3
39	103	0	0.223745609	0	0	0	0	0	0	0	0	0	0	3
40	105	0	0.229482676	0	0	0	0	0	0	0	0	0	0	3
41	108	0	0.235219743	0	0	0	0	0	0	0	0	0	0	3
42	110	0	0.24095681	0	0	0	0	0	0	0	0	0	0	3
43	112	0	0.246693877	0	0	0	0	0	0	0	0	0	0	3
44	115	0	0.252430944	0	0	0	0	0	0	0	0	0	0	3
45	118	0	0.25816801	0	0	0	0	0	0	0	0	0	0	3
46	120	0	0.263905077	0	0	0	0	0	0	0	0	0	0	3
47	123	0	0.269642144	0	0	0	0	0	0	0	0	0	0	3
48	126	0	0.275379211	0	0	0	0	0	0	0	0	0	0	3
49	128	0	0.281116278	0	0	0	0	0	0	0	0	0	0	3
50	130	0	0.286853345	0	0	0	0	0	0	0	0	0	0	3
51	133	0	0.292590412	0	0	0	0	0	0	0	0	0	0	3
52	135	0	0.298327479	0	0	0	0	0	0	0	0	0	0	3
53	137	0	0.304064546	0	0	0	0	0	0	0	0	0	0	3
54	139	0	0.309801613	0	0	0	0	0	0	0	0	0	0	3
55	142	0	0.315538679	0	0	0	0	0	0	0	0	0	0	3
56	144	0	0.321275746	0	0	0	0	0	0	0	0	0	0	3
57	146	0	0.327012813	0	0	0	0	0	0	0	0	0	0	3
58	149	0	0.33274988	0	0	0	0	0	0	0	0	0	0	3
59	151	0	0.338486947	0	0	0	0	0	0	0	0	0	0	3
60	153	0	0.344224014	0	0	0	0	0	0	0	0	0	0	3
61	155	0	0.349961081	0	0	0	0	0	0	0	0	0	0	3
62	158	0	0.355698148	0	0	0	0	0	0	0	0	0	0	3
63	160	0	0.361435215	0	0	0	0	0	0	0	0	0	0	3
64	162	0	0.367172282	0	0	0	0	0	0	0	0	0	0	3
65	165	0	0.372909348	0	0	0	0	0	0	0	0	0	0	3
66	167	0	0.378646415	0	0	0	0	0	0	0	0	0	0	3
67	169	0	0.384383482	0	0	0	0	0	0	0	0	0	0	3
68	172	0	0.390120549	0	0	0	0	0	0	0	0	0	0	3
69	174	0	0.395857616	0	0	0	0	0	0	0	0	0	0	3
70	176	0	0.401594683	0	0	0	0	0	0	0	0	0	0	3
71	178	0	0.40733175	0	0	0	0	0	0	0	0	0	0	3
72	181	0	0.413068817	0	0	0	0	0	0	0	0	0	0	3
73	183	0	0.418805884	0	0	0	0	0	0	0	0	0	0	3
74	185	0	0.424542951	0	0	0	0	0	0	0	0	0	0	3
75	188	0	0.430280017	0	0	0	0	0	0	0	0	0	0	3
76	190	0	0.436017084	0	0	0	0	0	0	0	0	0	0	3
77	192	0	0.441754151	0	0	0	0	0	0	0	0	0	0	3
78	194	0	0.447491218	0	0	0	0	0	0	0	0	0	0	3
79	197	0	0.453228285	0	0	0	0	0	0	0	0	0	0	3
80	199	0	0.458965352	0	0	0	0	0	0	0	0	0	0	3
81	201	0	0.464702419	0	0	0	0	0	0	0	0	0	0	3
82	204	0	0.470439486	0	0	0	0	0	0	0	0	0	0	3
83	206	0	0.476176553	0	0	0	0	0	0	0	0	0	0	3
84	209	0	0.48191362	0	0	0	0	0	0	0	0	0	0	3
85	211	0	0.487650686	0	0	0	0	0	0	0	0	0	0	3
86	214	0	0.493387753	0	0	0	0	0	0	0	0	0	0	3
87	216	0	0.49912482	0	0	0	0	0	0	0	0	0	0	3
88	219	0	0.504861887	0	0	0	0	0	0	0	0	0	0	3
89	222	0	0.510598954	0	0	0	0	0	0	0	0	0	0	3
90	224	0	0.516336021	0	0	0	0	0	0	0	0	0	0	3
91	227	0	0.522073088	0	0	0	0	0	0	0	0	0	0	3
92	230	0	0.527810155	0	0	0	0	0	0	0	0	0	0	3
93	232	0	0.533547222	0	0	0	0	0	0	0	0	0	0	3
94	235	0	0.539284289	0	0	0	0	0	0	0	0	0	0	3
95	238	0	0.545021355	0	0	0	0	0	0	0	0	0	0	3
96	240	0	0.550758422	0	0	0	0	0	0	0	0	0	0	3
97	243	0	0.556495489	0	0	0	0	0	0	0	0	0	0	3
98	245	0	0.562232556	0	0	0	0	0	0	0	0	0	0	3
99	248	0	0.567969623	0	0	0	0	0	0	0	0	0	0	3
100	250	0	0.57370669	0	0	0	0	0	0	0	0	0	0	3
101	257	0	0.579443757	0	0	0	0	0	0	0	0	0	0	3
102	260	0	0.585180824	0	0	0	0	0	0	0	0	0	0	3
