Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	15	0	0.00584160591	431.900418	431.900418	431.900418	431.900418	0	0	0	0	0	0	3
2	18	0	0.0116832118	43.6426622	237.77154	43.6426622	431.900418	194.128878	0	0	0	0	0	3
3	21	0	0.0175248177	26.2656442	167.269575	26.2656442	431.900418	264.630843	0	0	0	0	0	3
4	24	0	0.0233664236	31.1016169	133.227585	26.2656442	431.900418	298.672833	0	0	0	0	0	3
5	26	0	0.0292080296	25.4415575	111.67038	25.4415575	431.900418	320.230038	0	0	0	0	0	3
6	28	0	0.0350496355	28.4294895	97.796898	25.4415575	431.900418	334.10352	0	0	0	0	0	3
7	30	0	0.0408912414	25.6835757	87.4949948	25.4415575	431.900418	344.405423	0	0	0	0	0	3
8	33	0	0.0467328473	30.9450013	80.4262457	25.4415575	431.900418	351.474172	0	0	0	0	0	3
9	35	0	0.0525744532	26.2158587	74.4028693	25.4415575	431.900418	357.497549	0	0	0	0	0	3
10	37	0	0.0584160591	29.0861945	69.8712019	25.4415575	431.900418	362.029216	0	0	0	0	0	3
11	39	0	0.064257665	24.9543322	65.7878501	24.9543322	431.900418	366.112568	0	0	0	0	0	3
12	41	0	0.0700992709	25.2932479	62.4132999	24.9543322	431.900418	369.487118	0	0	0	0	0	3
13	44	0	0.0759408768	24.9315291	59.5300867	24.9315291	431.900418	372.370331	0	0	0	0	0	3
14	46	0	0.0817824828	24.2313391	57.0087476	24.2313391	431.900418	374.89167	0	0	0	0	0	3
15	48	0	0.0876240887	24.4381397	54.8373738	24.2313391	431.900418	377.063044	0	0	0	0	0	3
16	50	0	0.0934656946	23.2538789	52.8634053	23.2538789	431.900418	379.037013	0	0	0	0	0	3
17	52	0	0.0993073005	24.0321157	51.1674471	23.2538789	431.900418	380.732971	0	0	0	0	0	3
18	54	0	0.105148906	23.9318651	49.6543592	23.2538789	431.900418	382.246059	0	0	0	0	0	3
19	57	0	0.110990512	22.8186481	48.2419534	22.8186481	431.900418	383.658465	0	0	0	0	0	3
20	59	0	0.116832118	24.5605309	47.0578823	22.8186481	431.900418	384.842536	0	0	0	0	0	3
21	61	0	0.122673724	22.7039117	45.8981694	22.7039117	431.900418	386.002249	0	0	0	0	0	3
22	63	0	0.12851533	24.949143	44.9459409	22.7039117	431.900418	386.954477	0	0	0	0	0	3
23	66	0	0.134356936	22.9502417	43.9896062	22.7039117	431.900418	387.910812	0	0	0	0	0	3
