Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	14	0	0.00588477191	0.000287435667	0.000287435667	0.000287435667	0.000287435667	0	0	0	0	0	0	3
2	18	0	0.0117695438	0.000322990078	0.000305212872	0.000287435667	0.000322990078	1.77772056e-05	0	0	0	0	0	3
3	20	0	0.0176543157	0.000323181199	0.000311202315	0.000287435667	0.000323181199	2.3766648e-05	0	0	0	0	0	3
4	23	0	0.0235390876	0.000339703304	0.000318327562	0.000287435667	0.000339703304	3.08918953e-05	0	0	0	0	0	3
5	26	0	0.0294238596	0.000346345984	0.000323931246	0.000287435667	0.000346345984	3.64955797e-05	0	0	0	0	0	3
6	28	0	0.0353086315	0.000372482234	0.000332023078	0.000287435667	0.000372482234	4.45874109e-05	0	0	0	0	0	3
7	30	0	0.0411934034	0.000395826965	0.000341137919	0.000287435667	0.000395826965	5.37022521e-05	0	0	0	0	0	3
8	33	0	0.0470781753	0.000425411157	0.000351672073	0.000287435667	0.000425411157	6.42364068e-05	0	0	0	0	0	3
9	35	0	0.0529629472	0.000456707214	0.000363342645	0.000287435667	0.000456707214	7.5906978e-05	0	0	0	0	0	3
10	37	0	0.0588477191	0.000486969305	0.000375705311	0.000287435667	0.000486969305	8.8269644e-05	0	0	0	0	0	3
11	39	0	0.064732491	0.000540801379	0.000390714044	0.000287435667	0.000540801379	0.000103278378	0	0	0	0	0	3
12	41	0	0.0706172629	0.000594947225	0.000407733476	0.000287435667	0.000594947225	0.000120297809	0	0	0	0	0	3
13	44	0	0.0765020349	0.000654304121	0.000426700449	0.000287435667	0.000654304121	0.000139264782	0	0	0	0	0	3
14	46	0	0.0823868068	0.000713869581	0.000447212529	0.000287435667	0.000713869581	0.000159776863	0	0	0	0	0	3
15	48	0	0.0882715787	0.000777665535	0.00046924273	0.000287435667	0.000777665535	0.000181807063	0	0	0	0	0	3
16	50	0	0.0941563506	0.00087378712	0.000494526754	0.000287435667	0.00087378712	0.000207091088	0	0	0	0	0	3
17	52	0	0.100041123	0.00097557314	0.0005228236	0.000287435667	0.00097557314	0.000235387934	0	0	0	0	0	3
18	55	0	0.105925894	0.00107342283	0.000553412447	0.000287435667	0.00107342283	0.00026597678	0	0	0	0	0	3
19	57	0	0.111810666	0.00118005944	0.000586393867	0.000287435667	0.00118005944	0.000298958201	0	0	0	0	0	3
20	59	0	0.117695438	0.00127762708	0.000620955528	0.000287435667	0.00127762708	0.000333519862	0	0	0	0	0	3
21	62	0	0.12358021	0.00144367017	0.000660132416	0.000287435667	0.00144367017	0.000372696749	0	0	0	0	0	3
22	64	0	0.129464982	0.0015928917	0.000702530565	0.000287435667	0.0015928917	0.000415094898	0	0	0	0	0	3
23	66	0	0.135349754	0.00176395851	0.000748679606	0.000287435667	0.00176395851	0.00046124394	0	0	0	0	0	3
24	69	0	0.141234526	0.00191973247	0.000797473475	0.000287435667	0.00191973247	0.000510037809	0	0	0	0	0	3
25	71	0	0.147119298	0.00209190519	0.000849250744	0.000287435667	0.00209190519	0.000561815077	0	0	0	0	0	3
26	73	0	0.15300407	0.0023521764	0.000907055577	0.000287435667	0.0023521764	0.00061961991	0	0	0	0	0	3
27	76	0	0.158888842	0.00262757624	0.000970778564	0.000287435667	0.00262757624	0.000683342898	0	0	0	0	0	3
28	78	0	0.164773614	0.00290527162	0.0010398676	0.000287435667	0.00290527162	0.000752431935	0	0	0	0	0	3
29	80	0	0.170658385	0.00319874852	0.00111431177	0.000287435667	0.00319874852	0.000826876105	0	0	0	0	0	3
30	82	0	0.176543157	0.00350883791	0.00119412931	0.000287435667	0.00350883791	0.000906693643	0	0	0	0	0	3
31	85	0	0.182427929	0.00398216403	0.00128406591	0.000287435667	0.00398216403	0.000996630247	0	0	0	0	0	3
32	87	0	0.188312701	0.0044465622	0.00138289392	0.000287435667	0.0044465622	0.00109545826	0	0	0	0	0	3
33	89	0	0.194197473	0.00490121747	0.00148950979	0.000287435667	0.00490121747	0.00120207412	0	0	0	0	0	3
34	92	0	0.200082245	0.00533186881	0.00160252035	0.000287435667	0.00533186881	0.00131508468	0	0	0	0	0	3
35	94	0	0.205967017	0.00571126975	0.00171991319	0.000287435667	0.00571126975	0.00143247752	0	0	0	0	0	3
36	96	0	0.211851789	0.00618712051	0.00184400228	0.000287435667	0.00618712051	0.00155656661	0	0	0	0	0	3
37	99	0	0.217736561	0.00656750898	0.00197166462	0.000287435667	0.00656750898	0.00168422896	0	0	0	0	0	3
38	101	0	0.223621333	0.00687571198	0.0021007185	0.000287435667	0.00687571198	0.00181328283	0	0	0	0	0	3
39	104	0	0.229506105	0.00714338238	0.00223001757	0.000287435667	0.00714338238	0.00194258191	0	0	0	0	0	3
40	106	0	0.235390876	0.00735988795	0.00235826433	0.000287435667	0.00735988795	0.00207082867	0	0	0	0	0	3
41	109	0	0.241275648	0.00762548288	0.00248673308	0.000287435667	0.00762548288	0.00219929741	0	0	0	0	0	3
42	111	0	0.24716042	0.00781678401	0.00261363905	0.000287435667	0.00781678401	0.00232620339	0	0	0	0	0	3
43	114	0	0.253045192	0.00794295254	0.00273757658	0.000287435667	0.00794295254	0.00245014091	0	0	0	0	0	3
44	116	0	0.258929964	0.00803178017	0.00285789938	0.000287435667	0.00803178017	0.00257046372	0	0	0	0	0	3
45	119	0	0.264814736	0.00809505713	0.00297428067	0.000287435667	0.00809505713	0.002686845	0	0	0	0	0	3
46	121	0	0.270699508	0.00814757307	0.00308674355	0.000287435667	0.00814757307	0.00279930788	0	0	0	0	0	3
47	124	0	0.27658428	0.00819032015	0.00319533028	0.000287435667	0.00819032015	0.00290789462	0	0	0	0	0	3
48	127	0	0.282469052	0.00822569787	0.00330012961	0.000287435667	0.00822569787	0.00301269394	0	0	0	0	0	3
49	129	0	0.288353824	0.00824835318	0.00340111376	0.000287435667	0.00824835318	0.0031136781	0	0	0	0	0	3
50	132	0	0.294238596	0.00826646405	0.00349842077	0.000287435667	0.00826646405	0.0032109851	0	0	0	0	0	3
51	134	0	0.300123368	0.008274224	0.00359206397	0.000287435667	0.008274224	0.0033046283	0	0	0	0	0	3
52	136	0	0.306008139	0.00827706806	0.0036821602	0.000287435667	0.00827706806	0.00339472453	0	0	0	0	0	3
53	139	0	0.311892911	0.00829222365	0.00376914253	0.000287435667	0.00829222365	0.00348170686	0	0	0	0	0	3
54	141	0	0.317777683	0.00831267376	0.003853282	0.000287435667	0.00831267376	0.00356584633	0	0	0	0	0	3
55	144	0	0.323662455	0.00831936139	0.00393448344	0.000287435667	0.00831936139	0.00364704777	0	0	0	0	0	3
56	146	0	0.329547227	0.00832508024	0.00401288695	0.000287435667	0.00832508024	0.00372545129	0	0	0	0	0	3
57	148	0	0.335431999	0.00833298592	0.00408867816	0.000287435667	0.00833298592	0.0038012425	0	0	0	0	0	3
58	151	0	0.341316771	0.00834327659	0.00416203331	0.000287435667	0.00834327659	0.00387459764	0	0	0	0	0	3
59	153	0	0.347201543	0.00835144326	0.00423304026	0.000287435667	0.00835144326	0.00394560459	0	0	0	0	0	3
60	156	0	0.353086315	0.00835354654	0.00430171536	0.000287435667	0.00835354654	0.0040142797	0	0	0	0	0	3
61	159	0	0.358971087	0.00835975409	0.00436824059	0.000287435667	0.00835975409	0.00408080492	0	0	0	0	0	3
62	161	0	0.364855859	0.00836832034	0.004432758	0.000287435667	0.00836832034	0.00414532234	0	0	0	0	0	3
63	164	0	0.37074063	0.00837657155	0.00449535822	0.000287435667	0.00837657155	0.00420792255	0	0	0	0	0	3
64	166	0	0.376625402	0.00838368417	0.00455611331	0.000287435667	0.00838368417	0.00426867765	0	0	0	0	0	3
65	169	0	0.382510174	0.00838473564	0.00461501519	0.000287435667	0.00838473564	0.00432757953	0	0	0	0	0	3
66	172	0	0.388394946	0.00839068358	0.00467222229	0.000287435667	0.00839068358	0.00438478662	0	0	0	0	0	3
67	174	0	0.394279718	0.00839766925	0.00472782598	0.000287435667	0.00839766925	0.00444039031	0	0	0	0	0	3
68	177	0	0.40016449	0.00840151736	0.00478185085	0.000287435667	0.00840151736	0.00449441518	0	0	0	0	0	3
69	179	0	0.406049262	0.0084087282	0.00483441429	0.000287435667	0.0084087282	0.00454697862	0	0	0	0	0	3
70	181	0	0.411934034	0.00841891603	0.00488562146	0.000287435667	0.00841891603	0.00459818579	0	0	0	0	0	3
71	184	0	0.417818806	0.00842696492	0.00493549953	0.000287435667	0.00842696492	0.00464806387	0	0	0	0	0	3
72	187	0	0.423703578	0.00844350377	0.00498422181	0.000287435667	0.00844350377	0.00469678615	0	0	0	0	0	3
73	189	0	0.42958835	0.00846751759	0.0050319382	0.000287435667	0.00846751759	0.00474450253	0	0	0	0	0	3
74	192	0	0.435473122	0.00848193958	0.00507855984	0.000287435667	0.00848193958	0.00479112417	0	0	0	0	0	3
75	194	0	0.441357893	0.00848729062	0.00512400958	0.000287435667	0.00848729062	0.00483657391	0	0	0	0	0	3
76	197	0	0.447242665	0.00849707962	0.00516839208	0.000287435667	0.00849707962	0.00488095641	0	0	0	0	0	3
77	199	0	0.453127437	0.00850719675	0.00521175318	0.000287435667	0.00850719675	0.00492431751	0	0	0	0	0	3
78	202	0	0.459012209	0.00852247407	0.00525419832	0.000287435667	0.00852247407	0.00496676265	0	0	0	0	0	3
79	204	0	0.464896981	0.00852403402	0.00529558864	0.000287435667	0.00852403402	0.00500815298	0	0	0	0	0	3
80	207	0	0.470781753	0.0085219258	0.00533591786	0.000287435667	0.00852403402	0.00504848219	0	0	0	0	0	3
81	209	0	0.476666525	0.00852212406	0.00537525374	0.000287435667	0.00852403402	0.00508781807	0	0	0	0	0	3
82	211	0	0.482551297	0.00853020082	0.0054137287	0.000287435667	0.00853020082	0.00512629304	0	0	0	0	0	3
83	214	0	0.488436069	0.00853949244	0.00545138851	0.000287435667	0.00853949244	0.00516395284	0	0	0	0	0	3
84	216	0	0.494320841	0.00855050737	0.00548828278	0.000287435667	0.00855050737	0.00520084711	0	0	0	0	0	3
85	219	0	0.500205613	0.00855851528	0.00552440316	0.000287435667	0.00855851528	0.00523696749	0	0	0	0	0	3
86	221	0	0.506090384	0.0085669927	0.00562180971	0.000322990078	0.0085669927	0.00531659684	0	0	0	0	0	3
87	224	0	0.511975156	0.0085772507	0.00571891866	0.000323181199	0.0085772507	0.00540771635	0	0	0	0	0	3
88	226	0	0.517859928	0.00857890003	0.00581604477	0.000339703304	0.00857890003	0.0054977172	0	0	0	0	0	3
89	229	0	0.5237447	0.00858005539	0.00591299009	0.000346345984	0.00858005539	0.00558905884	0	0	0	0	0	3
90	231	0	0.529629472	0.00858392939	0.00600990283	0.000372482234	0.00858392939	0.00567787975	0	0	0	0	0	3
91	234	0	0.535514244	0.00859242961	0.00610660809	0.000395826965	0.00859242961	0.00576547018	0	0	0	0	0	3
92	236	0	0.541399016	0.00859257794	0.00620304046	0.000425411157	0.00859257794	0.00585136839	0	0	0	0	0	3
93	239	0	0.547283788	0.00859346392	0.0062991352	0.000456707214	0.00859346392	0.00593579255	0	0	0	0	0	3
