Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	14	0	0.00588477191	0.00138316739	0.00138316739	0.00138316739	0.00138316739	0	0	0	0	0	0	3
2	18	0	0.0117695438	0.00858856752	0.00498586746	0.00138316739	0.00858856752	0.00360270006	0	0	0	0	0	3
3	20	0	0.0176543157	0.00150167968	0.00382447153	0.00138316739	0.00858856752	0.00360270006	0	0	0	0	0	3
4	23	0	0.0235390876	0.0425336307	0.0135017613	0.00138316739	0.0425336307	0.0121185939	0	0	0	0	0	3
5	26	0	0.0294238596	0.050468927	0.0208951945	0.00138316739	0.050468927	0.0195120271	0	0	0	0	0	3
6	28	0	0.0353086315	0.0518459973	0.0260536616	0.00138316739	0.0518459973	0.0246704942	0	0	0	0	0	3
7	30	0	0.0411934034	0.0618655254	0.0311696421	0.00138316739	0.0618655254	0.0297864748	0	0	0	0	0	3
8	33	0	0.0470781753	0.0588909269	0.0346348027	0.00138316739	0.0618655254	0.0332516354	0	0	0	0	0	3
9	35	0	0.0529629472	0.0673687239	0.0382719051	0.00138316739	0.0673687239	0.0368887377	0	0	0	0	0	3
10	37	0	0.0588477191	0.064004721	0.0408451867	0.00138316739	0.0673687239	0.0394620193	0	0	0	0	0	3
11	39	0	0.064732491	0.0653898389	0.0430765187	0.00138316739	0.0673687239	0.0416933513	0	0	0	0	0	3
12	41	0	0.0706172629	0.0619926811	0.0446528656	0.00138316739	0.0673687239	0.0432696982	0	0	0	0	0	3
13	44	0	0.0765020349	0.0693777786	0.046554782	0.00138316739	0.0693777786	0.0451716146	0	0	0	0	0	3
14	46	0	0.0823868068	0.0672939928	0.0480361542	0.00138316739	0.0693777786	0.0466529868	0	0	0	0	0	3
15	48	0	0.0882715787	0.0726323705	0.0496759019	0.00138316739	0.0726323705	0.0482927345	0	0	0	0	0	3
16	50	0	0.0941563506	0.0750431848	0.0512613571	0.00138316739	0.0750431848	0.0498781897	0	0	0	0	0	3
17	52	0	0.100041123	0.080679284	0.0529918234	0.00138316739	0.080679284	0.051608656	0	0	0	0	0	3
18	55	0	0.105925894	0.0798219914	0.0544823883	0.00138316739	0.080679284	0.0530992209	0	0	0	0	0	3
19	57	0	0.111810666	0.0859422537	0.0561381707	0.00138316739	0.0859422537	0.0547550033	0	0	0	0	0	3
20	59	0	0.117695438	0.0833631945	0.0574994219	0.00138316739	0.0859422537	0.0561162545	0	0	0	0	0	3
21	62	0	0.12358021	0.108744195	0.0599396491	0.00138316739	0.108744195	0.0585564818	0	0	0	0	0	3
22	64	0	0.129464982	0.101864208	0.0618453109	0.00138316739	0.108744195	0.0604621435	0	0	0	0	0	3
23	66	0	0.135349754	0.113108828	0.0640741594	0.00138316739	0.113108828	0.0626909921	0	0	0	0	0	3
24	69	0	0.141234526	0.106313428	0.065834129	0.00138316739	0.113108828	0.0644509616	0	0	0	0	0	3
25	71	0	0.147119298	0.114881207	0.0677960121	0.00138316739	0.114881207	0.0664128447	0	0	0	0	0	3
26	73	0	0.15300407	0.123364106	0.0699332465	0.00138316739	0.123364106	0.0685500791	0	0	0	0	0	3
27	76	0	0.158888842	0.129710125	0.0721472049	0.00138316739	0.129710125	0.0707640375	0	0	0	0	0	3
28	78	0	0.164773614	0.129066662	0.0741800427	0.00138316739	0.129710125	0.0727968753	0	0	0	0	0	3
29	80	0	0.170658385	0.132349507	0.0761858863	0.00138316739	0.132349507	0.0748027189	0	0	0	0	0	3
