Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	14	0	0.00588477191	-2.32190051	-2.32190051	-2.32190051	-2.32190051	0	0	0	0	0	0	3
2	18	0	0.0117695438	0.253100805	-1.03439985	-2.32190051	0.253100805	1.28750066	0	0	0	0	0	3
3	20	0	0.0176543157	2.02718828	-0.0138704733	-2.32190051	2.02718828	2.30803004	0	0	0	0	0	3
4	23	0	0.0235390876	-0.442055921	-0.120916835	-2.32190051	2.02718828	2.30803004	0	0	0	0	0	3
5	26	0	0.0294238596	0.692705524	0.0418076367	-2.32190051	2.02718828	2.36370815	0	0	0	0	0	3
6	28	0	0.0353086315	-0.924521129	-0.119247158	-2.32190051	2.02718828	2.36370815	0	0	0	0	0	3
7	30	0	0.0411934034	-0.0936025762	-0.115583646	-2.32190051	2.02718828	2.36370815	0	0	0	0	0	3
8	33	0	0.0470781753	-0.564030384	-0.171639488	-2.32190051	2.02718828	2.36370815	0	0	0	0	0	3
9	35	0	0.0529629472	0.0407220323	-0.148043764	-2.32190051	2.02718828	2.36370815	0	0	0	0	0	3
10	37	0	0.0588477191	-0.33557191	-0.166796578	-2.32190051	2.02718828	2.36370815	0	0	0	0	0	3
11	39	0	0.064732491	-0.143290473	-0.16465966	-2.32190051	2.02718828	2.36370815	0	0	0	0	0	3
12	41	0	0.0706172629	-0.388167315	-0.183285298	-2.32190051	2.02718828	2.36370815	0	0	0	0	0	3
13	44	0	0.0765020349	-0.471088216	-0.205423984	-2.32190051	2.02718828	2.36370815	0	0	0	0	0	3
14	46	0	0.0823868068	-0.518320476	-0.227773733	-2.32190051	2.02718828	2.36370815	0	0	0	0	0	3
15	48	0	0.0882715787	-0.313668219	-0.233500032	-2.32190051	2.02718828	2.36370815	0	0	0	0	0	3
16	50	0	0.0941563506	-0.517791093	-0.251268223	-2.32190051	2.02718828	2.36370815	0	0	0	0	0	3
17	52	0	0.100041123	-0.260664654	-0.251820955	-2.32190051	2.02718828	2.36370815	0	0	0	0	0	3
18	55	0	0.105925894	-0.33942085	-0.256687615	-2.32190051	2.02718828	2.36370815	0	0	0	0	0	3
19	57	0	0.111810666	-0.101761514	-0.24853361	-2.32190051	2.02718828	2.36370815	0	0	0	0	0	3
20	59	0	0.117695438	-0.249408171	-0.248577338	-2.32190051	2.02718828	2.36370815	0	0	0	0	0	3
21	62	0	0.12358021	-0.143668719	-0.24358169	-2.32190051	2.02718828	2.36370815	0	0	0	0	0	3
22	64	0	0.129464982	-0.203326097	-0.24175189	-2.32190051	2.02718828	2.36370815	0	0	0	0	0	3
23	66	0	0.135349754	-0.279615122	-0.243398117	-2.32190051	2.02718828	2.36370815	0	0	0	0	0	3
24	69	0	0.141234526	-0.112954522	-0.237962968	-2.32190051	2.02718828	2.36370815	0	0	0	0	0	3
25	71	0	0.147119298	-0.368192621	-0.243172154	-2.32190051	2.02718828	2.36370815	0	0	0	0	0	3
26	73	0	0.15300407	-0.16757847	-0.240264704	-2.32190051	2.02718828	2.36370815	0	0	0	0	0	3
27	76	0	0.158888842	-0.138978472	-0.236513362	-2.32190051	2.02718828	2.36370815	0	0	0	0	0	3
28	78	0	0.164773614	-0.0991191381	-0.231606426	-2.32190051	2.02718828	2.36370815	0	0	0	0	0	3
29	80	0	0.170658385	0.0733001184	-0.221092407	-2.32190051	2.02718828	2.36370815	0	0	0	0	0	3
30	82	0	0.176543157	0.0512913869	-0.212012947	-2.32190051	2.02718828	2.36370815	0	0	0	0	0	3
31	85	0	0.182427929	0.115646036	-0.201443303	-2.32190051	2.02718828	2.36370815	0	0	0	0	0	3
32	87	0	0.188312701	0.332804654	-0.184748054	-2.32190051	2.02718828	2.36370815	0	0	0	0	0	3
33	89	0	0.194197473	0.241943136	-0.171818018	-2.32190051	2.02718828	2.36370815	0	0	0	0	0	3
34	92	0	0.200082245	0.517344398	-0.151548535	-2.32190051	2.02718828	2.36370815	0	0	0	0	0	3
35	94	0	0.205967017	0.499870698	-0.132936557	-2.32190051	2.02718828	2.36370815	0	0	0	0	0	3
36	96	0	0.211851789	0.79846595	-0.107064265	-2.32190051	2.02718828	2.36370815	0	0	0	0	0	3
37	99	0	0.217736561	0.864923393	-0.0807943284	-2.32190051	2.02718828	2.36370815	0	0	0	0	0	3
38	101	0	0.223621333	0.963094993	-0.0533235568	-2.32190051	2.02718828	2.36370815	0	0	0	0	0	3
39	104	0	0.229506105	1.09225791	-0.0239496731	-2.32190051	2.02718828	2.36370815	0	0	0	0	0	3
40	106	0	0.235390876	1.41578672	0.0120437368	-2.32190051	2.02718828	2.36370815	0	0	0	0	0	3
41	109	0	0.241275648	1.58372147	0.0503773401	-2.32190051	2.02718828	2.37227785	0	0	0	0	0	3
42	111	0	0.24716042	1.59161928	0.0870735768	-2.32190051	2.02718828	2.40897409	0	0	0	0	0	3
43	114	0	0.253045192	1.60090704	0.122279006	-2.32190051	2.02718828	2.44417951	0	0	0	0	0	3
44	116	0	0.258929964	1.62693265	0.15647568	-2.32190051	2.02718828	2.47837619	0	0	0	0	0	3
45	119	0	0.264814736	1.41998263	0.184553612	-2.32190051	2.02718828	2.50645412	0	0	0	0	0	3
46	121	0	0.270699508	1.4995955	0.213141479	-2.32190051	2.02718828	2.53504199	0	0	0	0	0	3
47	124	0	0.27658428	1.44025231	0.23925022	-2.32190051	2.02718828	2.56115073	0	0	0	0	0	3
48	127	0	0.282469052	1.69954727	0.269673076	-2.32190051	2.02718828	2.59157358	0	0	0	0	0	3
49	129	0	0.288353824	1.74019822	0.299683793	-2.32190051	2.02718828	2.6215843	0	0	0	0	0	3
50	132	0	0.294238596	1.94888517	0.33266782	-2.32190051	2.02718828	2.65456833	0	0	0	0	0	3
51	134	0	0.300123368	1.89489599	0.363299745	-2.32190051	2.02718828	2.68520025	0	0	0	0	0	3
52	136	0	0.306008139	1.96723843	0.39414472	-2.32190051	2.02718828	2.71604523	0	0	0	0	0	3
53	139	0	0.311892911	2.06813649	0.42572947	-2.32190051	2.06813649	2.74762998	0	0	0	0	0	3
54	141	0	0.317777683	2.41669689	0.462599237	-2.32190051	2.41669689	2.78449975	0	0	0	0	0	3
55	144	0	0.323662455	2.45163055	0.498763443	-2.32190051	2.45163055	2.82066395	0	0	0	0	0	3
56	146	0	0.329547227	2.73683036	0.538728924	-2.32190051	2.73683036	2.86062943	0	0	0	0	0	3
57	148	0	0.335431999	2.81865925	0.578727701	-2.32190051	2.81865925	2.90062821	0	0	0	0	0	3
