Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	14	0	0.00588477191	101308.753	101308.753	101308.753	101308.753	0	0	0	0	0	0	3
2	18	0	0.0117695438	101309.772	101309.262	101308.753	101309.772	0.509744249	0	0	0	0	0	3
3	20	0	0.0176543157	101309.937	101309.487	101308.753	101309.937	0.734733532	0	0	0	0	0	3
4	23	0	0.0235390876	101309.915	101309.594	101308.753	101309.937	0.84165879	0	0	0	0	0	3
5	26	0	0.0294238596	101309.899	101309.655	101308.753	101309.937	0.902616173	0	0	0	0	0	3
6	28	0	0.0353086315	101309.907	101309.697	101308.753	101309.937	0.944552982	0	0	0	0	0	3
7	30	0	0.0411934034	101309.923	101309.729	101308.753	101309.937	0.976834224	0	0	0	0	0	3
8	33	0	0.0470781753	101309.933	101309.755	101308.753	101309.937	1.00223523	0	0	0	0	0	3
9	35	0	0.0529629472	101309.94	101309.775	101308.753	101309.94	1.0228616	0	0	0	0	0	3
10	37	0	0.0588477191	101309.942	101309.792	101308.753	101309.942	1.03950858	0	0	0	0	0	3
11	39	0	0.064732491	101309.945	101309.806	101308.753	101309.945	1.05341111	0	0	0	0	0	3
12	41	0	0.0706172629	101309.944	101309.817	101308.753	101309.945	1.06493994	0	0	0	0	0	3
13	44	0	0.0765020349	101309.946	101309.827	101308.753	101309.946	1.07484259	0	0	0	0	0	3
14	46	0	0.0823868068	101309.944	101309.836	101308.753	101309.946	1.08319049	0	0	0	0	0	3
15	48	0	0.0882715787	101309.946	101309.843	101308.753	101309.946	1.09051469	0	0	0	0	0	3
16	50	0	0.0941563506	101309.942	101309.849	101308.753	101309.946	1.09672849	0	0	0	0	0	3
17	52	0	0.100041123	101309.942	101309.855	101308.753	101309.946	1.10218401	0	0	0	0	0	3
18	55	0	0.105925894	101309.938	101309.859	101308.753	101309.946	1.10679722	0	0	0	0	0	3
19	57	0	0.111810666	101309.936	101309.863	101308.753	101309.946	1.11084288	0	0	0	0	0	3
20	59	0	0.117695438	101309.932	101309.867	101308.753	101309.946	1.11425378	0	0	0	0	0	3
21	62	0	0.12358021	101309.928	101309.87	101308.753	101309.946	1.11717339	0	0	0	0	0	3
22	64	0	0.129464982	101309.922	101309.872	101308.753	101309.946	1.11956131	0	0	0	0	0	3
23	66	0	0.135349754	101309.918	101309.874	101308.753	101309.946	1.12157658	0	0	0	0	0	3
24	69	0	0.141234526	101309.914	101309.876	101308.753	101309.946	1.12324539	0	0	0	0	0	3
25	71	0	0.147119298	101309.912	101309.877	101308.753	101309.946	1.12469398	0	0	0	0	0	3
26	73	0	0.15300407	101309.91	101309.879	101308.753	101309.946	1.12596276	0	0	0	0	0	3
27	76	0	0.158888842	101309.909	101309.88	101308.753	101309.946	1.12709858	0	0	0	0	0	3
28	78	0	0.164773614	101309.909	101309.881	101308.753	101309.946	1.12813154	0	0	0	0	0	3
29	80	0	0.170658385	101309.909	101309.882	101308.753	101309.946	1.12909458	0	0	0	0	0	3
30	82	0	0.176543157	101309.909	101309.883	101308.753	101309.946	1.13000804	0	0	0	0	0	3
31	85	0	0.182427929	101309.91	101309.883	101308.753	101309.946	1.13090742	0	0	0	0	0	3
32	87	0	0.188312701	101309.91	101309.884	101308.753	101309.946	1.1317478	0	0	0	0	0	3
33	89	0	0.194197473	101309.909	101309.885	101308.753	101309.946	1.13249899	0	0	0	0	0	3
34	92	0	0.200082245	101309.908	101309.886	101308.753	101309.946	1.13316118	0	0	0	0	0	3
35	94	0	0.205967017	101309.905	101309.886	101308.753	101309.946	1.13371733	0	0	0	0	0	3
36	96	0	0.211851789	101309.901	101309.887	101308.753	101309.946	1.13412526	0	0	0	0	0	3
37	99	0	0.217736561	101309.896	101309.887	101308.753	101309.946	1.1343739	0	0	0	0	0	3
38	101	0	0.223621333	101309.892	101309.887	101308.753	101309.946	1.13450177	0	0	0	0	0	3
39	104	0	0.229506105	101309.887	101309.887	101308.753	101309.946	1.13450177	0	0	0	0	0	3
40	106	0	0.235390876	101309.883	101309.887	101308.753	101309.946	1.13450177	0	0	0	0	0	3
41	109	0	0.241275648	101309.879	101309.887	101308.753	101309.946	1.13450177	0	0	0	0	0	3
42	111	0	0.24716042	101309.879	101309.887	101308.753	101309.946	1.13450177	0	0	0	0	0	3
43	114	0	0.253045192	101309.879	101309.886	101308.753	101309.946	1.13450177	0	0	0	0	0	3
44	116	0	0.258929964	101309.881	101309.886	101308.753	101309.946	1.13450177	0	0	0	0	0	3
45	119	0	0.264814736	101309.884	101309.886	101308.753	101309.946	1.13450177	0	0	0	0	0	3
46	121	0	0.270699508	101309.887	101309.886	101308.753	101309.946	1.13450177	0	0	0	0	0	3
47	124	0	0.27658428	101309.89	101309.886	101308.753	101309.946	1.13450177	0	0	0	0	0	3
48	127	0	0.282469052	101309.893	101309.886	101308.753	101309.946	1.13450177	0	0	0	0	0	3
49	129	0	0.288353824	101309.894	101309.887	101308.753	101309.946	1.13450177	0	0	0	0	0	3
50	132	0	0.294238596	101309.895	101309.887	101308.753	101309.946	1.13450177	0	0	0	0	0	3
51	134	0	0.300123368	101309.895	101309.887	101308.753	101309.946	1.13450177	0	0	0	0	0	3
52	136	0	0.306008139	101309.895	101309.887	101308.753	101309.946	1.13455026	0	0	0	0	0	3
